#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw1 14A 5 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
211 20.12 26.57 15.85 17.22 74.72
212 20.29 39.87 19.12 18.29 88.99
213 20.15 62.26 21.07 30.32 74.12
214 20.45 47.75 18.73 20.62 121.53
215 20.09 72.96 17.17 61.10 30.86
216 20.38 70.12 19.70 63.50 44.96
217 20.94 79.38 12.62 46.54 25.94
218 20.82 57.20 19.66 22.58 116.33
219 20.93 34.34 17.34 19.77 93.24
220 20.79 65.15 19.39 38.80 66.04
221 20.93 53.93 19.85 21.25 132.62
222 21.08 24.58 14.67 16.00 99.19
223 20.97 43.08 17.28 18.90 124.88
224 20.57 72.29 18.50 66.58 48.83
225 21.11 76.45 16.79 58.15 35.81
226 21.16 60.05 19.66 25.25 92.85
227 21.01 73.08 20.39 58.75 41.92
228 21.33 21.84 12.30 13.51 92.24
229 21.36 67.83 18.90 48.28 61.80
230 21.41 27.14 15.48 16.13 95.51
231 21.58 36.82 19.12 19.23 115.61
232 21.53 30.97 16.16 17.84 98.77
233 21.50 49.69 20.32 21.11 153.95
234 21.44 28.63 13.87 16.68 93.06
235 21.50 62.67 20.61 28.23 83.32
236 21.45 39.77 18.64 19.36 118.80
237 21.73 46.49 20.73 20.07 149.42
238 21.66 70.70 21.45 53.82 51.82
239 21.89 52.21 20.82 19.59 151.30
240 21.93 55.91 21.21 21.11 137.78
241 21.85 73.66 19.62 59.08 49.79
242 22.17 33.43 16.94 17.91 120.24
243 22.06 64.89 19.90 31.88 72.49
244 22.24 44.16 18.93 20.79 152.64
245 22.21 80.45 13.87 46.80 33.05
246 22.48 41.54 20.07 19.30 141.92
247 22.40 58.52 21.21 24.17 116.57
248 22.38 19.62 12.48 14.18 98.37
249 22.53 24.50 15.42 15.90 114.19
250 22.57 61.20 21.03 25.64 100.98
251 22.31 83.11 7.90 30.44 12.36
252 22.49 77.16 20.37 56.58 44.47
253 22.67 38.67 19.98 19.49 136.39
254 22.78 48.27 20.12 20.20 150.48
255 22.65 72.63 24.30 50.93 65.33
256 22.72 27.74 17.39 16.59 124.02
257 22.75 66.90 20.29 32.96 74.44
258 22.89 54.02 22.36 20.89 147.87
259 23.08 30.29 17.88 16.59 123.63
260 23.11 35.34 18.25 17.80 139.42
261 22.93 69.85 24.23 44.83 69.05
262 23.02 50.93 21.60 19.17 156.90
263 23.27 22.14 15.23 14.42 112.44
264 23.34 45.72 21.88 20.45 168.20
265 23.26 63.45 20.20 25.77 94.53
266 23.28 56.60 20.90 21.25 134.96
267 23.37 74.80 23.90 50.61 70.72
268 23.27 82.48 13.88 37.16 29.49
269 23.46 79.90 20.84 48.19 54.26
270 23.56 32.61 17.41 18.40 136.33
271 23.39 16.53 9.90 13.69 74.45
272 23.67 43.10 21.82 20.35 158.50
273 23.77 37.51 18.67 19.92 138.73
274 23.64 59.79 21.73 23.18 120.04
275 23.82 19.08 13.45 13.50 107.48
276 23.75 26.55 17.69 18.13 126.01
277 23.90 77.03 28.25 49.22 68.46
278 23.94 40.35 20.12 19.98 142.34
279 23.84 72.08 26.71 43.07 81.40
280 24.00 67.00 23.59 32.84 88.48
281 24.11 52.31 21.87 20.22 156.93
282 24.02 49.44 21.54 20.77 155.97
283 24.27 64.41 23.18 28.89 109.62
284 24.33 54.78 23.75 20.99 139.84
285 24.36 69.48 24.58 36.75 91.42
286 24.46 46.52 21.16 20.38 157.98
287 24.49 57.85 22.50 21.73 138.25
288 24.51 24.69 18.05 18.43 123.21
289 24.60 34.32 18.57 19.71 134.74
290 24.54 61.46 25.08 24.37 115.64
291 24.54 22.25 14.57 15.70 118.20
292 24.82 28.75 18.06 17.53 127.65
293 24.73 31.12 16.83 19.46 138.78
294 24.49 81.70 23.42 35.55 47.49
295 24.60 73.96 33.05 39.64 88.29
296 24.77 79.04 38.76 37.69 84.68
297 24.82 16.16 11.84 14.04 79.18
298 24.99 36.95 18.80 18.26 130.97
299 24.83 42.84 22.78 20.71 146.24
300 24.86 26.05 18.04 18.14 127.86
301 25.09 18.91 14.86 15.87 109.04
302 25.10 84.17 26.21 23.64 41.38
303 25.17 39.94 21.57 18.69 138.79
304 25.17 49.28 22.03 20.38 147.12
305 25.36 66.94 28.80 31.38 117.52
306 25.25 20.46 16.86 14.33 110.80
307 25.51 71.82 42.42 31.77 113.10
308 25.45 76.60 54.36 34.12 107.92
309 25.25 52.29 22.64 23.14 148.67
310 25.38 56.12 23.88 20.12 139.07
311 25.71 44.43 22.42 19.89 150.25
312 25.51 59.27 24.02 22.70 123.46
313 25.43 64.26 29.45 31.01 131.94
314 25.73 80.86 68.67 25.42 88.97
315 25.71 46.61 21.83 21.71 144.31
316 25.64 69.41 34.57 33.13 113.77
317 25.73 23.83 17.00 16.43 115.92
318 25.72 74.22 61.56 33.20 115.31
319 25.70 61.74 26.78 28.37 127.46
320 25.84 27.17 17.80 17.99 126.28
321 25.82 33.46 19.90 19.16 140.18
322 26.07 17.31 15.85 15.89 109.54
323 26.22 30.80 21.12 17.78 138.40
324 26.12 54.09 25.78 23.72 154.36
325 26.20 42.28 22.27 20.36 149.90
326 26.23 85.26 43.64 17.26 49.13
327 26.11 37.14 20.62 19.88 134.31
328 26.22 50.94 23.27 21.46 148.21
329 26.40 20.58 17.70 15.31 112.21
330 26.38 39.74 22.90 19.97 143.36
331 26.44 48.33 24.32 20.50 148.30
332 26.51 57.58 25.93 24.53 139.04
333 26.58 77.43 120.96 22.63 118.49
334 26.49 65.41 34.80 30.71 144.06
335 26.81 82.39 106.92 20.34 104.32
336 26.80 35.41 21.64 18.59 137.82
337 26.76 62.89 31.29 33.04 144.38
338 26.70 67.92 44.21 28.92 151.12
339 26.86 15.01 15.22 15.15 96.77
340 26.70 60.12 28.80 27.40 141.34
341 26.83 70.77 69.08 25.99 141.36
342 27.07 29.12 21.35 17.14 135.89
343 26.75 23.09 20.59 15.71 128.75
344 26.87 74.02 109.21 25.26 131.07
345 27.07 55.38 27.47 25.76 157.12
346 27.11 26.54 20.82 17.17 131.33
347 27.17 46.26 25.48 22.58 142.82
348 27.29 44.00 26.10 21.71 140.60
349 27.14 52.44 26.57 23.04 154.69
350 27.10 24.27 20.93 17.40 114.07
351 27.25 33.15 21.21 19.38 139.55
352 27.36 79.24 157.47 22.01 129.93
353 27.42 38.03 23.36 20.21 139.18
354 27.38 41.10 24.74 22.07 149.76
355 27.39 49.66 26.72 23.91 148.19
356 27.48 18.07 19.86 15.69 106.20
357 27.70 21.23 22.04 17.23 120.93
358 27.83 84.30 104.21 16.05 111.29
359 27.73 59.13 33.75 30.24 163.59
360 27.75 64.53 53.93 29.27 152.78
361 27.81 61.76 39.07 31.23 147.22
362 28.00 75.46 171.84 21.05 148.85
363 28.05 31.47 23.79 19.72 137.08
364 27.82 67.54 76.68 27.37 171.26
365 27.98 72.71 163.69 20.36 160.03
366 28.00 35.49 25.66 21.60 142.92
367 28.09 56.90 32.76 30.65 164.66
368 28.07 53.83 29.10 28.52 160.51
369 28.11 70.21 139.06 22.75 166.76
370 28.20 24.33 25.70 18.33 130.26
371 28.31 14.95 23.67 14.83 103.37
372 28.19 47.81 28.46 24.32 159.40
373 28.28 81.46 164.87 17.46 140.27
374 28.34 41.95 27.72 22.43 152.21
375 28.30 51.03 29.51 30.86 160.92
376 28.44 86.74 69.75 12.09 83.26
377 28.48 26.94 27.09 19.35 133.60
378 28.58 45.67 31.49 24.47 160.62
379 28.55 29.40 24.82 17.96 131.91
380 28.46 39.15 28.78 23.17 149.97
381 28.56 77.93 177.96 18.88 153.37
382 28.69 17.88 29.99 16.79 122.47
383 28.75 66.13 117.69 23.93 183.54
384 28.84 33.70 28.81 21.48 144.18
385 28.77 60.07 48.88 31.54 181.09
386 28.88 22.11 30.91 19.40 123.40
387 29.10 43.60 36.12 23.74 164.81
388 28.96 55.22 40.83 30.31 183.45
389 29.17 64.15 129.53 24.82 193.67
