#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf1 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
219 18.67 73.20 17.14 75.16 20.58
220 19.05 59.69 23.46 67.68 60.52
221 19.10 62.25 21.83 88.75 41.12
222 19.12 41.07 19.78 27.17 54.58
223 19.07 21.40 13.23 18.49 35.03
224 19.18 34.20 18.21 25.69 43.26
225 19.31 38.63 19.17 27.11 56.98
226 19.09 71.87 17.57 78.00 22.40
227 19.40 78.07 13.80 75.35 14.22
228 19.19 26.40 16.11 21.60 42.98
229 18.98 75.52 14.78 68.87 17.11
230 19.33 19.89 11.21 17.36 39.54
231 19.43 52.59 20.10 33.49 94.97
232 19.74 29.15 16.62 23.65 56.52
233 19.55 74.49 18.80 75.38 19.75
234 19.82 55.34 22.05 37.61 108.24
235 19.89 47.52 21.39 31.03 100.60
236 19.88 23.95 16.41 20.95 57.89
237 19.96 66.73 20.56 88.97 37.24
238 19.96 31.91 18.32 24.96 68.84
239 19.84 36.17 19.66 28.68 73.52
240 20.14 80.52 10.24 69.73 13.58
241 20.17 63.83 22.46 82.15 49.98
242 20.29 42.27 21.05 29.24 97.40
243 20.28 57.71 20.15 42.05 96.27
244 20.27 50.11 21.11 29.61 119.67
245 20.03 73.15 15.34 85.21 21.87
246 20.22 44.92 22.93 29.23 102.14
247 20.31 71.71 18.59 83.91 28.37
248 20.21 60.72 20.65 64.26 76.73
249 20.43 37.09 19.34 23.37 80.91
250 20.42 76.03 17.58 79.62 23.56
251 20.54 21.79 14.13 20.34 70.77
252 20.60 26.81 16.01 23.75 84.10
253 20.50 34.21 18.67 25.63 95.20
254 20.78 39.48 22.84 28.58 105.53
255 20.80 68.50 21.85 84.93 36.46
256 20.81 52.28 23.36 30.99 131.74
257 20.60 70.27 18.91 86.33 28.24
258 21.07 19.43 12.50 18.15 78.50
259 20.86 78.57 16.67 83.40 22.22
260 20.89 74.40 18.70 75.84 23.40
261 21.18 54.73 21.81 31.45 128.13
262 21.19 46.94 22.10 31.60 123.86
263 21.24 31.92 18.19 24.19 106.75
264 21.08 35.10 18.85 26.35 87.87
265 21.56 29.23 17.79 24.86 116.17
266 21.26 59.83 21.77 41.90 102.54
267 21.31 65.43 22.24 74.53 54.46
268 21.44 62.80 21.41 65.11 70.77
269 21.52 24.00 16.43 21.94 101.21
270 21.35 81.54 11.78 72.52 17.04
271 21.59 16.55 9.99 16.23 74.64
272 21.55 44.05 21.69 28.48 142.59
273 21.18 73.08 18.46 83.08 25.77
274 21.64 49.25 22.46 31.02 152.24
275 21.65 37.27 21.41 26.75 134.16
276 21.75 57.68 21.21 37.13 112.35
277 21.79 41.56 21.67 26.38 152.70
278 21.66 72.23 22.81 88.42 37.73
279 21.84 76.89 18.44 78.10 28.96
280 21.88 70.15 20.40 91.73 43.43
281 22.00 26.81 17.31 23.77 122.39
282 22.02 74.23 19.63 83.63 33.37
283 22.07 79.61 15.54 76.22 27.12
284 22.29 21.55 15.63 20.54 103.67
285 22.17 51.40 23.02 29.12 162.41
286 22.07 67.37 23.04 81.50 50.13
287 22.26 34.31 19.89 27.14 145.12
288 22.44 55.92 21.88 31.38 136.08
289 22.22 82.98 10.87 63.68 16.21
290 22.43 60.61 19.22 38.54 101.80
291 22.68 40.00 20.99 27.28 150.95
292 22.47 46.16 23.65 28.27 160.92
293 22.73 53.47 23.22 30.43 154.77
294 22.50 31.48 19.11 25.18 145.97
295 22.60 18.67 14.36 19.09 103.71
296 22.81 63.30 22.99 47.49 84.16
297 22.91 65.61 20.13 60.23 67.55
298 22.72 82.17 15.91 70.53 21.72
299 22.62 72.42 17.63 88.85 37.93
300 22.96 24.65 16.52 21.75 127.37
301 22.94 36.54 21.32 25.95 153.52
302 22.93 43.43 23.08 28.91 161.06
303 23.09 48.55 23.18 30.37 157.56
304 23.30 77.57 21.72 78.11 36.82
305 23.25 84.39 11.57 58.50 19.56
306 23.28 27.78 17.77 22.98 144.66
307 23.21 58.38 23.25 32.78 116.84
308 23.15 71.20 21.39 87.84 47.20
309 23.26 68.21 21.83 76.94 63.95
310 23.25 81.31 14.39 73.43 30.29
311 23.66 50.68 25.34 31.52 162.43
312 23.65 30.84 19.21 24.37 151.58
313 23.83 33.64 20.86 26.00 156.23
314 23.76 38.72 22.28 28.60 179.14
315 23.74 61.91 22.51 38.22 97.96
316 23.79 22.21 16.23 21.94 126.68
317 23.83 55.30 22.30 32.30 148.97
318 23.72 80.02 19.08 68.04 37.05
319 23.75 46.16 24.20 28.22 159.72
320 23.77 17.59 13.21 18.25 111.24
321 24.18 72.71 23.39 81.98 54.44
322 23.83 19.24 14.38 19.33 110.55
323 24.02 42.84 22.58 29.14 169.73
324 24.14 52.81 23.90 30.70 164.22
325 24.12 69.86 22.25 76.86 63.24
326 24.19 64.70 24.20 51.44 84.82
327 24.26 36.31 21.00 26.28 169.94
328 24.31 59.85 23.37 36.70 119.46
329 24.37 25.52 17.10 22.67 134.02
330 24.57 40.56 22.93 31.22 175.45
331 24.41 57.34 21.41 32.07 134.77
332 24.01 83.14 16.89 62.84 31.21
333 24.56 75.09 25.61 78.17 56.42
334 24.32 82.33 15.55 69.61 32.39
335 24.57 29.01 19.43 24.19 154.28
336 24.46 67.49 22.48 66.31 82.89
337 24.25 84.28 14.90 56.62 17.62
338 24.72 48.36 25.20 32.63 165.49
339 24.45 78.72 19.87 70.64 41.36
340 24.82 15.32 12.29 18.24 95.15
341 24.84 45.59 23.85 28.46 184.41
342 24.78 77.23 26.02 70.71 51.58
343 25.02 20.62 16.24 21.60 122.18
344 24.78 81.12 26.04 68.86 55.01
345 25.04 31.80 20.48 27.06 164.91
346 25.13 17.94 14.42 19.56 116.32
347 25.02 61.91 24.19 39.04 111.04
348 25.19 51.08 25.55 34.46 154.29
349 25.28 23.29 17.31 23.79 141.31
350 25.29 34.65 21.80 29.98 161.26
351 25.34 38.15 23.06 29.05 169.48
352 25.24 54.02 26.14 33.87 142.64
353 25.32 43.27 22.87 30.84 173.00
354 25.39 86.62 12.36 43.14 20.55
355 25.24 70.61 27.33 73.16 73.22
356 25.46 66.25 26.38 56.55 99.87
357 25.57 79.12 31.90 67.60 68.76
358 25.56 63.98 25.19 49.20 106.95
359 25.56 27.47 19.71 24.51 150.87
360 25.65 56.21 25.13 35.13 141.12
361 25.48 58.89 26.02 34.22 120.50
362 25.78 73.01 31.92 74.70 78.56
363 25.70 12.78 10.04 16.37 87.08
364 25.95 68.29 29.55 62.96 93.40
365 25.78 82.02 33.26 58.42 61.58
366 25.78 76.24 37.19 67.92 83.45
367 25.96 41.08 23.98 30.13 172.75
368 26.09 48.93 25.17 30.39 153.82
369 26.16 30.19 19.53 28.18 155.65
370 26.22 25.20 18.56 26.25 141.68
371 25.99 46.26 25.61 29.92 162.41
372 26.18 61.44 26.20 42.46 122.30
373 26.50 18.96 16.26 23.14 118.71
374 26.44 33.32 20.99 25.94 156.41
375 26.40 36.44 23.22 28.63 168.89
376 26.49 16.06 14.19 19.94 112.75
377 26.43 51.33 25.84 32.66 155.01
378 26.34 13.63 11.26 19.06 74.68
379 26.48 21.92 17.91 24.03 141.09
380 26.74 53.56 27.47 35.92 152.72
381 26.51 70.25 34.43 72.54 98.04
382 26.67 38.98 23.73 30.99 168.29
383 26.63 43.50 24.55 28.91 162.33
384 26.80 80.13 65.56 49.78 90.64
385 26.76 86.17 43.21 34.12 54.21
386 26.61 58.92 28.24 36.91 124.88
387 26.70 83.55 54.68 36.39 72.56
388 26.60 65.50 27.49 59.40 110.98
389 26.65 74.57 52.29 66.79 95.84
390 26.82 56.14 28.12 36.98 146.91
391 26.99 27.46 19.26 27.02 149.81
392 27.06 62.95 28.26 55.10 124.74
393 27.07 77.11 79.21 49.27 97.02
394 27.29 47.82 26.50 32.41 153.06
395 27.22 45.46 23.94 32.82 157.95
396 27.17 72.09 55.53 63.41 108.37
397 27.42 31.28 20.37 27.05 160.20
398 27.37 40.96 25.08 32.07 172.56
399 27.31 67.60 32.38 57.25 123.48
400 27.47 23.86 18.90 23.25 141.67
401 27.52 14.38 16.80 19.48 104.29
402 27.45 50.39 28.30 36.09 160.67
403 27.49 35.17 23.16 31.14 155.60
404 27.59 60.56 31.96 55.85 143.36
405 27.70 20.80 19.52 22.90 116.01
406 27.90 37.83 24.13 30.23 153.35
407 27.76 58.12 28.78 50.75 141.28
408 28.02 81.78 121.40 27.96 96.55
409 27.74 65.04 36.09 61.66 130.05
410 27.99 28.84 21.83 26.63 149.10
411 27.87 74.59 146.25 43.31 119.32
412 27.89 17.64 16.72 21.84 121.81
413 27.90 55.21 29.30 45.13 145.24
414 28.02 69.71 58.54 52.45 129.84
415 28.02 78.76 146.34 32.38 116.22
416 28.09 84.63 92.76 22.48 88.63
417 28.27 51.78 30.27 41.29 147.66
418 28.08 43.39 24.97 33.40 150.12
419 28.29 25.99 19.90 27.30 140.27
420 28.31 33.11 22.95 28.81 151.06
421 28.36 46.28 27.34 33.40 157.57
422 28.35 62.47 36.21 54.14 136.02
423 28.55 11.91 14.30 19.09 89.84
424 28.42 72.11 150.28 39.06 118.88
425 28.52 86.61 88.40 23.01 81.34
426 28.51 48.89 28.96 35.32 155.61
427 28.53 67.30 62.91 56.35 148.42
428 28.52 40.20 25.59 33.24 164.32
429 28.67 53.53 31.44 46.80 157.85
430 28.77 35.69 23.17 35.03 157.85
431 28.77 76.61 196.75 29.46 124.08
432 28.82 15.84 19.90 21.12 112.86
433 28.86 22.80 20.61 24.72 115.01
434 28.75 57.11 33.20 61.22 144.84
435 28.81 59.96 38.95 60.15 149.16
436 29.05 30.85 23.46 29.43 138.54
437 28.86 65.02 49.39 53.68 141.34
438 28.94 19.78 20.17 23.81 130.45
439 29.13 42.50 25.58 37.68 143.45
440 29.22 79.46 184.28 24.51 128.07
441 29.46 37.51 27.83 36.40 154.82
442 29.34 82.49 147.08 23.59 122.86
443 29.29 28.15 23.70 29.37 153.75
444 29.36 74.08 199.71 28.50 137.46
445 29.40 68.88 165.30 37.01 148.59
446 29.36 44.96 28.35 42.49 152.74
447 29.50 55.22 34.00 59.71 164.46
448 29.46 71.14 201.93 33.49 125.49
449 29.42 50.25 32.77 50.13 154.77
450 29.48 25.12 24.36 27.67 145.45
451 29.48 62.80 66.64 48.60 162.16
452 29.51 33.58 22.88 32.84 153.34
453 29.68 47.41 32.76 42.25 153.14
454 29.68 85.29 116.37 19.05 102.87
