#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf7 14A 6 even-skipped Kruppel hunchback
166 19.48 60.98 24.76 14.78 138.00
167 19.49 53.24 24.74 17.12 164.52
168 19.64 70.33 22.66 11.01 114.37
169 19.80 22.50 14.42 12.78 119.61
170 19.79 29.79 18.28 15.96 152.47
171 19.73 37.37 22.61 17.74 173.25
172 19.84 50.67 24.24 17.69 175.73
173 19.71 67.57 23.85 11.00 107.62
174 19.91 44.22 23.03 18.13 187.45
175 20.00 63.52 23.76 14.16 130.92
176 20.01 75.01 20.00 8.80 81.16
177 20.00 26.69 16.86 15.55 145.57
178 20.17 46.51 23.43 18.88 185.22
179 20.26 39.64 22.82 16.78 173.44
180 20.15 56.63 24.81 17.24 166.47
181 20.28 32.71 21.34 16.78 164.92
182 20.45 35.25 21.85 17.35 171.90
183 20.63 48.66 26.37 18.01 174.58
184 20.59 59.22 23.39 14.26 150.52
185 20.69 65.57 22.21 12.58 121.17
186 20.58 72.05 20.14 9.96 95.19
187 20.71 52.55 26.41 18.94 174.70
188 20.92 54.86 25.39 16.35 167.54
189 20.77 77.73 18.03 7.62 82.23
190 20.75 42.30 24.01 18.28 172.14
191 20.83 61.54 25.11 14.09 150.30
192 20.90 68.31 22.30 12.35 117.74
193 21.06 20.44 13.53 12.99 106.80
194 21.09 23.41 16.13 15.27 142.39
195 21.15 28.72 17.35 15.76 158.90
196 21.34 37.46 23.30 18.71 169.93
197 21.33 25.97 16.46 14.66 160.54
198 21.50 31.71 19.34 16.60 162.45
199 21.41 50.56 25.41 18.66 178.21
200 21.49 44.82 26.75 18.95 175.19
201 21.46 57.33 28.13 16.39 155.04
202 21.46 74.98 19.78 9.29 89.88
203 21.70 63.02 26.05 13.88 122.62
204 21.69 70.19 23.31 12.91 118.67
205 21.59 40.31 24.46 19.50 178.56
206 21.77 34.60 20.94 17.73 169.09
207 21.76 47.18 25.00 18.71 177.64
208 21.81 72.58 23.45 10.91 110.68
209 22.10 79.36 18.54 7.00 81.93
210 21.98 53.25 27.34 18.27 172.72
211 21.99 60.20 26.48 15.06 138.39
212 21.98 65.42 25.03 13.08 117.91
213 22.25 42.48 22.64 18.77 177.33
214 22.25 76.61 22.28 8.15 91.03
215 22.29 21.96 17.43 14.17 150.47
216 22.34 67.90 26.02 13.18 119.73
217 22.45 30.12 21.54 17.19 167.17
218 22.51 55.49 26.36 16.98 161.68
219 22.67 27.55 19.16 17.47 164.47
220 22.69 24.62 18.43 14.56 156.60
221 22.84 48.68 25.02 18.57 168.10
222 22.61 38.95 24.20 19.73 180.46
223 22.93 19.49 13.98 11.92 111.71
224 22.58 51.03 26.03 18.97 191.73
225 22.67 57.97 27.29 16.07 141.84
226 22.78 81.99 16.86 6.31 60.63
227 22.94 36.43 22.50 17.72 175.84
228 22.85 73.34 21.12 10.45 103.32
229 23.02 33.71 21.27 17.55 179.97
230 23.02 46.30 26.31 17.59 166.21
231 22.98 63.00 24.78 13.61 122.66
232 23.27 44.05 25.30 19.75 189.15
233 23.06 69.87 26.14 12.21 106.43
234 23.10 65.84 25.44 13.47 109.43
235 23.29 53.14 26.63 17.95 172.72
236 23.22 60.09 27.97 16.22 132.43
237 23.57 31.62 22.89 17.31 181.67
238 23.55 41.45 24.47 18.78 178.07
239 23.45 77.00 22.04 8.20 85.83
240 23.72 79.74 20.89 7.52 81.11
241 23.69 22.20 17.65 14.51 157.63
242 23.75 56.96 29.46 16.95 152.87
243 23.77 38.99 25.60 20.22 186.10
244 23.73 50.55 27.95 18.38 177.32
245 23.89 26.74 18.63 17.89 179.75
246 23.87 74.02 24.00 10.18 107.16
247 23.92 71.20 29.06 11.88 120.42
248 24.10 29.21 21.13 16.79 171.75
249 23.95 67.67 29.72 13.43 117.09
250 24.11 54.66 27.72 17.53 143.51
251 24.01 83.04 18.92 6.89 64.42
252 24.01 61.55 30.59 16.33 134.70
253 24.13 35.34 24.39 19.14 192.76
254 24.13 64.78 27.88 14.34 112.79
255 24.34 17.53 16.53 14.01 119.22
256 24.33 24.61 20.62 16.17 169.44
257 24.25 46.05 26.06 18.11 169.01
258 24.39 48.62 26.96 19.54 178.63
259 24.47 58.99 30.57 16.15 158.70
260 24.63 20.27 16.64 13.72 131.44
261 24.64 37.65 23.48 19.09 179.86
262 24.48 43.30 26.85 18.86 174.00
263 24.62 51.88 28.58 19.16 172.16
264 24.82 33.49 22.95 19.16 179.30
265 24.76 75.28 27.55 8.80 95.76
266 24.86 78.12 26.32 7.96 85.46
267 24.90 62.76 33.88 15.71 129.80
268 24.91 69.54 35.36 12.28 119.92
269 25.00 81.13 25.77 7.22 87.44
270 24.95 31.31 23.26 17.75 175.94
271 24.93 40.22 27.00 19.30 169.53
272 24.97 56.60 32.80 17.53 160.71
273 25.05 72.31 33.54 12.33 111.71
274 25.07 66.88 33.62 13.80 118.08
275 25.21 23.01 20.67 16.48 161.83
276 25.30 60.48 33.70 15.85 135.40
277 25.22 26.88 21.92 17.28 168.34
278 25.32 83.75 22.29 6.17 51.52
279 25.33 54.24 33.34 18.69 162.55
280 25.50 64.59 41.39 15.13 131.14
281 25.50 44.80 28.05 20.44 183.42
282 25.41 47.15 29.70 20.16 166.28
283 25.52 35.77 24.66 19.51 180.47
284 25.59 49.58 33.44 17.95 170.54
285 25.51 42.19 29.23 21.09 186.41
286 25.70 29.64 23.67 17.15 175.56
287 25.59 18.41 19.46 14.62 142.81
288 25.70 51.76 33.65 18.43 166.36
289 25.89 76.31 37.48 10.37 99.58
290 25.83 58.08 39.25 18.58 149.99
291 25.91 38.21 26.78 19.85 180.04
292 26.03 73.85 44.60 10.98 104.12
293 26.05 68.60 53.38 13.68 107.08
294 26.11 79.24 39.53 8.45 89.96
295 26.13 21.41 22.61 15.02 153.90
296 26.14 70.91 63.87 12.88 112.79
297 26.27 24.96 20.86 15.58 149.76
298 26.16 33.29 24.37 18.19 180.95
299 26.11 62.30 57.17 15.62 116.21
300 26.24 55.69 44.04 17.62 161.92
301 26.28 66.17 76.51 15.72 118.52
302 26.44 84.77 38.79 7.06 66.43
303 26.49 82.03 41.85 7.29 72.99
304 26.43 40.27 27.53 19.77 183.18
305 26.48 27.73 25.78 17.11 171.13
306 26.47 53.34 37.64 20.08 173.34
307 26.58 45.77 34.28 19.62 174.94
308 26.51 59.90 63.40 15.49 136.47
309 26.56 48.08 34.65 20.67 174.42
310 26.56 42.91 29.92 20.89 175.34
311 26.79 31.38 25.20 19.16 167.12
312 26.72 35.76 26.46 19.95 181.90
313 26.78 50.58 37.38 19.33 163.25
314 26.95 63.67 155.73 16.42 126.43
315 27.05 16.25 22.93 11.95 105.29
316 27.12 72.07 108.73 12.71 109.88
317 27.01 57.21 84.78 20.18 156.29
318 27.21 76.88 81.43 10.24 95.22
319 27.06 19.55 27.04 14.80 143.88
320 27.19 67.61 169.23 13.59 106.48
321 27.17 38.00 29.19 21.53 174.09
322 27.26 23.11 28.39 16.49 155.19
323 27.31 79.69 71.90 8.98 89.56
324 27.42 74.36 86.73 11.80 105.88
325 27.41 29.27 28.53 17.17 165.67
326 27.40 61.33 172.63 18.64 124.67
327 27.62 69.77 158.15 13.11 100.61
328 27.32 86.41 48.88 6.88 24.98
329 27.48 54.86 81.27 18.87 157.18
330 27.55 33.91 33.02 18.72 193.38
331 27.47 52.57 55.10 20.61 171.12
332 27.57 26.14 28.76 16.94 154.24
333 27.54 40.72 34.48 19.17 176.88
334 27.46 44.01 34.76 20.21 176.00
335 27.68 65.32 205.21 17.58 123.74
336 27.65 58.76 149.60 19.57 141.92
337 27.71 48.61 51.73 21.15 175.58
338 27.75 46.52 40.58 20.88 170.02
339 27.73 83.93 74.89 7.63 66.71
340 28.09 50.68 68.65 20.11 164.74
341 28.06 31.72 33.03 18.88 173.66
342 28.15 36.01 40.73 20.95 172.20
343 28.22 18.62 50.04 15.79 138.20
344 28.19 81.45 68.01 8.84 82.88
345 28.17 21.30 45.28 16.27 154.76
346 28.25 42.31 47.70 20.43 168.72
347 28.21 38.60 40.70 19.11 181.56
348 28.35 56.84 209.65 20.56 141.49
349 28.38 62.87 207.58 18.03 119.02
350 28.36 86.41 46.99 6.35 48.25
351 28.54 16.13 78.50 14.46 115.03
352 28.45 60.16 210.36 20.27 127.94
353 28.46 71.91 142.20 13.31 102.78
354 28.43 78.51 79.39 9.87 96.41
355 28.47 28.81 40.07 18.21 158.78
356 28.46 67.57 198.11 16.21 94.88
357 28.52 44.72 60.16 21.67 178.62
358 28.59 75.40 102.09 11.26 100.68
359 28.66 24.03 50.42 15.79 141.46
360 28.64 52.50 145.18 19.84 152.44
361 28.70 54.69 199.90 19.64 126.99
362 28.63 26.41 51.36 18.92 155.34
363 28.82 33.77 57.39 20.99 167.16
364 28.85 65.20 212.82 15.40 100.04
365 28.87 48.80 153.72 20.08 157.21
366 29.01 40.57 71.94 20.67 177.08
367 28.99 46.63 90.94 22.65 182.28
368 29.01 83.74 53.05 7.90 77.20
369 29.19 69.31 172.73 15.34 109.40
370 29.12 31.09 79.09 20.51 169.38
371 29.12 37.50 75.40 20.26 168.46
372 29.32 58.43 223.01 21.29 129.41
373 29.33 43.02 131.08 22.49 184.52
374 29.43 61.38 213.79 19.90 122.56
375 29.37 21.35 127.49 16.20 147.02
376 29.50 73.02 117.26 14.12 108.81
377 29.46 81.27 54.06 9.82 87.17
378 29.63 18.40 142.43 16.94 127.13
379 29.57 50.73 205.28 21.66 162.84
380 29.54 78.33 59.64 10.37 98.25
381 29.74 35.05 151.53 20.18 161.61
382 29.73 85.76 32.56 7.63 70.31
383 29.72 63.79 190.67 18.24 125.21
384 29.74 28.91 138.93 18.33 151.40
385 29.74 56.18 223.91 20.08 130.07
386 29.80 14.95 134.34 15.06 117.79
387 29.70 53.44 220.60 21.91 141.13
388 29.74 66.52 144.79 17.53 103.04
389 29.92 75.40 75.25 12.08 98.89
390 30.03 70.77 119.79 15.14 118.15
391 30.06 39.54 203.84 22.10 165.76
392 29.94 44.94 174.37 22.83 175.64
393 30.05 26.34 163.31 20.02 151.35
394 30.08 23.75 177.40 19.45 141.51
395 30.01 32.54 188.77 20.84 150.98
396 29.97 47.83 213.24 21.37 155.87
397 30.21 37.28 200.60 24.32 166.04
398 30.54 12.70 125.15 15.42 88.79
399 30.31 42.01 208.71 22.19 168.94
400 30.31 59.53 189.96 19.99 124.87
401 30.45 68.08 113.62 16.16 115.07
402 30.39 88.26 23.93 6.77 47.59
403 30.60 82.96 33.18 9.41 77.38
404 30.67 20.99 170.88 17.12 132.50
405 30.71 30.57 186.62 20.70 153.88
406 30.67 49.89 229.33 22.00 153.71
407 30.60 62.12 148.29 19.92 131.63
408 30.72 80.23 38.91 10.82 92.41
409 30.78 52.35 208.68 21.50 140.94
410 30.70 54.81 216.70 22.60 131.82
411 30.70 77.51 41.61 12.84 103.16
412 30.85 57.27 180.06 22.02 124.53
413 30.81 72.69 55.92 14.08 104.81
414 30.82 64.87 99.52 17.54 119.68
415 30.90 46.17 226.14 24.00 164.88
416 31.01 18.33 166.21 17.16 119.50
417 31.02 28.06 200.08 20.34 143.39
418 31.09 33.58 217.44 22.49 151.36
419 31.02 35.80 217.47 23.63 167.49
420 31.10 43.81 223.61 24.26 153.23
421 31.14 85.49 28.34 8.44 77.07
422 31.15 69.93 61.12 16.52 123.38
423 31.26 38.25 219.98 23.23 156.10
424 31.33 40.47 229.29 23.22 157.85
425 31.22 75.23 38.89 12.89 105.98
426 31.43 15.58 140.26 16.60 115.96
427 31.33 25.48 195.35 19.84 154.28
428 31.45 23.15 194.15 20.61 147.98
429 31.48 48.25 212.71 24.38 155.75
430 31.33 59.85 107.03 20.18 140.51
431 31.49 66.92 66.21 17.38 125.20
432 31.64 62.44 80.38 20.32 131.13
433 31.87 31.76 212.11 21.80 160.81
434 31.74 50.47 200.49 23.50 163.13
435 31.70 55.35 175.66 22.85 139.84
436 31.91 80.86 34.21 10.62 91.92
437 31.97 29.54 206.70 21.21 137.98
438 31.95 42.22 219.80 25.14 154.87
439 31.83 78.04 38.39 12.09 99.15
440 32.15 13.46 93.09 14.33 102.88
441 31.89 52.91 172.92 22.20 148.61
442 32.05 73.41 38.87 14.63 112.83
443 32.13 21.05 161.50 19.41 129.20
444 32.01 57.77 103.16 22.36 154.05
445 32.11 64.49 58.72 18.08 129.38
446 32.19 71.15 44.57 17.16 119.21
447 32.18 87.15 34.76 9.49 69.72
448 32.08 46.42 195.17 24.65 156.66
449 32.24 83.25 35.21 10.12 82.20
450 32.18 35.65 211.96 22.67 151.83
451 32.28 27.12 186.12 21.75 143.44
452 32.30 68.71 47.23 16.21 122.28
453 32.21 17.96 119.16 17.86 125.22
454 32.34 44.26 200.63 25.34 154.29
455 32.52 33.70 200.47 22.00 159.69
456 32.40 60.23 61.45 21.56 131.04
457 32.40 37.97 209.93 23.70 152.99
458 32.56 75.53 40.22 14.10 106.72
459 32.60 40.17 199.33 25.50 153.15
460 32.67 24.49 142.72 19.26 138.41
461 32.68 66.34 45.94 19.36 128.20
462 32.80 48.40 138.19 23.77 169.01
463 32.68 50.82 130.38 22.52 161.88
464 32.98 89.50 52.20 9.06 44.53
465 32.79 55.64 88.76 22.65 155.64
466 32.89 62.54 49.39 19.92 137.03
467 32.84 53.32 100.01 24.55 152.20
468 32.94 78.21 43.13 13.48 102.36
469 33.16 15.91 67.72 16.89 125.64
470 33.06 85.34 55.07 10.24 81.96
471 33.15 31.80 152.99 21.52 157.32
472 33.10 42.20 156.12 25.46 162.50
473 33.15 19.43 95.36 19.86 140.68
474 33.10 29.52 140.33 22.04 160.66
475 33.14 58.11 57.60 22.27 146.32
476 33.09 45.77 132.28 24.67 172.36
477 33.40 80.46 58.04 11.95 94.91
478 33.32 22.59 87.84 20.67 139.84
479 33.30 36.36 139.63 24.57 170.18
480 33.30 72.96 40.00 16.43 116.52
481 33.41 69.95 41.20 17.14 122.70
482 33.47 26.97 128.22 22.69 153.20
483 33.58 64.71 41.83 18.81 130.73
484 33.58 13.19 47.93 16.93 108.15
485 33.52 38.85 124.51 23.87 165.25
486 33.64 67.42 39.65 19.24 123.64
487 33.65 60.45 44.86 23.12 141.43
488 33.71 82.97 89.74 13.10 91.15
489 33.61 51.69 68.07 23.90 168.67
490 33.70 34.19 122.12 23.59 173.11
491 33.88 49.47 69.32 24.76 175.90
492 33.79 75.46 50.34 15.20 110.45
493 33.98 86.87 99.48 10.89 63.55
494 33.83 43.82 78.32 25.62 172.43
495 33.84 54.10 61.96 25.22 163.29
496 33.98 46.62 69.90 25.72 165.64
497 33.99 56.39 51.85 22.98 150.52
498 34.09 24.98 72.61 21.53 156.96
499 34.10 40.89 69.83 24.22 161.16
500 33.87 17.13 55.33 15.58 128.67
501 34.16 20.61 56.42 18.56 150.43
502 34.16 29.27 75.80 21.86 157.33
503 34.19 77.68 95.84 16.07 96.22
504 34.23 62.77 39.59 21.66 134.60
505 34.45 17.96 42.64 18.63 131.28
506 34.46 89.46 107.33 10.90 55.76
507 34.31 31.89 77.08 23.64 157.96
508 34.29 71.22 45.05 18.53 124.90
509 34.29 37.08 80.21 25.42 165.13
510 34.44 58.54 43.68 23.88 135.08
511 34.46 15.45 35.21 17.99 122.14
512 34.71 22.78 52.73 21.93 140.24
513 34.71 73.42 63.14 18.82 127.66
514 34.64 68.17 42.70 20.60 127.65
515 34.88 84.28 134.18 14.91 86.28
516 34.81 65.37 43.64 20.69 125.48
517 34.82 27.27 51.26 22.72 153.18
518 34.78 34.48 59.33 25.09 160.95
519 34.70 51.93 48.71 26.34 161.81
520 34.81 81.13 138.46 15.18 95.31
521 34.86 11.83 24.11 15.28 88.33
522 34.75 48.02 55.89 26.34 171.27
523 34.78 43.33 52.08 27.84 168.20
524 34.97 60.80 41.97 24.22 147.36
525 34.92 54.23 47.16 25.88 148.27
526 35.08 39.02 46.70 25.92 169.87
527 34.88 14.58 38.37 17.54 124.12
528 35.12 45.60 43.40 27.40 158.38
529 35.21 78.56 150.74 18.26 101.09
530 35.20 56.52 44.21 24.60 153.50
531 35.37 75.55 166.12 18.85 107.69
532 35.25 41.24 45.86 27.14 167.72
533 35.35 50.10 45.23 28.26 169.91
534 35.26 30.18 49.98 24.16 154.44
535 35.22 87.62 132.65 14.31 85.69
536 35.43 20.29 35.51 20.20 142.05
537 35.31 36.46 44.57 25.81 158.61
538 35.41 24.84 36.12 21.41 137.21
539 35.35 63.03 45.79 21.67 135.78
540 35.37 70.76 81.69 20.77 126.57
541 35.51 32.50 47.23 23.87 158.83
542 35.62 58.84 46.25 26.74 152.60
543 35.74 17.56 32.16 19.38 130.93
544 35.69 68.27 71.66 22.45 129.90
545 35.99 14.64 27.78 18.98 119.07
546 35.94 28.04 39.21 24.25 149.77
547 35.84 47.66 41.01 27.71 154.78
548 35.96 52.21 44.29 29.70 170.56
549 36.12 65.92 77.95 25.37 131.41
550 35.94 43.15 42.41 29.12 158.39
551 36.17 82.51 149.37 17.35 94.94
552 35.86 86.12 132.70 19.43 90.72
553 36.03 54.46 45.91 29.18 166.28
554 36.05 73.05 165.27 23.35 118.16
555 35.90 88.20 115.29 14.88 69.12
556 36.11 34.74 38.35 26.89 169.49
557 36.25 12.12 23.86 18.75 114.13
558 36.22 22.61 29.23 20.12 124.72
559 36.28 79.96 156.97 20.31 107.29
560 36.20 37.49 39.45 27.07 166.16
561 36.27 84.95 141.80 17.61 89.05
562 36.27 61.05 63.12 27.04 155.29
563 36.35 63.60 105.92 28.27 147.20
564 36.35 45.56 41.57 29.97 173.71
565 36.35 56.72 47.73 27.66 154.41
566 36.47 25.73 34.39 24.84 153.14
567 36.35 40.07 39.56 25.85 162.07
568 36.56 77.27 178.80 22.57 112.34
569 36.49 30.38 36.47 26.61 158.71
570 36.58 49.28 44.38 30.27 168.76
571 36.55 70.52 180.50 26.03 127.20
572 36.84 92.40 48.96 16.66 23.82
573 36.79 20.03 33.80 22.02 135.85
574 36.75 32.67 39.21 26.51 159.66
575 36.83 58.90 65.08 29.19 157.02
576 36.85 68.04 156.47 25.95 131.55
577 36.91 74.98 196.38 23.75 116.70
578 36.98 16.63 30.09 20.80 122.69
579 36.99 42.12 45.34 31.80 163.88
580 37.07 87.37 109.65 23.80 86.94
581 36.77 84.20 129.25 17.50 46.94
582 37.04 51.41 63.24 31.13 173.28
583 37.19 10.36 28.22 18.15 104.35
584 37.09 53.89 65.25 31.85 160.82
585 37.15 28.18 38.24 24.70 162.55
586 37.25 35.47 47.04 28.78 166.23
587 37.26 37.88 51.07 31.33 168.83
588 37.33 23.63 35.82 24.71 146.37
589 37.32 44.31 50.63 29.96 168.76
590 37.35 72.59 186.96 28.38 123.35
591 37.39 46.84 57.49 31.17 168.36
592 37.39 80.94 136.31 25.58 97.82
593 37.59 13.66 37.87 20.22 127.80
594 37.51 61.49 190.02 31.39 145.33
595 37.54 63.84 194.31 33.01 157.03
596 37.48 66.04 211.15 30.53 134.74
597 37.45 56.49 80.54 31.84 161.05
598 37.68 40.15 68.64 33.21 167.08
599 37.51 83.27 112.97 26.50 86.69
600 37.77 30.61 58.11 29.65 160.66
601 37.77 70.15 198.37 31.97 132.07
602 37.81 18.53 50.44 25.55 158.97
603 37.84 25.93 46.32 26.17 158.96
604 37.74 49.44 81.44 35.04 169.22
605 37.86 84.36 109.80 28.43 96.29
606 37.80 33.20 67.86 31.23 168.28
607 37.80 78.00 126.78 30.26 105.87
608 38.05 21.25 61.82 27.08 155.50
609 37.82 90.22 66.20 26.45 53.17
610 37.94 58.87 158.26 34.56 163.95
611 37.83 92.45 36.12 23.61 16.83
612 38.06 52.05 164.14 37.82 170.32
613 38.07 74.84 160.91 32.91 127.72
614 38.20 67.99 199.71 33.69 146.90
615 38.25 42.52 113.59 36.67 176.41
616 38.27 54.37 174.72 35.27 162.01
617 38.30 28.23 84.76 33.06 205.39
618 38.23 87.50 86.04 36.61 89.89
619 38.47 15.96 60.73 26.87 150.51
620 38.58 10.60 75.86 22.76 127.19
621 38.38 37.90 141.71 37.15 173.36
622 38.41 85.93 93.98 32.90 76.32
623 38.52 35.25 106.50 35.15 171.33
624 38.50 44.93 123.58 36.52 178.79
625 38.48 47.43 139.24 39.60 180.70
626 38.61 72.13 174.46 39.52 137.71
