#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf8 14A 3 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
222 23.44 41.52 30.06 10.01 180.52
223 23.34 76.25 70.75 5.89 90.24
224 23.38 39.19 28.54 9.06 176.27
225 23.60 25.74 25.14 8.44 150.82
226 23.44 50.85 39.28 9.51 207.52
227 23.58 53.49 37.78 9.77 181.09
228 23.66 29.96 26.52 8.61 163.39
229 23.83 79.13 64.82 5.40 62.05
230 23.71 46.15 32.16 8.71 180.59
231 23.79 65.78 62.24 8.76 157.58
232 24.00 19.81 23.91 6.19 124.49
233 23.89 60.69 51.84 8.39 166.56
234 24.04 14.39 17.53 5.43 59.10
235 24.16 17.03 23.30 6.57 95.81
236 24.19 23.24 25.12 7.99 135.72
237 24.11 37.09 29.52 8.88 170.66
238 24.07 56.48 45.37 9.90 173.08
239 24.09 73.00 87.96 7.76 136.25
240 24.19 32.52 28.16 9.14 167.14
241 24.34 43.86 33.70 9.59 174.86
242 24.33 48.62 39.34 8.93 186.25
243 24.30 68.61 84.75 8.55 152.57
244 24.53 28.07 26.85 8.30 158.94
245 24.38 63.37 72.36 8.24 165.69
246 24.61 52.03 41.24 9.60 180.82
247 24.66 75.60 92.40 5.98 121.13
248 24.76 34.76 31.04 9.49 171.32
249 24.81 39.40 33.91 9.85 170.49
250 24.75 58.86 59.24 8.95 174.54
251 24.81 41.76 34.58 9.64 176.37
252 24.89 54.39 50.58 9.59 179.81
253 25.12 70.73 111.46 7.75 142.16
254 25.01 46.06 40.19 9.88 183.62
255 25.13 30.40 32.31 9.00 155.02
256 25.14 26.05 30.15 8.11 153.02
257 25.02 65.85 95.93 9.09 159.59
258 25.26 78.17 96.30 5.99 94.37
259 25.23 61.40 78.07 8.83 176.79
260 25.31 21.38 30.61 7.60 131.34
261 25.37 49.99 44.03 10.67 180.95
262 25.53 80.74 83.30 5.30 57.09
263 25.34 13.85 23.03 5.29 69.29
264 25.37 56.62 63.83 9.35 177.60
265 25.42 18.71 32.48 6.27 119.49
266 25.45 36.97 36.94 8.98 168.84
267 25.59 73.12 113.68 7.43 142.78
268 25.65 32.67 32.41 8.48 160.80
269 25.59 68.19 107.48 8.25 153.20
270 25.73 24.06 33.87 7.50 146.96
271 25.77 63.52 112.41 9.44 178.98
272 25.93 16.33 32.26 6.59 98.14
273 25.82 47.77 48.91 9.08 179.08
274 25.89 44.14 47.79 9.25 179.50
275 25.97 52.03 58.27 9.65 188.12
276 25.93 76.03 115.00 7.26 122.92
277 26.08 41.80 43.91 9.51 178.17
278 26.03 59.60 95.19 9.85 176.36
279 26.18 28.12 40.59 8.20 158.86
280 26.19 34.83 36.03 9.67 161.88
281 26.12 39.27 42.22 9.92 171.90
282 26.22 54.28 67.06 9.06 174.04
283 26.34 66.03 138.66 9.16 167.52
284 26.56 12.84 29.26 5.07 53.34
285 26.56 30.93 43.45 8.73 170.22
286 26.54 57.27 93.60 9.37 183.72
287 26.82 45.69 63.05 9.02 181.71
288 26.78 82.18 67.38 4.87 40.54
289 26.73 22.44 42.81 8.06 139.55
290 26.86 19.37 42.90 6.81 127.86
291 26.82 68.87 143.50 7.88 152.91
292 26.78 71.55 139.92 8.03 146.23
293 26.90 25.68 49.65 7.86 159.64
294 26.92 50.28 74.73 9.13 185.72
295 26.90 36.96 47.20 9.30 174.92
296 27.04 61.60 119.17 9.62 174.51
297 27.10 77.74 116.65 6.34 106.53
298 27.01 63.71 137.94 9.35 178.48
299 27.04 47.99 68.59 10.33 182.53
300 27.17 74.47 140.46 7.82 126.74
301 27.28 16.36 50.01 6.83 112.45
302 27.25 42.88 63.73 9.85 174.85
303 27.31 33.99 50.13 8.95 163.64
304 27.26 40.05 49.18 9.95 163.96
305 27.35 55.60 97.60 9.78 189.67
306 27.37 59.38 122.34 10.43 180.61
307 27.40 52.87 91.05 9.36 180.78
308 27.52 28.65 55.95 8.31 160.16
309 27.71 65.74 162.35 10.01 165.83
310 27.87 80.11 107.69 6.59 77.97
311 27.79 31.72 61.69 9.41 163.78
312 27.95 13.65 55.64 6.00 73.95
313 28.04 72.59 153.94 8.91 137.99
314 27.95 22.40 63.80 8.07 144.17
315 28.03 37.70 63.63 9.51 174.99
316 28.09 67.87 162.71 8.62 163.41
317 28.25 70.12 160.31 8.93 157.32
318 28.11 25.15 70.70 7.92 154.85
319 28.09 45.68 90.96 10.37 181.88
320 28.20 57.62 133.08 10.46 188.96
321 28.18 48.37 93.49 9.73 175.91
322 28.25 51.08 110.62 9.98 182.35
323 28.24 19.42 68.00 7.72 131.81
324 28.39 63.14 170.47 9.38 161.43
325 28.38 35.15 72.54 9.13 171.14
326 28.49 40.04 88.63 9.82 189.19
327 28.35 42.88 94.60 9.75 176.20
328 28.50 54.21 129.68 10.76 190.42
329 28.51 60.59 161.34 10.47 183.83
330 28.59 75.29 142.23 7.98 123.86
331 28.71 82.77 74.32 5.74 51.21
332 28.75 27.43 87.58 8.87 158.40
333 28.81 77.83 124.09 6.60 110.74
334 28.70 16.74 76.94 7.13 113.58
335 28.70 30.19 76.93 9.75 158.58
336 29.08 32.95 95.17 9.65 156.32
337 29.03 66.00 168.56 9.75 165.55
338 29.23 11.09 65.16 5.63 52.64
339 29.19 21.92 91.04 8.31 144.20
340 29.25 44.57 117.71 9.79 182.73
341 29.22 56.50 153.50 9.72 182.33
342 29.21 36.77 97.27 10.14 175.58
343 29.39 46.99 117.66 10.86 173.81
344 29.38 49.47 133.68 10.40 185.27
345 29.33 71.91 150.49 8.99 153.44
346 29.43 14.41 83.75 6.93 99.48
347 29.57 24.67 108.66 9.12 149.18
348 29.44 41.43 115.10 10.34 175.68
349 29.49 52.00 144.79 11.05 191.14
350 29.48 68.48 155.31 9.23 154.60
351 29.48 80.13 102.56 6.85 84.92
352 29.54 59.08 163.56 10.61 182.25
353 29.59 63.86 173.28 10.05 175.95
354 29.65 19.21 96.94 8.49 130.48
355 29.70 38.57 117.88 10.26 183.85
356 29.75 54.26 150.39 11.16 188.30
357 29.89 61.57 164.70 10.63 170.60
358 29.76 30.33 119.82 9.60 167.35
359 29.93 34.90 118.84 9.87 167.75
360 29.93 74.33 143.02 8.41 134.61
361 30.01 26.97 127.11 8.86 160.45
362 30.18 83.75 62.62 6.27 47.39
363 30.21 43.28 134.80 9.95 181.42
364 30.31 77.21 116.58 7.95 113.56
365 30.49 9.77 66.97 5.54 41.35
366 30.45 16.65 109.31 7.68 121.50
367 30.43 32.35 134.29 10.67 169.56
368 30.39 65.97 167.45 9.94 163.95
369 30.39 57.43 173.98 11.00 189.48
370 30.50 71.10 140.03 8.81 144.97
371 30.62 81.30 88.04 7.13 86.76
372 30.68 12.62 95.22 6.65 81.16
373 30.55 22.65 110.47 8.61 135.48
374 30.50 39.83 136.66 10.43 177.46
375 30.53 45.69 145.22 10.38 185.13
376 30.64 50.64 165.92 11.60 183.51
377 30.70 28.87 140.61 9.39 161.25
378 30.78 48.38 154.97 10.61 182.86
379 30.91 36.58 138.78 10.06 162.45
380 30.79 68.25 143.85 10.67 158.75
381 30.85 55.42 171.06 10.39 177.17
382 30.98 52.96 169.52 10.42 183.40
383 30.92 59.64 190.38 12.05 207.26
384 30.88 63.60 168.93 10.27 175.33
385 30.95 19.88 111.22 8.57 133.78
386 31.11 41.74 155.55 11.08 176.80
387 31.31 25.14 128.95 8.94 139.90
388 31.26 33.91 152.29 10.21 161.94
389 31.13 74.73 118.32 9.24 144.23
390 31.36 79.27 94.05 7.69 107.64
391 31.40 85.48 50.05 6.45 32.26
392 31.41 61.68 162.97 10.73 189.25
393 31.61 14.70 112.02 8.43 104.31
394 31.66 30.68 146.25 10.66 160.21
395 31.67 43.92 156.37 11.20 182.93
396 31.58 38.90 150.58 10.35 162.23
397 31.87 72.28 121.16 9.69 154.21
398 31.82 27.68 139.69 9.27 149.61
399 31.75 46.50 161.20 11.28 188.98
400 31.69 57.33 168.72 11.00 176.72
401 31.71 65.49 145.04 10.23 170.45
402 31.68 69.96 133.12 10.49 154.58
403 31.86 83.57 65.95 7.72 56.68
404 31.79 8.86 59.50 6.68 40.14
405 31.82 17.85 119.50 8.55 126.03
406 31.92 22.11 116.80 8.94 137.71
407 31.94 50.93 164.69 11.58 190.50
408 32.01 76.94 97.19 10.09 125.54
409 31.97 54.44 177.09 11.33 175.19
410 32.24 11.67 88.91 6.74 67.65
411 32.17 67.70 125.17 11.36 160.08
412 32.24 48.87 153.26 11.03 174.57
413 32.31 37.20 155.96 10.86 166.80
414 32.31 60.01 148.43 10.78 174.80
415 32.28 41.57 159.05 11.16 173.47
416 32.41 81.51 82.16 8.92 91.52
417 32.32 34.54 145.21 10.37 162.74
418 32.40 63.41 142.83 11.22 174.30
419 32.51 74.51 98.47 9.82 144.20
420 32.68 31.98 149.33 10.76 150.26
421 32.85 20.08 109.04 9.22 131.20
422 32.76 24.00 127.06 10.12 137.41
423 32.72 52.48 142.18 11.82 188.76
424 32.86 78.85 82.80 9.85 111.95
425 32.88 44.76 146.22 11.95 172.55
426 32.88 14.52 110.27 8.83 114.02
427 33.00 39.72 156.77 12.08 177.27
428 32.90 57.60 139.85 11.53 188.15
429 33.01 26.49 120.61 10.25 140.80
430 33.03 28.96 131.37 10.06 145.43
431 32.91 69.85 102.81 10.93 152.26
432 32.99 16.96 103.56 9.53 130.89
433 33.01 55.15 153.68 11.76 191.12
434 33.02 65.84 115.72 10.58 160.72
435 33.14 47.50 146.96 11.04 183.33
436 33.20 9.32 60.14 6.03 44.28
437 33.28 61.83 125.15 12.20 180.19
