#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf8 14A 1 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
179 19.60 25.12 24.90 15.30 166.63
180 19.56 43.98 28.81 18.14 179.38
181 19.75 51.09 30.20 17.98 183.97
182 19.98 68.78 32.05 14.77 159.07
183 19.78 18.89 22.04 11.22 136.95
184 19.83 65.80 30.16 14.72 168.98
185 19.90 38.41 26.13 17.86 166.25
186 20.01 30.13 27.15 15.33 158.05
187 20.11 55.03 30.04 15.98 171.72
188 20.17 62.90 29.79 15.86 165.96
189 20.26 15.57 18.64 8.85 76.29
190 20.36 57.71 32.64 17.62 186.01
191 20.47 48.68 32.57 17.48 170.47
192 20.52 21.26 24.44 11.99 139.15
193 20.44 27.15 26.82 15.70 160.90
194 20.65 23.53 25.73 13.14 133.82
195 20.62 33.72 28.48 16.19 153.60
196 20.82 60.15 33.52 15.73 171.88
197 20.68 74.21 35.10 13.31 127.25
198 20.70 45.84 30.16 17.83 170.73
199 20.84 36.71 31.52 17.51 173.22
200 20.96 43.02 29.94 17.21 157.78
201 21.02 17.46 22.73 11.60 126.78
202 20.98 51.70 31.24 16.87 181.62
203 20.98 71.17 37.16 15.11 170.01
204 21.21 31.84 28.42 17.62 162.04
205 21.14 65.73 37.86 16.25 183.00
206 21.28 39.64 30.99 16.70 162.61
207 21.38 29.38 29.34 16.47 172.13
208 21.41 19.72 26.53 12.82 152.70
209 21.51 53.98 34.33 16.34 176.07
210 21.61 76.95 39.15 12.40 107.30
211 21.56 56.58 36.86 17.58 185.02
212 21.50 25.48 28.44 14.29 165.32
213 21.54 62.54 34.39 15.39 173.43
214 21.66 68.35 35.97 14.41 160.23
215 21.83 49.19 32.70 17.05 173.60
216 21.91 15.56 23.31 9.64 108.88
217 21.92 35.82 30.85 17.20 168.94
218 21.93 46.17 32.66 17.58 172.72
219 22.10 74.44 45.73 13.34 155.69
220 22.16 42.00 32.64 16.87 177.75
221 22.31 23.90 30.75 14.44 153.72
222 22.25 27.46 33.14 15.83 165.98
223 22.30 58.89 37.07 16.13 174.12
224 22.19 71.75 46.33 14.93 172.49
225 22.29 21.59 27.18 13.24 151.18
226 22.40 64.81 40.81 15.43 182.81
227 22.53 52.12 36.67 16.84 170.63
228 22.41 32.08 31.01 16.43 162.50
229 22.64 18.13 24.35 10.66 128.16
230 22.60 39.40 32.74 17.28 172.12
231 22.84 44.31 36.06 17.73 178.20
232 22.81 61.38 39.87 16.66 184.27
233 22.78 78.90 36.70 11.68 77.51
234 22.81 55.49 39.60 17.29 175.00
235 22.91 29.86 33.57 16.26 168.90
236 22.89 34.39 33.06 17.18 172.98
237 22.87 69.14 43.11 14.79 178.36
238 23.06 14.69 25.34 10.46 108.05
239 23.17 37.24 36.55 18.13 176.19
240 23.11 49.64 38.67 16.75 184.11
241 23.24 47.18 36.31 17.67 176.78
242 23.30 75.49 46.31 13.18 134.76
243 23.47 66.48 41.67 15.43 173.12
244 23.40 20.61 29.30 11.93 139.34
245 23.51 25.79 33.18 14.77 155.40
246 23.40 72.35 52.23 14.39 166.84
247 23.69 23.39 31.87 13.04 157.68
248 23.67 28.32 34.85 14.69 157.01
249 23.70 57.58 42.81 17.40 180.55
250 23.70 63.41 45.28 16.79 185.76
251 23.76 42.36 39.08 17.70 177.71
252 23.73 53.68 41.03 16.82 184.85
253 23.80 32.15 33.34 16.35 158.48
254 23.85 16.95 27.08 10.56 129.72
255 23.94 39.83 37.81 18.01 185.40
256 24.01 60.26 43.82 16.15 189.92
257 24.07 77.87 49.55 13.14 118.27
258 24.05 35.63 39.40 18.37 183.43
259 24.07 45.34 40.24 17.89 183.07
260 24.12 69.93 50.81 13.84 177.14
261 24.17 13.47 25.14 8.99 89.97
262 24.14 50.96 42.72 17.12 181.53
263 24.51 19.43 29.94 11.25 141.95
264 24.55 48.46 43.96 16.83 182.45
265 24.67 55.49 49.31 17.15 182.76
266 24.67 72.80 54.50 15.18 159.78
267 24.74 38.09 39.29 16.88 178.13
268 24.74 22.31 33.20 12.35 155.46
269 24.72 67.37 52.23 15.21 180.44
270 24.77 34.13 38.56 17.92 186.33
271 24.89 75.40 58.03 14.43 153.84
272 24.87 64.63 50.64 16.08 175.80
273 24.89 15.88 28.02 9.73 115.38
274 24.94 26.75 36.68 12.99 146.36
275 24.87 29.31 36.10 14.95 155.76
276 25.07 31.81 41.18 15.35 162.43
277 25.05 61.91 53.58 16.43 178.58
278 25.06 43.76 41.85 17.74 178.93
279 25.01 52.70 51.42 17.28 193.86
280 25.03 58.15 55.13 17.00 189.11
281 25.39 24.74 39.35 13.59 150.69
282 25.18 40.94 41.60 17.79 183.51
283 25.25 46.52 46.24 18.84 195.75
284 25.42 78.28 57.77 12.94 128.98
285 25.48 70.16 53.02 15.52 160.39
286 25.48 81.39 44.03 11.56 63.72
287 25.51 36.59 42.63 17.80 175.79
288 25.61 49.82 50.91 18.66 188.07
289 25.70 19.19 33.80 11.44 134.50
290 25.94 54.67 50.95 17.43 182.71
291 25.92 60.18 55.67 15.83 186.44
292 26.05 13.22 25.50 9.50 67.27
293 25.95 22.07 37.91 13.38 146.09
294 25.98 34.28 43.88 16.39 172.00
295 26.01 67.38 62.42 16.16 173.15
296 26.06 15.78 35.76 10.38 119.95
297 26.11 39.28 47.57 17.54 185.67
298 26.15 73.12 62.98 14.98 153.34
299 26.26 57.13 55.92 19.45 175.64
300 26.07 64.29 60.04 15.77 173.70
301 26.15 29.57 43.29 16.88 162.15
302 26.20 43.02 50.18 17.78 184.69
303 26.17 52.02 53.03 18.72 189.90
304 26.34 75.76 68.62 14.59 166.07
305 26.29 46.08 53.30 17.07 190.20
306 26.43 27.38 44.12 14.46 166.75
307 26.45 32.09 44.21 14.92 165.25
308 26.62 48.58 56.51 18.88 187.78
309 26.66 18.15 37.15 10.38 138.98
310 26.70 25.13 40.73 13.67 155.06
311 26.69 37.08 48.68 16.30 170.87
312 26.71 78.79 71.70 14.31 145.43
313 26.91 62.46 61.31 17.47 169.92
314 26.99 70.88 65.60 15.76 161.74
315 26.99 41.15 51.14 18.78 195.66
316 27.11 81.74 56.21 12.68 94.10
317 27.08 59.93 66.09 16.82 183.54
318 27.11 53.70 66.04 18.42 192.61
319 27.19 68.22 65.46 17.59 169.95
320 27.23 20.74 40.47 12.22 150.01
321 27.18 23.17 43.78 13.14 153.91
322 27.23 34.59 47.11 18.16 177.53
323 27.20 44.70 57.96 18.89 187.62
324 27.30 50.80 65.69 18.43 186.79
325 27.20 65.49 68.28 16.52 182.92
326 27.23 14.51 36.43 8.67 103.49
327 27.39 30.93 46.99 15.52 166.65
328 27.46 57.89 68.78 18.29 191.82
329 27.61 16.89 42.43 10.87 136.00
330 27.63 76.12 73.69 15.19 162.00
331 27.64 27.72 46.29 14.07 145.77
332 27.65 47.44 61.72 17.86 189.95
333 27.78 73.39 67.01 15.59 164.47
334 27.85 55.70 73.60 18.43 195.53
335 27.78 37.40 55.60 18.18 175.83
336 27.91 39.85 56.07 17.52 181.99
337 27.98 42.72 57.16 18.81 182.07
338 28.02 78.95 76.13 14.04 144.10
339 28.14 33.54 54.74 15.54 178.79
340 28.15 61.32 79.79 16.60 177.18
341 28.17 64.04 75.86 16.72 177.87
342 28.20 24.52 43.28 12.60 146.77
343 28.23 52.63 73.45 18.28 196.40
344 28.34 18.79 47.06 11.27 142.91
345 28.39 45.59 66.84 19.74 196.12
346 28.46 49.57 66.71 19.22 182.43
347 28.38 67.19 75.69 16.77 172.97
348 28.47 70.37 76.03 16.07 164.03
349 28.48 21.47 46.99 12.43 143.78
350 28.41 30.36 53.61 14.78 172.90
351 28.44 14.65 36.77 9.33 88.28
352 28.70 35.95 59.57 16.91 180.31
353 28.58 57.92 80.31 17.48 190.26
354 28.79 81.62 65.55 13.69 111.46
355 28.83 27.94 54.38 14.51 169.09
356 28.98 54.68 73.21 18.45 186.28
357 28.99 75.73 77.02 16.24 160.02
358 29.03 41.21 62.23 19.17 181.42
359 29.01 38.58 63.23 16.78 178.73
360 29.13 32.64 54.21 15.52 155.54
361 29.21 59.89 86.17 17.53 187.86
362 29.15 43.89 70.63 18.28 194.17
363 29.31 72.78 72.49 16.06 159.43
364 29.22 47.62 76.14 20.19 192.10
365 29.33 26.08 52.14 12.92 151.77
366 29.24 78.80 78.92 16.16 168.96
367 29.32 12.98 30.19 9.38 56.42
368 29.33 65.17 80.05 16.80 173.36
369 29.42 16.32 47.70 9.31 118.84
370 29.37 23.43 55.74 12.09 145.46
371 29.33 51.80 76.45 18.77 192.32
372 29.38 62.54 79.48 17.86 180.00
373 29.49 84.32 46.74 13.14 67.23
374 29.54 68.18 84.43 16.83 178.65
375 29.49 19.22 52.99 11.84 139.86
376 29.67 56.89 79.71 18.44 183.07
377 29.66 30.08 56.98 14.81 154.92
378 29.87 35.59 62.37 16.51 163.16
379 29.89 49.75 76.20 19.18 182.94
380 30.02 45.91 75.96 19.41 192.98
381 30.15 70.40 86.78 17.29 174.62
