#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
hre1 14A 7 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
295 26.95 54.68 68.45 18.10 168.56
296 27.09 15.77 14.77 7.45 84.07
297 27.04 28.61 21.63 14.66 145.60
298 27.17 75.63 89.23 11.54 85.38
299 27.05 38.16 29.76 18.88 176.65
300 27.05 49.39 49.89 18.61 181.72
301 27.26 31.24 24.28 15.55 161.80
302 27.20 52.29 67.70 19.22 176.64
303 27.27 42.56 36.12 18.51 187.33
304 27.38 46.87 49.17 18.97 183.59
305 27.51 70.39 120.52 15.11 134.00
306 27.60 26.37 23.14 13.11 135.62
307 27.52 59.11 176.46 18.66 156.75
308 27.52 64.68 176.19 17.35 138.26
309 27.64 78.07 92.47 11.16 89.66
310 27.60 40.24 38.31 18.42 175.07
311 27.54 56.75 175.79 20.04 162.97
312 27.61 67.20 171.70 16.92 124.25
313 27.76 18.62 18.60 9.14 101.79
314 27.79 23.93 23.18 12.82 126.06
315 27.77 36.02 31.69 17.65 179.74
316 27.85 61.18 202.70 19.55 155.08
317 27.96 21.46 22.01 11.45 109.40
318 28.07 50.80 122.37 21.93 189.88
319 28.14 80.71 78.32 10.89 75.90
320 28.12 44.46 59.66 19.74 187.22
321 28.14 53.82 176.68 21.16 175.77
322 28.12 72.60 139.59 15.13 107.94
323 28.14 29.00 26.60 13.77 140.51
324 28.15 48.45 104.86 20.80 175.07
325 28.26 33.92 34.16 17.41 164.58
326 28.30 37.89 42.04 18.61 167.90
327 28.43 15.81 25.49 8.23 91.96
328 28.45 42.21 62.01 19.16 182.49
329 28.48 31.62 34.15 16.17 161.87
330 28.60 63.30 202.50 18.70 136.49
331 28.62 75.04 126.08 13.87 96.41
332 28.68 55.75 208.57 21.14 164.84
333 28.67 46.46 124.01 20.84 190.50
334 28.77 68.04 174.35 17.87 134.00
335 28.74 58.15 208.69 20.19 148.73
336 28.82 65.64 196.49 19.30 137.84
337 28.88 40.05 77.70 19.75 184.20
338 28.96 60.87 208.13 19.13 135.88
339 28.89 70.54 162.37 15.32 115.53
340 29.00 52.06 202.83 20.33 168.73
341 28.96 26.74 38.01 14.56 136.40
342 28.97 77.76 95.82 12.70 95.17
343 28.98 24.07 36.96 12.36 125.32
344 29.14 18.53 37.37 10.00 105.81
345 29.27 21.16 37.24 10.42 102.93
346 29.22 35.34 59.35 19.12 168.12
347 29.23 49.02 190.70 21.67 180.02
348 29.24 29.22 49.27 15.61 148.89
