#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
hre2 14A 5 even-skipped Kruppel hunchback
166 19.43 69.51 21.58 12.74 148.58
167 19.46 77.57 18.12 9.02 105.87
168 19.49 46.18 26.30 14.94 140.88
169 19.57 36.80 26.12 13.56 119.47
170 19.72 49.32 26.09 14.90 144.60
171 20.09 54.84 25.30 14.48 154.71
172 20.07 57.40 24.34 14.41 163.82
173 20.06 24.63 19.71 9.08 99.41
174 20.18 17.71 17.46 6.31 68.64
175 20.17 64.44 23.95 13.08 153.10
176 20.25 39.15 24.70 14.51 139.50
177 20.24 72.94 20.07 11.20 135.16
178 20.40 34.18 24.35 12.62 123.57
179 20.23 51.58 25.62 13.85 141.31
180 20.34 28.47 21.83 10.78 106.41
181 20.58 75.42 18.88 10.23 119.83
182 20.47 59.75 24.15 13.48 156.48
183 20.62 41.86 25.19 14.56 141.80
184 20.53 44.69 27.64 14.70 148.61
185 20.57 67.59 22.12 13.26 157.09
186 20.74 20.31 18.55 7.96 85.14
187 20.79 31.36 21.56 12.01 119.05
188 20.90 47.45 24.39 15.44 152.24
189 20.92 70.34 22.11 12.29 150.83
190 20.96 36.77 23.00 13.17 129.95
191 21.08 62.02 25.01 14.37 164.87
192 21.21 23.01 19.01 8.71 96.88
193 21.19 49.96 25.86 14.86 165.64
194 21.23 26.54 22.75 10.34 107.75
195 21.40 77.46 19.02 10.56 110.41
196 21.41 52.41 27.60 16.16 169.36
197 21.41 65.48 23.34 13.40 159.90
198 21.55 54.89 25.67 16.16 168.44
199 21.63 57.50 24.31 14.51 163.95
200 21.68 39.75 26.88 14.31 136.49
201 21.88 29.28 22.81 10.94 114.32
202 21.74 43.16 27.84 16.27 144.42
203 21.87 18.28 16.39 7.88 83.82
204 21.84 33.28 23.43 11.67 115.97
205 21.93 45.56 27.83 15.75 153.48
206 22.01 72.03 20.53 11.78 139.70
207 22.14 60.10 24.46 15.39 161.57
208 22.12 36.46 26.00 13.31 126.72
209 22.21 68.81 22.21 13.53 143.03
210 22.17 74.60 21.18 11.99 128.02
211 22.35 63.11 25.60 14.27 163.20
212 22.32 79.63 22.05 9.53 94.78
213 22.32 49.23 28.23 15.97 175.35
214 22.44 21.36 19.72 8.94 90.85
215 22.32 25.08 19.99 10.06 104.41
216 22.61 66.11 24.60 13.42 151.92
217 22.78 41.79 26.29 14.50 140.53
218 22.68 52.87 28.36 15.60 163.95
219 22.87 55.60 28.38 15.05 163.79
220 22.91 31.26 22.93 11.30 128.90
221 22.97 47.05 28.03 15.52 166.36
222 22.86 38.95 26.56 13.35 139.06
223 22.93 76.86 22.95 11.88 114.76
224 23.06 34.71 25.16 13.58 136.97
225 23.25 28.03 23.15 11.01 119.48
226 23.20 58.02 26.56 14.77 160.56
227 23.19 18.05 18.79 7.68 83.38
228 23.32 44.57 26.78 14.66 163.61
229 23.45 50.76 29.52 15.16 171.06
230 23.38 70.42 24.29 13.57 140.25
231 23.55 60.62 26.00 14.56 167.49
232 23.57 73.39 24.52 13.08 134.33
233 23.60 25.53 22.81 10.77 116.56
234 23.65 37.21 28.07 14.56 146.08
235 23.53 63.87 25.75 14.98 152.32
236 23.59 67.29 25.49 15.05 147.20
237 23.87 15.91 17.11 6.96 74.17
238 23.84 23.06 21.39 9.63 100.73
239 23.79 79.36 28.36 10.53 110.92
240 23.89 20.45 20.55 8.88 90.74
241 24.04 32.99 25.44 12.51 138.92
242 23.94 53.93 29.20 16.37 163.90
243 23.99 40.13 26.44 14.84 148.76
244 24.02 48.34 28.85 15.64 158.12
245 24.14 42.75 26.93 14.85 161.96
246 24.16 82.01 33.11 9.95 86.44
247 24.27 29.81 24.19 11.77 123.65
248 24.47 55.91 28.06 15.73 156.98
249 24.33 75.61 27.62 12.91 120.99
250 24.47 58.35 28.94 16.28 161.39
251 24.59 45.76 26.51 16.58 166.60
252 24.50 62.17 27.15 14.79 156.72
253 24.59 65.14 26.88 14.65 158.00
254 24.63 52.01 29.41 16.68 169.59
255 24.68 68.16 28.34 14.49 151.94
256 24.65 71.14 26.22 13.46 139.76
257 24.75 36.36 28.75 14.09 139.70
258 24.93 19.22 20.24 8.42 89.06
259 24.94 25.72 22.16 10.65 117.88
260 25.12 38.90 26.94 13.97 140.98
261 25.06 49.60 28.62 15.87 152.40
262 25.09 78.56 47.01 11.29 117.28
263 25.21 34.05 25.94 13.31 128.36
264 25.25 41.80 27.43 14.78 151.89
265 25.25 22.58 23.37 9.49 98.57
266 25.37 31.51 26.55 12.22 124.44
267 25.37 59.99 29.19 16.23 169.55
268 25.37 16.57 19.84 8.09 86.29
269 25.48 28.57 22.75 11.96 126.32
270 25.52 73.05 33.86 14.61 137.05
271 25.41 82.68 72.44 10.26 91.58
272 25.65 54.30 29.05 16.89 175.88
273 25.61 47.30 29.55 16.27 164.27
274 25.56 75.92 42.53 12.10 122.39
275 25.75 44.43 28.82 16.13 162.02
276 25.65 63.04 29.69 15.40 155.50
277 25.67 56.85 28.56 16.22 164.00
278 25.83 65.67 29.62 15.71 154.54
279 25.84 68.98 29.85 16.40 147.63
280 25.80 51.80 29.42 16.80 165.02
281 26.04 80.27 109.36 11.81 110.66
282 25.93 35.87 26.12 13.46 129.19
283 26.21 19.78 23.90 8.85 93.71
284 26.28 40.17 28.42 15.55 154.07
285 26.30 25.94 23.16 11.07 108.36
286 26.38 49.51 29.86 16.19 161.12
287 26.50 70.99 41.43 14.70 141.00
288 26.58 37.70 28.67 15.02 144.06
289 26.57 60.97 29.88 16.37 154.68
290 26.56 23.02 22.83 9.96 100.22
291 26.65 33.80 28.09 13.64 138.48
292 26.60 42.35 31.50 15.90 141.54
293 26.62 58.46 34.44 16.28 171.12
294 26.71 76.87 103.94 13.97 123.07
295 26.74 14.61 20.67 7.29 76.07
296 26.77 31.38 26.75 12.69 127.25
297 26.81 17.38 25.15 8.15 86.36
298 26.73 28.79 24.85 11.89 126.61
299 26.75 46.78 30.45 16.49 165.46
300 26.83 67.00 33.56 15.79 145.44
301 26.87 73.97 62.45 15.40 132.42
302 26.85 52.74 31.19 17.10 166.22
303 26.99 55.95 32.69 16.72 169.09
304 26.86 63.49 32.34 17.13 161.91
305 27.21 81.95 142.82 11.44 96.26
306 27.23 44.46 30.51 16.41 155.03
307 27.48 21.39 27.18 10.12 92.85
308 27.44 35.94 31.11 14.53 143.13
309 27.55 69.41 66.35 15.35 148.60
310 27.48 78.88 155.63 13.68 110.43
311 27.60 25.13 25.91 11.16 108.67
312 27.55 39.43 33.25 15.38 146.11
313 27.50 49.61 32.39 18.14 169.98
314 27.81 28.00 29.19 11.44 120.64
315 27.75 61.22 36.53 17.45 156.24
316 27.85 64.48 42.69 16.10 160.45
317 27.99 71.65 129.94 15.91 139.44
318 27.89 42.06 32.00 15.68 156.03
319 27.79 53.93 35.43 17.98 161.25
320 27.92 47.22 36.25 18.09 164.70
321 27.92 58.47 35.78 17.46 166.38
322 28.03 19.09 32.36 8.77 91.95
323 28.09 51.62 35.84 18.11 177.74
324 28.02 30.92 30.33 12.94 121.36
325 28.02 33.80 32.27 13.42 134.82
326 28.04 67.12 54.65 16.25 149.98
327 28.09 16.35 32.97 8.05 84.00
328 28.12 84.00 131.81 10.84 85.14
329 28.38 14.01 37.33 7.42 71.03
330 28.37 73.96 145.96 15.90 136.53
331 28.34 76.56 156.31 14.28 116.36
332 28.40 55.88 38.65 18.29 164.47
333 28.46 37.31 33.33 14.25 140.00
334 28.42 44.89 35.45 16.02 154.72
335 28.69 79.80 157.49 12.95 97.90
336 28.80 22.40 45.24 10.46 105.00
337 28.77 49.26 37.89 18.64 175.14
338 28.80 24.86 38.76 11.59 104.19
339 28.78 40.18 38.16 16.00 144.00
340 28.87 62.00 58.02 18.15 165.65
341 28.97 69.62 153.60 17.98 145.10
342 28.90 27.53 41.26 12.57 119.17
343 29.00 53.42 41.48 18.44 167.96
344 29.04 59.79 56.17 18.90 164.06
345 28.99 42.91 41.52 16.74 154.36
346 28.96 64.42 68.40 16.66 156.64
347 29.22 33.09 41.69 13.91 128.19
348 29.18 30.14 44.60 12.26 121.64
349 29.20 46.84 45.11 17.89 167.32
350 29.35 35.52 43.42 15.19 140.03
351 29.11 57.61 47.87 17.13 153.66
352 29.19 67.11 122.32 18.02 145.88
353 29.32 82.31 134.30 12.70 90.51
354 29.28 20.01 60.88 10.25 91.66
355 29.36 85.32 103.37 11.77 92.51
356 29.37 17.28 75.34 9.93 81.95
357 29.48 51.10 51.16 17.53 171.88
358 29.63 38.47 50.89 16.06 151.78
359 29.62 74.40 174.02 15.98 124.33
360 29.72 77.43 153.96 14.37 110.61
361 29.77 14.49 76.61 8.85 70.73
362 29.75 55.59 61.06 18.92 158.68
363 29.89 71.61 161.94 16.56 129.46
364 29.84 44.39 59.69 17.41 160.13
365 29.87 41.28 57.94 16.83 146.62
366 30.07 24.80 89.31 12.21 101.94
367 29.95 49.02 66.61 18.19 152.69
368 30.02 65.24 147.29 18.47 139.10
369 30.07 27.34 73.95 13.04 115.27
370 30.08 62.66 141.73 18.40 163.10
371 30.26 60.09 126.65 19.88 166.58
372 30.36 22.14 107.57 11.42 96.74
373 30.21 31.91 73.89 14.55 123.46
374 30.20 53.15 75.15 19.40 162.38
375 30.23 57.85 102.76 19.41 163.94
376 30.27 68.48 177.10 16.39 128.56
377 30.28 80.41 120.65 13.68 105.61
378 30.44 87.20 50.91 10.99 82.55
379 30.35 47.01 82.86 17.37 163.35
380 30.57 29.69 107.92 14.35 120.74
381 30.55 36.57 78.28 16.04 136.78
382 30.70 19.47 126.88 10.65 81.12
383 30.55 83.76 71.10 13.37 103.56
384 30.66 16.63 111.21 9.35 81.56
385 30.75 12.53 106.09 7.64 62.01
386 30.88 34.11 117.36 16.05 130.56
387 30.80 42.57 124.54 17.65 153.94
388 30.77 50.46 140.11 19.34 166.74
389 30.80 74.55 150.43 17.40 128.78
390 30.97 77.81 106.98 15.56 121.58
391 31.04 55.22 143.96 19.26 163.60
392 31.13 66.29 178.69 18.98 144.89
393 31.14 45.26 132.84 18.33 157.09
394 31.19 70.40 171.56 17.56 141.60
395 31.30 64.05 190.09 19.72 141.98
396 31.31 61.80 173.33 19.64 157.98
397 31.46 26.59 142.85 13.11 99.80
398 31.46 23.98 145.34 12.32 94.10
399 31.41 48.07 160.07 19.72 162.22
400 31.36 52.52 166.58 19.77 161.62
401 31.41 57.52 177.44 20.74 162.28
402 31.42 81.32 66.48 15.51 121.83
403 31.57 31.81 156.57 15.63 114.66
404 31.62 39.88 170.32 18.08 140.42
405 31.73 72.39 125.30 17.30 146.27
406 31.75 68.09 175.00 18.63 147.78
407 31.82 15.85 126.48 9.54 71.95
408 31.76 36.10 162.88 16.69 124.26
409 31.85 59.78 189.80 20.45 163.69
410 31.85 84.52 40.34 14.20 109.31
411 31.94 29.05 159.63 13.64 111.14
412 32.03 21.64 152.90 12.32 83.97
413 31.97 10.82 93.79 7.59 40.74
414 31.95 75.55 92.97 16.59 141.49
415 32.14 87.48 34.57 12.45 89.48
416 32.03 42.05 187.52 18.62 138.38
417 32.12 13.43 115.68 8.47 61.93
418 32.12 19.11 133.81 11.13 84.61
419 32.06 49.95 182.58 19.05 151.40
420 32.21 44.19 182.33 19.29 142.35
421 32.21 78.59 60.17 16.65 126.88
422 32.23 54.00 194.26 21.18 149.40
423 32.38 46.58 192.91 20.36 159.40
424 32.53 37.92 189.10 18.15 128.02
425 32.47 56.40 196.46 22.06 145.46
426 32.61 33.48 183.29 16.14 117.40
427 32.53 64.09 182.40 20.19 161.34
428 32.56 66.46 143.23 21.75 168.51
429 32.59 69.74 111.76 18.49 157.07
430 32.67 61.71 172.56 19.76 160.58
431 32.81 51.99 179.32 22.00 157.26
432 32.73 81.53 41.31 15.09 118.61
433 32.89 24.67 149.76 13.89 87.81
434 32.92 27.12 157.07 13.70 95.84
435 32.94 31.01 171.58 16.47 110.63
436 32.83 58.52 183.35 21.11 166.74
437 32.88 73.15 71.20 18.71 138.46
438 33.01 40.23 191.71 19.43 141.89
439 33.05 17.42 122.43 10.74 77.35
440 33.13 35.70 183.39 18.56 114.11
441 33.24 47.84 180.73 20.45 167.41
442 33.29 76.21 49.95 18.83 137.90
443 33.27 85.13 32.73 13.87 110.29
444 33.27 42.83 182.10 19.63 144.47
445 33.35 12.02 83.77 8.35 66.65
446 33.35 49.86 179.32 20.28 158.02
447 33.35 22.33 136.48 13.17 89.46
448 33.33 54.78 183.06 21.32 170.00
449 33.45 9.37 53.61 6.74 41.96
450 33.51 14.87 91.15 9.86 81.60
451 33.54 45.29 173.02 19.38 147.24
452 33.72 19.97 113.41 12.65 84.72
453 33.61 29.04 145.06 15.00 105.41
454 33.68 60.33 131.53 22.80 178.14
455 33.71 70.95 74.26 20.45 152.19
456 33.72 79.02 40.74 17.23 125.81
457 33.74 63.10 123.66 22.85 182.09
458 33.79 68.49 81.79 21.84 166.95
459 33.72 65.88 94.03 21.10 166.68
460 33.83 37.96 179.59 18.74 129.28
461 33.94 57.70 142.94 22.08 175.62
462 34.03 82.09 35.48 17.52 117.64
463 33.96 33.46 161.31 17.07 118.64
464 34.15 53.36 142.59 23.57 175.30
465 34.08 73.78 48.63 19.62 143.62
466 34.22 87.68 32.94 14.57 95.76
467 34.30 25.95 116.44 14.29 91.95
468 34.13 40.42 166.35 18.22 138.38
469 34.16 51.08 143.58 21.60 172.42
470 34.47 30.88 129.65 17.00 123.00
471 34.33 55.52 123.20 21.79 177.28
472 34.44 17.42 75.70 11.66 94.01
473 34.49 23.31 93.99 13.43 100.97
474 34.39 42.87 153.61 21.71 158.65
475 34.42 47.50 120.45 21.62 175.32
476 34.54 35.84 147.91 19.35 133.61
477 34.70 10.66 44.41 8.32 65.62
478 34.62 13.51 58.97 10.16 81.19
479 34.76 84.61 37.58 16.72 110.67
480 34.74 28.46 99.58 14.60 112.36
481 34.77 45.27 121.38 21.30 172.86
482 34.86 75.89 40.99 19.67 140.89
483 34.83 59.70 88.49 22.55 172.96
484 34.92 62.03 82.17 23.81 177.67
485 34.91 64.31 69.40 22.55 163.87
486 34.94 20.74 75.97 13.00 94.20
487 35.03 66.73 59.86 22.83 168.17
488 35.04 49.52 102.74 22.43 172.98
489 35.10 69.20 54.09 21.91 155.74
490 35.00 71.94 46.38 20.48 146.29
491 35.09 78.55 37.20 20.01 137.20
492 35.06 38.28 131.46 20.00 149.70
493 35.07 32.91 131.38 17.40 129.00
494 35.13 56.78 81.13 22.28 170.91
495 35.23 40.93 117.94 20.57 157.13
496 35.24 52.46 83.02 22.51 174.87
497 35.45 81.00 39.64 19.73 128.09
498 35.50 15.56 51.38 11.64 84.62
499 35.51 89.15 61.48 15.15 86.13
500 35.62 26.79 65.54 15.57 106.12
501 35.61 43.37 90.84 21.90 160.33
502 35.64 18.35 54.62 12.47 94.35
503 35.71 35.17 95.42 19.87 138.48
504 35.79 24.03 60.63 14.13 109.58
505 35.81 55.02 65.67 25.15 174.18
506 35.84 47.84 72.39 22.61 168.00
507 35.86 29.68 64.00 16.36 112.61
508 35.85 58.40 59.78 24.38 178.71
509 35.95 86.32 71.57 18.29 128.11
510 35.93 12.61 38.29 9.89 73.07
511 36.06 74.03 41.12 22.41 153.36
512 36.00 45.61 75.41 22.24 165.94
513 36.07 83.27 61.55 19.99 123.39
514 36.10 37.38 81.59 19.50 136.83
515 36.19 21.42 52.54 14.35 100.74
516 36.20 60.70 58.98 23.39 168.06
517 36.20 62.91 57.81 24.45 171.28
518 36.15 65.22 49.28 24.50 161.83
519 36.07 70.86 47.26 24.19 177.06
520 36.09 32.56 76.50 18.20 125.39
521 36.22 50.41 67.13 24.87 165.26
522 36.35 67.77 46.61 24.86 169.00
523 36.28 77.00 41.74 21.18 138.42
524 36.31 40.26 74.85 21.64 155.59
525 36.51 53.01 57.28 24.00 176.08
526 36.79 16.14 39.00 12.41 86.31
527 36.87 19.09 42.95 13.91 99.36
528 36.74 26.26 49.68 16.54 112.50
529 36.80 43.18 60.16 23.06 164.02
530 36.89 79.89 75.79 22.30 131.34
531 36.94 88.90 104.99 19.96 104.40
532 36.92 9.41 26.55 9.63 61.76
533 36.99 55.98 51.54 25.84 174.20
534 37.03 31.08 51.72 19.80 132.72
535 37.08 33.85 55.61 20.25 128.88
536 37.05 48.49 59.25 26.38 185.59
537 37.01 58.42 51.70 26.79 173.84
538 37.15 36.09 55.23 22.00 144.98
539 37.23 23.74 45.71 16.27 99.01
540 37.11 45.75 57.96 23.43 174.63
541 37.12 69.65 48.87 26.63 164.21
542 37.11 72.41 53.08 25.03 159.75
543 37.19 12.52 35.11 10.82 76.36
544 37.39 28.86 45.99 18.30 112.84
545 37.23 38.41 58.73 21.12 144.79
546 37.25 83.31 101.15 23.91 136.48
547 37.31 65.77 49.90 25.68 168.98
548 37.45 75.74 73.56 27.84 151.43
549 37.47 91.54 90.65 17.99 67.31
550 37.44 40.95 56.60 22.10 160.92
551 37.60 50.81 54.84 24.68 178.48
552 37.46 60.68 56.32 26.42 176.10
553 37.50 63.02 52.80 26.02 167.82
554 37.66 86.41 123.36 23.87 133.57
555 37.67 21.19 39.72 16.70 102.67
556 37.65 53.30 54.26 24.64 177.40
557 37.93 15.13 39.47 13.48 85.97
558 37.93 26.66 47.14 18.04 120.79
559 38.11 77.99 131.80 26.84 132.06
560 38.02 44.10 53.32 25.89 178.59
561 38.00 47.20 52.78 26.24 177.08
562 38.16 68.58 74.32 29.33 172.39
563 38.12 17.90 40.88 14.96 101.84
564 38.11 32.30 50.59 22.67 132.31
565 38.19 55.44 54.42 28.50 176.44
566 38.22 73.73 98.07 30.85 160.52
567 38.22 10.11 35.87 10.82 71.17
568 38.15 57.91 51.50 28.26 173.59
569 38.31 71.13 84.52 30.61 170.29
570 38.42 80.80 127.48 28.73 134.13
571 38.38 36.88 56.78 22.29 152.57
572 38.45 34.46 54.72 22.11 144.15
573 38.49 39.42 57.57 25.03 163.21
574 38.45 66.24 70.52 30.50 164.72
575 38.54 42.02 56.35 25.85 174.30
576 38.58 83.93 131.23 27.09 131.45
577 38.67 13.05 49.77 13.08 85.42
578 38.67 24.95 50.02 19.06 118.03
579 38.65 30.37 55.88 21.00 132.63
580 38.55 63.81 72.87 30.16 170.13
581 38.58 60.49 61.30 30.48 189.68
582 38.82 88.28 116.08 30.42 121.27
583 38.86 50.07 67.15 28.00 182.40
584 38.78 22.38 48.39 17.06 119.38
585 38.74 91.18 94.35 27.75 102.82
586 38.79 52.69 68.66 30.34 182.16
587 38.97 28.13 60.21 21.21 126.44
588 39.08 45.43 70.46 28.41 181.95
589 39.10 19.79 64.36 18.81 113.09
590 39.13 47.80 65.00 26.87 182.85
591 39.25 75.87 144.04 33.05 142.26
592 39.30 8.48 56.82 12.22 67.31
593 39.30 16.15 61.42 16.97 102.90
594 39.31 55.45 80.36 33.91 187.92
595 39.33 57.92 89.00 31.07 183.53
596 39.46 62.58 112.93 35.09 176.71
597 39.47 70.23 144.52 33.45 173.82
598 39.54 32.34 77.96 25.25 145.30
599 39.46 73.14 143.60 35.12 163.60
600 39.53 78.80 137.38 36.01 140.08
601 39.47 37.80 82.52 26.21 156.50
602 39.55 67.57 139.24 34.05 169.38
603 39.54 35.19 86.31 24.98 145.59
604 39.62 43.22 93.39 30.27 179.88
605 39.67 64.97 140.78 34.94 169.84
606 39.69 82.35 130.09 37.62 146.42
607 39.78 85.54 119.90 37.88 129.97
608 39.75 40.53 108.16 28.87 169.51
609 39.74 11.04 75.18 14.83 86.97
610 39.80 60.55 124.13 34.26 183.49
611 39.93 23.98 95.98 21.11 117.06
612 39.89 26.62 89.93 24.02 133.97
613 40.01 14.14 76.59 18.10 97.34
614 39.92 53.33 135.43 34.18 177.61
615 40.02 29.37 102.75 24.57 139.49
616 40.06 90.78 88.71 41.38 104.80
617 40.22 51.13 149.64 34.05 182.15
618 40.14 18.39 88.23 19.29 107.44
619 40.19 48.64 129.84 31.23 193.14
620 40.38 21.67 99.89 22.92 118.35
621 40.33 45.38 131.00 32.59 183.59
622 40.44 88.00 93.52 47.21 120.07
623 40.47 56.40 154.20 36.16 177.59
624 40.52 38.60 149.58 32.62 169.64
625 40.66 58.91 160.26 35.90 171.78
626 40.60 74.87 156.77 48.67 176.77
