AP,gt,kni,kr,hb,time
64,15.71609756097561,93.58829268292683,41.79576923076923,4.860384615384615,1
65,17.340285714285713,101.98171428571429,35.33461538461538,4.155384615384615,1
66,18.254054054054055,105.80108108108108,31.2368,3.7772,1
67,18.14,102.40388888888889,26.20111111111111,3.1777777777777776,1
68,20.19878787878788,105.13878787878788,22.91032258064516,2.931935483870968,1
69,22.15705882352941,102.09794117647058,20.19655172413793,2.5879310344827586,1
70,25.29909090909091,98.65212121212122,18.416071428571428,2.5207142857142855,1
71,27.92,93.21894736842106,16.204,2.183333333333333,1
72,31.481463414634145,87.31121951219512,15.211724137931036,2.1262068965517242,1
73,37.29060606060606,84.35848484848485,14.353333333333333,2.1366666666666667,1
74,39.6525,75.510625,12.392758620689655,2.027241379310345,1
75,44.050285714285714,67.09914285714285,12.815666666666667,1.93,1
76,51.11888888888889,63.53296296296296,12.130454545454546,1.8318181818181818,1
77,55.51833333333333,54.06166666666667,11.955769230769231,1.7203846153846154,1
78,57.743,48.318,10.657407407407407,1.6855555555555555,1
79,62.739230769230765,45.29038461538462,10.7225,1.7053571428571428,1
80,58.151153846153846,42.33615384615385,10.468076923076923,1.785,1
81,58.19814814814815,38.867777777777775,10.246,1.9296,1
82,58.1204347826087,37.122608695652175,9.952962962962962,2.037777777777778,1
83,55.69555555555556,34.28666666666667,9.462272727272728,1.9822727272727272,1
84,53.54083333333333,33.10791666666667,8.914615384615384,2.0676923076923077,1
85,49.836363636363636,31.490909090909092,9.468571428571428,2.584761904761905,1
86,46.36208333333333,30.532916666666665,8.9955,2.8485,1
87,44.125,30.0765,8.893157894736841,3.536842105263158,1
88,40.324,28.9664,8.598571428571429,4.416190476190476,1
89,35.022999999999996,29.3855,8.588571428571429,4.798571428571429,1
90,32.16,30.002777777777776,8.758571428571429,5.563571428571429,1
91,28.375,29.047142857142855,8.052777777777777,5.485555555555556,1
92,27.01888888888889,27.74222222222222,8.3425,7.430625,1
93,21.88,27.086315789473684,8.233333333333334,8.258666666666667,1
94,21.725833333333334,26.06,8.225,8.212142857142856,1
95,20.492142857142856,25.595714285714287,7.625454545454545,10.042727272727273,1
96,17.82076923076923,23.796153846153846,7.7275,10.02625,1
97,15.579090909090908,22.135454545454547,7.326,11.294,1
98,14.502857142857144,19.141428571428573,6.83,9.299999999999999,1
4,4.9225,85.535,17.933333333333334,100.18333333333334,2
5,6.060909090909091,85.82909090909091,19.54,113.15833333333333,2
6,7.765,89.11083333333333,20.18,124.94285714285715,2
7,7.498333333333333,82.865,20.73,134.43285714285713,2
8,9.352,90.791,22.288888888888888,153.92444444444445,2
9,9.86357142857143,88.14071428571428,23.71,169.16416666666666,2
10,11.706111111111111,82.72555555555556,25.083333333333332,172.235,2
11,12.717222222222222,79.13111111111111,23.83642857142857,176.12785714285712,2
12,15.498666666666667,77.502,25.647333333333332,187.83466666666666,2
13,17.634666666666668,71.42733333333334,26.387333333333334,189.40466666666666,2
14,23.726666666666667,79.85444444444444,26.975454545454546,194.70363636363638,2
15,26.6228,71.9872,27.42,197.95374999999999,2
16,37.759523809523806,75.65761904761905,28.171499999999998,202.606,2
17,44.60578947368421,70.26105263157895,26.508125,199.253125,2
18,55.92809523809524,71.87,28.95,207.579375,2
19,59.175714285714285,65.40523809523809,28.710526315789473,207.1578947368421,2
20,73.73142857142857,66.7552380952381,29.447391304347825,211.39304347826086,2
21,82.91791666666667,62.59625,29.999473684210525,211.61894736842106,2
22,93.44260869565217,55.90521739130435,32.4588,219.958,2
23,98.99681818181818,51.16590909090909,29.44304347826087,211.41782608695652,2
24,111.08625,51.209583333333335,30.884761904761906,212.59238095238095,2
25,116.5759090909091,47.680454545454545,32.083636363636366,217.22727272727272,2
26,124.21346153846153,46.299615384615386,32.78592592592592,218.51555555555555,2
27,132.95535714285714,43.09892857142857,34.937599999999996,224.7788,2
28,135.77041666666668,41.9925,32.99153846153846,217.49346153846153,2
29,144.16925925925926,42.13074074074074,33.53370370370371,215.69407407407408,2
30,139.5053125,40.7625,33.842,215.6336,2
31,139.805,41.32964285714286,34.657916666666665,215.24625,2
32,137.36724137931034,42.09068965517241,37.748888888888885,220.1588888888889,2
33,133.08777777777777,42.505185185185184,36.1304,211.2072,2
34,118.05645161290323,41.420645161290324,36.65391304347826,205.97565217391303,2
35,103.8115625,40.664375,39.265,208.21541666666667,2
36,90.80689655172414,42.07931034482759,39.38551724137931,197.85206896551725,2
37,75.1703125,41.221875,45.385185185185186,199.45481481481482,2
38,57.192,40.39085714285714,47.66074074074074,192.1737037037037,2
39,45.99382352941176,39.79235294117647,53.48076923076923,180.82076923076923,2
40,37.04222222222222,41.58694444444444,50.86875,162.23125,2
41,29.91,40.50029411764706,62.69866666666667,160.77466666666666,2
42,26.345757575757577,41.99272727272727,71.7851724137931,148.81724137931036,2
43,21.01609756097561,40.02682926829268,84.6996551724138,137.73137931034483,2
44,19.4321875,41.6278125,94.788,122.548,2
45,17.783235294117645,41.92941176470588,106.255,103.04035714285715,2
46,15.911025641025642,40.63333333333333,121.39217391304348,89.57478260869566,2
47,16.368529411764705,42.160000000000004,126.70703703703704,76.75296296296297,2
48,15.01475,40.9715,134.82777777777778,68.07111111111111,2
49,14.52138888888889,40.507222222222225,135.57258064516128,51.586451612903225,2
50,14.067317073170733,41.028536585365856,139.560625,43.3728125,2
51,14.467777777777778,43.07511111111111,141.41333333333333,35.086333333333336,2
52,13.632051282051282,43.35051282051282,145.80821428571429,30.551785714285714,2
53,13.97875,45.973125,135.91533333333334,24.372333333333334,2
54,14.337777777777777,52.508,136.12628571428573,21.636,2
55,14.191162790697675,57.01186046511628,135.20266666666666,18.761666666666667,2
56,15.886904761904763,69.50952380952381,135.6796875,17.3103125,2
57,14.667435897435897,73.55564102564102,127.70551724137931,14.951724137931034,2
58,13.72875,78.2405,128.085,14.486,2
59,14.147857142857143,87.86,124.68111111111111,13.82037037037037,2
60,15.495675675675676,104.26243243243243,111.78969696969698,11.861212121212121,2
61,15.663333333333334,113.38428571428571,102.45033333333333,11.188333333333333,2
62,15.12975,116.75925,93.57433333333333,10.152000000000001,2
63,16.574358974358976,127.89,84.8248275862069,9.739655172413793,2
64,17.243,130.64575,69.62787878787879,8.979090909090909,2
65,18.12225,129.05425,58.873666666666665,8.036333333333333,2
66,20.162820512820513,130.24307692307693,48.747241379310346,7.24896551724138,2
67,22.876052631578947,125.53368421052632,41.524545454545454,6.8081818181818186,2
68,28.44525,124.3905,38.06258064516129,6.773225806451613,2
69,33.80179487179487,115.59897435897436,34.160666666666664,6.375333333333334,2
70,43.53971428571429,113.64314285714286,30.35181818181818,6.042121212121212,2
