#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab12 14A 1 even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
1217 56.78 49.28 71.95 144.87 27.73
1218 56.80 78.56 70.49 117.08 24.89
1219 56.86 2.71 23.39 46.92 13.43
1220 56.79 73.50 74.11 126.14 25.51
1221 56.91 37.22 59.81 124.79 25.37
1222 56.95 86.66 66.30 99.64 21.94
1223 56.95 13.38 51.80 100.04 20.20
1224 57.04 34.39 63.55 129.85 23.71
1225 57.03 23.07 64.11 122.80 21.42
1226 57.13 58.55 70.51 142.24 25.86
1227 57.12 82.25 71.94 111.63 23.04
1228 57.27 39.97 62.27 131.11 23.77
1229 57.18 42.60 67.68 132.18 25.92
1230 57.32 5.30 39.55 75.52 16.11
1231 57.23 10.77 56.55 106.30 20.41
1232 57.23 31.42 62.09 130.57 24.40
1233 57.35 27.40 61.54 126.74 23.09
1234 57.36 47.03 66.96 131.68 26.44
1235 57.27 71.20 71.79 129.03 25.56
1236 57.36 61.95 74.96 142.00 26.17
1237 57.27 94.52 26.83 51.15 14.71
1238 57.40 52.18 74.56 151.69 28.15
1239 57.45 66.24 66.93 127.92 26.20
1240 57.56 19.25 52.17 116.21 21.18
1241 57.62 24.82 62.96 129.38 23.00
1242 57.53 84.58 77.25 127.36 29.23
1243 57.60 56.09 77.65 151.95 27.13
1244 57.50 75.96 72.82 125.82 25.77
1245 57.62 90.44 54.39 89.62 19.61
1246 57.93 63.96 73.72 127.12 24.46
1247 57.67 80.22 74.33 123.19 26.73
1248 57.77 68.86 73.53 133.13 26.22
1249 57.77 1.52 14.74 30.30 7.86
1250 57.92 92.72 38.14 65.32 17.27
1251 57.97 8.87 42.18 86.20 18.12
1252 57.80 14.75 55.20 113.08 20.08
1253 57.84 21.72 69.00 126.62 20.33
1254 57.78 78.10 79.60 129.38 24.02
1255 58.05 44.37 67.19 140.02 24.86
1256 57.90 50.02 68.88 134.84 26.22
1257 57.97 88.11 61.05 94.61 19.55
1258 58.04 29.25 57.47 128.12 23.25
1259 57.99 73.93 66.22 128.86 24.64
1260 58.04 3.64 26.75 54.27 12.79
1261 58.25 17.04 53.31 116.42 20.48
1262 58.07 37.26 57.11 136.04 25.06
1263 58.15 53.97 68.81 152.87 27.14
1264 58.21 34.58 60.47 142.84 23.70
1265 58.23 95.49 18.72 37.36 11.68
1266 58.27 12.24 50.14 103.87 18.77
1267 58.21 82.73 70.24 116.06 23.57
1268 58.24 58.41 68.73 145.94 26.37
1269 58.34 32.10 57.14 135.07 23.10
1270 58.38 60.83 74.18 146.56 25.52
1271 58.33 71.84 66.83 129.77 25.03
1272 58.38 6.69 46.70 104.90 18.39
1273 58.43 41.87 63.41 130.15 24.09
1274 58.46 85.60 64.55 114.02 23.53
1275 58.58 46.51 68.93 140.03 25.03
1276 58.56 26.34 56.99 132.66 22.89
1277 58.65 39.40 59.15 132.04 23.72
1278 58.46 76.11 78.25 130.69 23.80
1279 58.77 23.48 55.11 122.74 22.40
1280 58.62 67.12 67.84 141.31 27.58
1281 58.72 20.21 53.99 116.28 21.74
1282 58.83 48.91 63.41 137.76 25.06
1283 58.78 80.56 67.03 126.44 26.68
1284 58.73 78.37 75.93 129.44 26.03
1285 58.72 90.75 56.25 101.06 21.14
1286 58.87 56.29 69.78 145.52 25.33
1287 58.98 2.29 18.53 43.20 10.37
1288 58.94 69.76 64.56 139.24 25.47
1289 58.94 14.85 51.57 121.25 21.52
1290 59.08 51.28 65.24 138.50 24.66
1291 59.04 64.86 69.87 150.37 26.59
1292 59.12 29.71 55.62 134.87 23.02
1293 59.16 10.79 53.06 114.63 20.15
1294 59.21 35.79 59.40 132.37 23.95
1295 59.13 93.42 33.21 62.91 14.55
1296 59.24 62.36 65.68 134.38 23.99
1297 59.19 53.51 69.23 150.38 25.27
1298 59.23 74.95 67.61 121.74 24.18
1299 59.31 89.02 53.72 97.85 19.99
1300 59.28 5.19 34.73 82.66 16.77
1301 59.26 82.43 72.42 126.09 25.61
1302 59.33 95.43 18.32 38.90 10.94
1303 59.32 8.11 43.36 96.05 16.68
1304 59.22 58.58 73.80 150.65 24.49
1305 59.38 17.45 57.23 129.09 20.80
1306 59.43 72.54 68.33 127.89 23.92
1307 59.52 32.92 53.75 134.74 22.81
1308 59.48 86.75 60.33 112.45 20.81
1309 59.55 44.90 61.58 123.87 22.51
1310 59.62 84.41 63.28 122.08 23.31
1311 59.67 38.31 57.75 132.26 22.91
1312 59.72 13.50 52.41 112.56 19.57
1313 59.60 26.56 59.00 138.82 23.12
1314 59.64 41.88 55.37 124.01 22.51
1315 59.66 67.55 67.65 140.60 26.10
1316 59.66 77.49 71.64 121.39 24.03
1317 59.72 22.18 55.82 139.87 24.25
1318 59.81 19.65 51.68 123.76 20.67
1319 59.84 60.09 64.08 146.75 23.15
1320 59.95 47.64 59.11 143.83 23.83
1321 59.80 91.76 42.07 84.96 18.45
1322 60.09 54.96 66.17 154.35 24.79
1323 60.04 79.90 67.60 130.45 25.83
1324 60.01 57.13 67.94 154.01 25.67
1325 59.98 64.35 76.68 146.26 24.45
1326 60.18 70.10 64.80 134.53 23.95
1327 60.24 24.41 58.26 136.25 21.04
1328 60.22 28.38 56.32 145.19 21.04
1329 60.18 9.74 48.36 105.11 17.14
1330 60.31 30.97 53.27 138.44 21.80
1331 60.26 50.24 60.39 152.67 26.22
1332 60.26 6.45 38.63 89.73 15.61
1333 60.36 75.33 71.82 143.78 24.61
1334 60.38 35.25 54.90 136.99 21.34
1335 60.50 52.77 59.05 150.91 24.16
1336 60.32 16.76 61.00 127.13 20.20
1337 60.44 82.29 70.04 126.45 23.44
1338 60.42 62.17 64.28 156.05 26.00
1339 60.50 90.31 41.83 86.46 16.63
1340 60.46 93.96 23.26 54.67 14.07
1341 60.58 88.00 51.71 97.54 18.63
1342 60.58 72.88 67.75 134.43 25.65
1343 60.61 12.24 48.60 120.33 19.05
1344 60.63 40.42 56.18 138.18 23.19
1345 60.60 66.66 61.84 137.22 23.82
1346 60.63 85.33 58.51 114.29 20.96
1347 60.65 43.78 56.17 132.37 22.90
1348 60.68 58.81 69.34 152.55 23.90
1349 60.81 37.45 55.92 149.84 24.75
1350 60.81 77.75 67.66 129.22 22.08
1351 60.74 21.88 59.33 141.38 19.44
1352 61.03 14.71 45.96 116.66 17.51
1353 60.92 19.66 52.43 121.87 19.11
1354 61.06 33.40 58.61 143.76 22.59
1355 60.94 95.82 12.79 29.71 7.46
1356 61.03 64.39 70.53 157.57 26.18
1357 61.16 25.94 55.87 135.91 20.37
1358 61.06 47.05 61.51 150.16 25.72
1359 61.21 56.05 59.81 150.71 24.00
1360 61.22 8.82 38.38 94.45 15.99
1361 61.32 92.08 36.90 75.22 14.36
1362 61.37 61.20 66.40 153.76 23.89
1363 61.28 70.07 70.56 147.02 25.25
1364 61.34 80.80 63.97 130.56 24.68
1365 61.33 28.55 55.51 135.02 21.51
1366 61.45 6.33 36.50 96.28 16.35
1367 61.47 17.44 47.05 111.00 18.85
1368 61.52 49.27 56.10 140.75 23.33
1369 61.59 23.16 52.40 130.14 20.36
1370 61.65 31.14 52.68 138.97 21.16
1371 61.55 51.68 57.14 152.83 23.72
1372 61.56 75.06 69.40 138.37 24.69
1373 61.63 83.43 58.63 107.50 21.59
1374 61.59 11.14 40.15 99.01 15.78
1375 61.56 67.46 68.29 146.99 23.53
1376 61.60 44.74 53.01 142.20 22.99
1377 61.62 58.46 61.77 151.47 22.89
1378 61.69 41.59 56.27 134.41 22.09
1379 61.65 72.62 66.53 138.21 25.88
1380 61.67 88.95 51.98 96.63 18.23
1381 61.74 38.72 52.82 133.95 19.24
1382 61.65 86.06 54.13 113.44 22.44
1383 61.86 53.97 61.11 154.77 25.13
1384 61.79 94.34 20.88 49.13 11.24
1385 61.80 78.60 67.06 137.69 22.71
1386 61.87 35.57 56.35 138.62 19.67
1387 62.01 64.86 67.25 149.01 23.87
1388 62.17 13.57 45.10 117.48 18.64
1389 62.07 19.97 60.36 128.47 18.01
1390 62.13 33.37 63.98 152.53 20.04
1391 62.27 25.70 54.73 142.10 20.01
1392 62.33 62.61 67.66 156.92 25.00
1393 62.42 16.06 51.46 121.92 16.83
1394 62.38 46.32 53.39 149.86 22.99
1395 62.45 56.06 62.53 159.11 22.35
1396 62.35 68.74 70.19 157.29 22.86
1397 62.40 70.98 66.04 145.72 23.12
1398 62.41 28.57 56.32 141.37 20.00
1399 62.44 76.39 64.86 138.20 22.43
1400 62.47 91.21 38.82 91.16 16.73
1401 62.40 43.10 58.19 155.92 20.79
1402 62.36 60.20 75.02 169.56 23.39
1403 62.39 81.23 76.18 129.46 22.16
1404 62.60 6.94 32.52 90.45 13.31
1405 62.52 9.51 41.41 99.50 15.47
1406 62.52 21.98 49.65 140.24 17.02
1407 62.62 87.40 58.14 112.27 19.99
1408 62.67 51.66 60.48 155.02 22.55
1409 62.67 37.05 56.00 148.43 20.11
1410 62.73 49.08 56.27 151.18 22.97
1411 62.60 66.56 74.83 149.65 22.81
1412 62.74 85.05 56.91 120.38 19.79
1413 62.89 4.66 26.62 67.87 12.20
1414 62.83 58.14 63.99 161.55 23.92
1415 62.81 39.10 54.35 150.63 20.61
1416 62.93 30.82 56.17 151.96 21.48
1417 62.97 79.17 62.47 120.79 21.11
1418 62.83 82.60 67.00 130.07 19.67
1419 62.99 93.30 24.95 59.23 13.03
1420 62.94 41.07 53.64 156.64 22.70
1421 62.97 72.79 57.60 133.83 23.77
1422 62.93 11.93 44.89 110.44 17.27
1423 63.02 18.58 50.64 138.12 19.63
1424 63.15 24.14 48.52 133.36 19.45
1425 63.14 33.21 59.56 150.58 21.86
1426 63.13 53.89 72.42 165.00 22.34
1427 63.23 89.41 47.67 100.62 16.73
1428 63.24 44.47 55.93 155.55 20.53
1429 63.26 63.72 63.01 155.52 23.48
1430 63.40 74.94 62.90 137.74 22.70
1431 63.35 27.33 52.71 143.44 19.29
1432 63.34 60.57 61.01 152.51 24.11
1433 63.36 69.23 62.12 137.34 22.43
1434 63.29 35.55 53.20 146.89 21.83
1435 63.40 47.04 53.79 157.34 23.43
1436 63.46 21.21 48.01 147.43 20.23
1437 63.47 66.04 72.29 160.44 23.11
1438 63.54 55.77 63.71 153.30 20.20
1439 63.62 8.35 42.58 108.45 16.58
1440 63.75 13.80 46.24 129.64 17.69
1441 63.69 16.38 45.62 126.22 17.74
1442 63.72 77.24 65.21 132.98 21.59
1443 63.80 81.12 59.46 120.28 20.51
1444 63.76 83.89 59.34 114.92 20.33
1445 63.78 42.39 46.10 139.76 19.97
1446 63.78 38.63 58.74 146.77 20.81
1447 63.72 51.32 53.26 152.24 22.83
1448 63.83 29.62 59.86 154.86 19.62
1449 64.01 86.39 56.00 114.14 18.24
1450 64.00 11.01 40.29 117.54 16.79
1451 63.82 36.40 40.22 129.38 20.08
1452 64.00 58.03 61.21 161.73 21.78
1453 64.17 5.49 24.01 73.30 11.43
1454 64.10 49.00 53.35 156.29 22.07
1455 64.11 62.32 71.56 168.22 22.38
1456 64.17 90.91 34.79 77.82 14.75
1457 64.15 72.76 67.91 153.18 24.24
1458 64.23 25.31 49.25 144.70 18.12
1459 64.20 88.37 51.83 112.53 18.00
1460 64.22 53.44 55.66 162.51 23.40
1461 64.23 33.81 53.50 147.36 21.12
1462 64.33 70.40 60.56 148.99 21.52
1463 64.29 67.75 59.96 154.36 25.34
1464 64.39 19.16 42.78 120.10 16.25
1465 64.40 22.45 44.93 128.93 17.56
1466 64.44 31.24 55.72 158.63 18.97
1467 64.44 93.07 22.65 50.33 11.47
1468 64.40 45.83 55.99 157.85 21.18
1469 64.44 65.01 56.53 145.43 23.07
1470 64.48 78.88 69.97 154.27 21.86
1471 64.58 40.64 52.01 154.00 20.28
1472 64.54 60.06 60.10 141.45 21.97
1473 64.61 28.00 54.92 148.44 19.51
1474 64.61 55.61 60.67 155.93 22.83
1475 64.63 75.38 67.81 149.14 20.86
1476 64.86 7.53 37.09 106.76 13.93
1477 64.74 43.27 60.78 165.08 20.55
1478 64.84 14.94 43.76 114.43 15.05
1479 64.90 36.08 46.30 144.52 19.16
1480 64.87 38.39 54.88 158.00 20.34
1481 64.84 82.39 66.31 137.51 21.85
1482 64.78 51.14 67.88 158.07 21.75
1483 64.97 84.72 57.42 113.26 19.13
1484 65.08 9.99 41.06 119.94 16.19
1485 65.24 12.62 45.18 110.45 15.55
1486 65.06 47.67 55.32 164.70 21.25
1487 65.14 63.11 65.77 164.99 24.32
1488 65.27 17.26 42.33 125.62 15.37
1489 65.09 89.20 47.89 95.47 16.40
1490 65.27 67.24 63.09 155.82 21.04
1491 65.18 33.83 50.29 163.22 16.73
1492 65.39 87.04 54.53 109.79 17.60
1493 65.41 53.08 61.74 158.72 22.35
1494 65.38 57.00 65.90 170.18 21.86
1495 65.41 80.01 63.07 137.39 20.84
1496 65.44 21.03 48.43 127.45 16.63
1497 65.45 71.51 61.71 142.73 21.77
1498 65.44 73.77 68.11 148.23 21.24
1499 65.42 23.39 44.76 140.40 17.02
1500 65.50 25.86 45.16 137.30 17.16
1501 65.48 91.54 27.64 67.03 14.22
1502 65.47 94.45 13.42 32.72 7.26
1503 65.56 31.88 53.42 158.72 21.02
1504 65.45 44.70 58.17 163.84 19.72
1505 65.47 49.70 64.78 173.27 20.68
1506 65.49 69.46 73.05 161.00 22.02
1507 65.55 77.14 66.26 138.85 20.34
1508 65.66 29.30 56.07 156.62 19.88
1509 65.68 58.96 59.34 157.75 21.57
1510 65.53 41.80 57.52 148.00 19.43
1511 65.68 61.27 67.08 159.89 22.23
1512 65.74 65.01 61.34 158.16 21.23
1513 65.93 37.32 45.15 150.94 20.25
1514 66.11 55.19 56.74 161.78 21.86
1515 66.07 18.86 47.04 128.23 15.86
1516 65.96 47.28 63.84 167.87 19.72
1517 66.12 82.60 59.32 117.92 19.89
1518 66.16 8.80 36.12 101.64 13.91
1519 66.04 34.94 52.42 154.88 19.22
1520 66.18 40.02 47.21 140.00 18.36
1521 66.01 89.05 44.56 93.15 15.91
1522 66.17 85.20 56.91 120.70 18.81
1523 66.23 15.30 43.69 127.98 16.28
1524 66.33 51.06 61.83 170.59 20.76
1525 66.33 11.83 42.04 115.42 15.16
1526 66.35 68.30 69.97 161.60 21.58
1527 66.38 27.08 53.14 164.93 18.92
1528 66.32 44.96 63.58 171.48 19.48
1529 66.44 42.97 59.33 164.45 18.22
1530 66.56 23.41 43.81 132.94 17.79
1531 66.58 62.99 63.47 153.82 20.40
1532 66.62 75.90 66.81 137.13 20.72
1533 66.49 80.12 67.37 144.71 20.88
1534 66.54 70.69 65.16 153.99 22.70
1535 66.57 73.73 67.20 149.53 19.78
1536 66.61 92.95 19.44 49.06 9.94
1537 66.64 66.12 56.80 145.17 20.17
1538 66.77 20.84 42.99 135.92 17.30
1539 66.62 87.11 56.63 110.28 17.43
1540 66.73 31.78 54.19 162.87 19.62
1541 66.85 53.29 60.28 159.59 20.67
1542 66.85 78.12 62.67 140.03 19.74
1543 66.77 90.48 38.06 84.18 15.00
1544 66.87 48.71 55.98 166.61 21.52
1545 66.74 34.24 50.71 148.69 18.52
1546 66.80 59.26 59.79 158.99 19.98
1547 66.92 29.33 50.65 158.52 18.95
1548 67.05 56.54 62.62 159.76 20.98
1549 66.99 4.67 22.44 63.22 10.16
1550 67.04 17.50 43.74 122.42 15.49
1551 67.04 38.02 48.91 144.03 18.29
1552 67.14 6.67 33.16 82.62 10.59
1553 67.15 46.09 55.89 166.12 21.14
1554 67.22 25.27 44.67 130.00 16.10
1555 67.10 41.38 52.30 161.32 18.52
1556 67.19 84.11 63.71 118.41 18.58
1557 67.28 14.02 44.61 136.71 16.09
1558 67.40 10.82 36.39 112.52 14.16
1559 67.50 61.31 60.56 160.67 21.02
1560 67.42 81.45 55.34 116.61 19.00
1561 67.41 72.31 61.99 149.30 22.03
1562 67.56 88.60 44.63 91.38 15.15
1563 67.62 64.60 59.39 148.66 20.48
1564 67.53 69.48 58.96 147.25 19.75
1565 67.58 43.14 58.24 156.61 18.54
1566 67.62 51.25 55.26 154.23 21.38
1567 67.66 67.26 66.34 154.51 21.08
1568 67.64 86.26 52.00 116.72 17.86
1569 67.79 27.57 47.58 149.05 17.26
1570 67.71 33.69 50.42 162.98 18.61
1571 67.73 36.03 54.74 175.41 17.46
1572 67.76 19.54 48.50 138.70 16.03
1573 67.83 76.68 60.88 136.47 18.59
1574 67.91 58.62 64.75 169.15 22.33
1575 67.89 79.10 68.05 137.60 18.37
1576 67.92 91.22 27.19 61.57 10.44
1577 68.04 22.15 39.26 128.84 15.04
1578 67.99 30.94 52.50 159.34 19.45
1579 67.97 54.00 57.28 156.47 20.87
1580 68.11 74.33 66.15 142.69 20.55
1581 68.11 8.57 33.10 91.98 11.22
1582 68.04 16.18 37.72 135.89 16.67
1583 68.11 40.71 52.24 163.40 18.78
1584 68.03 48.81 54.51 155.53 18.94
1585 68.09 44.96 53.22 167.54 20.43
1586 68.24 38.33 48.73 164.78 18.53
1587 68.34 56.07 55.79 168.03 21.40
1588 68.22 83.21 59.04 132.35 19.73
1589 68.49 5.68 23.49 66.84 9.92
1590 68.38 12.27 36.76 111.82 13.18
1591 68.35 24.99 45.46 149.90 17.56
1592 68.45 62.98 65.08 154.54 20.08
1593 68.37 71.20 64.55 155.01 20.16
1594 68.65 86.45 53.77 112.86 14.74
1595 68.77 47.11 63.21 167.87 18.61
1596 68.72 66.86 65.63 159.71 20.80
1597 68.71 79.81 62.75 130.56 17.68
1598 68.77 19.43 40.38 122.30 14.53
1599 68.78 28.91 48.66 153.82 18.01
1600 68.81 35.91 52.67 158.90 16.67
1601 68.75 52.09 55.65 154.41 21.06
1602 68.88 60.64 62.15 157.00 18.59
1603 68.86 33.03 44.49 157.76 16.89
1604 68.90 42.18 52.07 165.15 19.69
1605 69.10 88.33 41.69 100.65 14.83
1606 68.97 90.20 33.67 81.08 14.19
1607 69.03 58.12 65.01 166.69 20.50
1608 69.03 69.22 67.03 145.76 17.85
1609 68.91 77.23 61.53 131.16 19.46
1610 69.15 92.40 18.47 42.76 8.31
1611 69.19 14.52 40.02 128.57 14.45
1612 69.12 81.97 56.42 127.20 18.50
1613 69.16 17.00 38.43 134.78 15.37
1614 69.24 49.63 59.04 163.89 19.12
1615 69.12 9.84 33.74 106.10 11.12
1616 69.17 44.69 49.06 169.33 20.33
1617 69.27 74.09 65.91 148.15 20.40
1618 69.17 7.81 31.85 90.59 9.87
1619 69.31 22.62 44.38 135.39 16.14
1620 69.43 65.01 70.69 176.11 19.55
1621 69.32 84.40 54.70 121.87 16.38
1622 69.45 25.77 42.53 148.24 15.41
1623 69.40 71.75 70.42 162.11 20.12
1624 69.37 38.69 45.63 148.71 18.41
1625 69.41 55.53 67.47 174.18 18.85
1626 69.47 53.68 66.09 167.53 19.67
1627 69.62 12.06 33.50 114.44 13.41
1628 69.71 31.07 42.87 152.79 17.25
1629 69.69 62.61 66.33 166.74 19.72
1630 69.86 33.86 48.27 157.70 17.90
1631 69.84 67.31 62.58 157.06 19.14
1632 69.97 80.36 51.88 126.00 16.86
1633 69.93 19.09 37.57 138.91 14.78
1634 69.88 28.59 44.50 154.05 16.64
1635 70.05 41.19 52.38 161.72 18.44
1636 69.98 46.69 49.08 151.14 18.02
1637 69.97 75.69 62.62 140.46 18.26
1638 69.99 78.11 61.42 135.38 18.20
1639 70.12 36.14 43.73 167.42 16.85
1640 70.04 59.95 60.24 165.20 20.63
1641 70.04 86.32 45.91 113.07 15.55
1642 70.14 6.63 22.61 71.71 9.00
1643 70.18 51.84 57.37 164.86 19.06
1644 70.18 90.22 23.71 58.79 10.36
1645 70.25 43.69 50.71 160.60 17.93
1646 70.16 57.49 61.43 176.54 20.38
1647 70.15 69.94 57.28 147.55 19.38
1648 70.23 9.79 28.97 105.18 11.79
1649 70.53 16.77 35.13 122.73 14.24
1650 70.44 49.04 53.81 170.71 19.33
1651 70.27 20.59 39.65 145.41 15.71
1652 70.41 83.53 50.71 111.95 16.82
1653 70.54 38.40 44.45 155.22 16.70
1654 70.58 14.26 34.07 114.22 13.89
1655 70.47 21.85 39.74 136.55 15.48
1656 70.65 24.30 43.97 152.05 15.60
1657 70.63 55.09 61.22 168.72 19.21
1658 70.51 72.29 71.03 154.39 17.39
1659 70.71 27.05 38.22 161.67 16.07
1660 70.81 88.22 32.37 74.97 11.58
1661 70.70 64.92 66.87 165.71 20.55
1662 70.77 74.12 68.97 153.45 18.61
1663 70.81 61.89 63.42 166.36 20.61
1664 70.80 67.86 61.71 161.33 19.44
1665 70.83 32.45 50.05 166.57 17.38
1666 71.00 81.48 55.83 133.90 18.83
1667 71.17 29.92 42.27 149.96 17.09
1668 71.14 45.15 47.06 168.18 18.23
1669 71.09 91.22 15.03 40.43 8.33
1670 71.14 11.56 29.36 103.04 12.45
1671 71.09 76.69 57.36 133.85 17.52
1672 71.24 8.38 29.22 96.94 10.69
1673 71.17 58.85 56.96 170.61 19.55
1674 71.26 85.42 46.36 117.61 15.16
1675 71.27 35.52 43.20 157.60 16.19
1676 71.26 52.85 53.26 173.08 19.60
1677 71.30 70.33 62.56 153.68 18.81
1678 71.34 78.99 57.07 131.20 18.29
1679 71.25 19.91 40.56 146.31 14.23
1680 71.37 40.21 45.46 163.82 16.71
1681 71.51 47.40 49.01 163.68 17.80
1682 71.62 42.68 44.43 157.80 17.48
1683 71.56 50.40 52.82 168.57 18.10
1684 71.72 6.58 21.81 73.85 8.59
1685 71.63 22.46 41.06 148.70 14.78
1686 71.63 56.48 63.29 181.53 19.96
1687 71.62 17.84 38.81 130.76 14.06
1688 71.71 14.90 34.62 108.58 13.61
1689 71.78 25.75 43.16 158.22 16.84
1690 71.90 62.86 63.88 163.18 19.59
1691 71.87 33.22 41.56 150.94 15.24
1692 71.91 65.26 61.02 166.22 18.91
1693 71.86 74.79 58.25 145.92 16.53
1694 71.84 83.13 52.67 128.34 15.93
1695 72.00 38.07 43.25 164.50 16.82
1696 72.01 60.51 62.15 173.61 19.00
1697 71.82 67.52 59.09 163.59 19.81
1698 72.08 71.98 61.27 161.09 20.08
1699 71.93 87.53 34.86 95.28 13.01
1700 71.99 10.32 33.18 110.07 11.43
1701 72.26 28.30 39.06 153.98 15.80
1702 72.15 54.18 56.87 182.70 17.45
1703 72.20 80.52 49.42 126.63 15.79
1704 72.39 12.55 34.15 123.24 11.92
1705 72.42 19.51 35.16 140.79 13.10
1706 72.48 78.08 56.63 137.18 16.24
1707 72.54 44.55 44.88 167.41 18.81
1708 72.42 84.96 48.48 111.51 13.60
1709 72.65 58.03 53.15 171.92 19.15
1710 72.54 68.80 57.71 146.28 17.49
1711 72.66 35.99 48.07 164.70 15.71
1712 72.70 49.09 49.57 169.47 17.85
1713 72.68 88.93 24.46 59.26 10.23
1714 72.69 30.61 41.09 159.20 16.99
1715 72.66 51.97 51.57 179.01 19.02
1716 72.65 6.43 15.04 54.63 7.21
1717 72.75 9.19 27.03 94.78 10.34
1718 72.80 22.78 38.88 142.20 14.71
1719 72.79 41.03 46.41 167.37 17.54
1720 72.87 15.19 35.94 137.01 14.10
1721 72.97 17.58 38.29 133.06 12.41
1722 73.06 46.63 49.42 175.48 17.20
1723 72.90 25.37 38.46 157.70 15.89
1724 72.88 73.62 57.75 146.94 17.33
1725 73.03 55.49 50.17 169.78 18.56
1726 73.02 76.15 59.80 141.74 16.54
1727 72.96 81.97 53.55 136.75 16.49
1728 73.02 33.25 43.32 163.66 15.92
1729 73.06 63.45 58.54 159.55 18.65
1730 73.02 65.90 61.33 161.33 18.48
1731 73.32 69.89 62.37 160.12 18.22
1732 73.37 59.87 57.87 170.98 19.68
1733 73.28 86.12 36.59 97.02 13.94
1734 73.31 10.95 30.20 121.13 11.46
1735 73.41 20.22 38.67 156.33 14.24
1736 73.47 83.68 46.66 111.61 14.61
1737 73.64 43.57 43.98 161.55 17.54
1738 73.53 79.11 53.34 132.83 16.90
1739 73.64 90.54 14.69 38.08 6.61
1740 73.60 27.29 43.01 158.26 14.23
1741 73.69 39.43 42.63 173.60 16.73
1742 73.56 6.80 18.15 59.98 8.16
1743 73.59 67.34 60.56 162.95 18.20
1744 73.76 71.97 60.83 160.25 16.80
1745 73.74 37.03 44.06 173.24 16.49
1746 73.79 29.44 36.46 163.09 14.59
1747 73.81 52.53 48.68 164.32 17.96
1748 73.81 61.83 63.30 184.79 19.11
1749 73.85 50.37 54.03 186.85 18.12
1750 74.01 12.78 31.72 116.94 11.89
1751 74.03 31.87 37.71 165.58 14.44
1752 73.99 57.24 52.04 186.79 18.51
1753 73.97 74.40 53.83 143.37 16.17
1754 73.96 9.10 19.34 76.53 8.72
1755 74.04 15.81 33.66 134.70 12.49
1756 74.04 24.85 38.82 154.93 15.25
1757 73.96 47.93 50.43 180.90 17.70
1758 74.08 87.50 25.73 67.63 10.56
1759 74.11 22.23 31.90 137.76 13.67
1760 74.17 34.63 41.09 159.33 15.28
1761 74.07 81.14 47.00 124.92 15.18
1762 74.11 64.88 52.77 172.10 18.75
1763 74.16 18.41 37.10 148.52 14.19
1764 74.23 54.98 48.15 179.51 18.47
1765 74.20 76.83 56.40 148.80 18.06
1766 74.46 41.32 39.69 168.80 16.91
1767 74.48 69.58 57.76 163.29 17.51
1768 74.47 84.30 40.75 105.82 13.95
1769 74.60 46.07 45.57 179.26 17.49
1770 74.72 58.68 48.27 171.03 17.70
1771 74.82 67.41 56.48 160.86 17.47
1772 74.81 90.11 11.91 32.33 6.02
1773 74.85 26.68 37.11 146.41 14.08
1774 74.98 60.97 46.77 156.99 17.13
1775 74.84 63.12 55.68 179.88 19.10
1776 74.82 10.11 24.60 97.84 9.89
1777 74.84 29.68 37.95 156.41 14.78
1778 74.89 78.58 51.66 135.29 15.62
1779 74.88 37.51 35.14 155.59 15.53
1780 74.97 43.76 40.90 174.85 17.23
1781 74.84 49.30 40.71 168.94 17.02
1782 74.98 72.06 52.44 151.86 15.83
1783 74.98 53.32 48.68 185.45 18.54
1784 75.10 81.44 50.59 121.53 14.57
1785 75.04 74.55 54.29 156.57 16.34
1786 75.07 14.74 30.06 128.18 12.02
1787 75.06 19.05 35.33 145.48 12.93
1788 75.06 32.96 37.20 160.75 15.83
1789 75.06 12.47 29.17 130.54 10.81
1790 75.17 21.24 33.09 150.07 13.08
1791 75.24 7.61 16.37 74.28 7.93
1792 75.24 23.98 39.98 157.52 13.20
1793 75.23 87.01 27.51 78.27 11.17
1794 75.34 65.47 53.04 172.01 17.78
1795 75.50 16.87 29.47 128.76 12.35
1796 75.46 55.66 47.88 178.54 16.69
1797 75.60 51.41 40.56 176.62 16.90
1798 75.61 40.61 37.64 165.06 15.37
1799 75.63 70.00 57.75 158.42 17.09
1800 75.60 84.39 33.13 93.36 11.80
1801 75.69 46.05 40.99 180.80 16.88
1802 75.62 75.80 55.70 134.70 17.41
1803 75.92 34.66 35.64 165.51 15.27
1804 75.81 48.30 40.14 184.10 18.00
1805 75.83 28.45 34.61 164.08 14.35
1806 75.80 57.52 46.85 177.08 17.59
1807 75.88 31.36 36.90 169.58 14.99
1808 75.88 37.41 38.80 178.10 15.67
1809 76.03 63.59 48.71 165.35 17.00
1810 75.95 77.80 49.38 140.01 15.87
1811 76.14 9.27 18.93 90.60 8.66
1812 75.97 25.70 36.78 163.64 14.26
1813 76.00 12.14 27.61 111.42 9.88
1814 76.12 59.65 48.23 171.84 16.87
1815 76.18 43.60 38.89 166.70 15.99
1816 76.17 68.10 51.82 164.49 17.24
1817 76.16 72.34 51.22 157.34 16.51
1818 76.15 82.35 37.68 107.86 13.37
1819 76.26 54.19 46.02 182.57 17.27
