#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab12 14A 1 even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
223 20.09 52.88 39.81 38.83 149.68
224 20.20 36.58 37.56 38.58 168.24
225 20.25 63.90 47.40 39.54 145.55
226 20.44 28.84 38.36 35.25 138.83
227 20.46 33.84 39.45 40.07 165.86
228 20.34 75.98 35.59 24.38 88.46
229 20.40 60.66 42.74 40.98 138.20
230 20.68 55.96 42.89 42.73 148.25
231 20.63 26.49 44.49 35.35 144.36
232 20.67 49.48 39.02 39.12 143.92
233 20.71 73.36 40.51 29.29 101.19
234 20.93 23.67 33.95 35.66 140.76
235 20.87 70.80 44.21 35.69 108.70
236 20.86 80.17 24.20 16.20 68.38
237 20.93 41.48 37.28 39.38 143.02
238 21.07 65.93 41.93 34.17 111.34
239 21.15 44.66 33.07 36.41 118.84
240 21.13 16.77 27.51 22.85 102.76
241 21.15 68.49 48.12 38.50 132.60
242 21.18 19.61 35.47 30.09 121.32
243 21.23 58.93 46.66 40.75 135.56
244 21.18 53.87 43.93 43.97 114.06
245 21.28 77.63 36.50 23.72 86.75
246 21.32 31.03 48.24 39.86 138.38
247 21.31 62.53 46.36 40.87 128.02
248 21.29 36.57 47.12 40.53 139.60
249 21.70 52.08 42.94 41.21 131.86
250 21.69 34.21 46.11 38.98 123.55
251 21.94 46.24 42.54 42.61 131.82
252 21.76 27.25 42.92 39.55 127.55
253 21.79 74.49 50.10 32.64 109.29
254 21.94 40.90 41.51 40.95 109.79
255 21.89 49.05 46.66 39.73 135.16
256 22.04 57.30 46.46 42.65 138.45
257 22.08 38.15 44.59 42.51 154.98
258 22.02 71.75 53.66 34.91 103.33
259 22.20 23.40 37.86 35.38 128.18
260 22.14 80.39 34.19 21.29 84.14
261 22.40 20.39 36.91 30.54 88.17
262 22.30 29.54 45.63 39.89 131.28
263 22.21 60.59 50.15 41.39 130.32
264 22.33 63.70 50.22 40.47 125.08
265 22.40 66.69 53.19 38.75 110.79
266 22.38 69.31 51.26 38.02 108.36
267 22.27 76.42 61.44 32.85 87.69
268 22.46 55.27 61.46 42.35 120.18
269 22.84 14.94 24.93 21.91 85.37
270 22.55 32.49 50.02 43.02 135.21
271 22.79 26.37 43.75 39.88 121.36
272 22.94 45.09 49.64 44.07 128.02
273 22.89 78.48 50.70 28.29 83.43
274 22.97 50.42 51.52 42.26 122.92
275 22.97 53.20 51.47 46.25 131.30
276 23.18 42.54 47.94 43.81 122.60
277 23.02 73.16 53.56 33.78 93.00
278 23.49 17.33 33.78 30.08 93.78
279 23.10 36.85 48.16 45.62 149.05
280 23.21 34.26 51.55 44.87 123.87
281 23.33 39.87 49.12 45.12 144.18
282 23.20 57.69 57.44 45.24 126.25
283 23.20 61.13 48.41 40.79 107.94
284 23.28 64.59 50.96 40.67 104.18
285 23.37 75.98 58.52 31.92 84.21
286 23.60 48.03 51.47 44.43 118.09
287 23.46 70.03 66.13 41.94 118.45
288 23.61 31.01 49.93 43.10 111.95
289 23.60 81.00 42.18 21.90 68.52
290 23.67 23.96 44.37 35.85 110.90
291 23.86 28.20 46.02 40.98 120.66
292 23.73 67.32 63.24 40.88 108.14
293 23.90 20.70 46.78 36.30 99.21
294 24.12 54.56 58.40 42.46 115.35
295 24.02 59.60 69.24 46.57 116.18
296 24.14 78.06 61.32 30.04 81.64
297 24.17 51.75 57.63 47.97 128.01
298 24.19 74.20 67.47 36.58 88.85
299 24.26 45.21 57.40 46.57 122.54
300 24.23 57.12 59.02 45.63 123.10
301 24.25 37.70 54.15 44.55 125.15
302 24.22 71.68 68.09 43.07 110.67
303 24.39 61.90 62.18 47.53 121.69
304 24.30 64.49 64.51 43.60 107.31
305 24.48 13.02 23.37 18.18 66.88
306 24.49 25.08 45.68 39.03 98.47
307 24.48 34.08 49.48 42.30 116.61
308 24.52 41.85 55.63 44.16 117.63
309 24.78 80.61 54.83 29.14 75.70
310 24.94 83.31 44.44 21.57 57.60
311 24.83 17.35 51.94 35.99 90.92
312 24.80 30.75 54.90 41.28 102.49
313 24.84 68.61 69.33 41.07 99.60
314 24.92 47.86 54.58 45.75 103.79
315 25.15 50.67 63.61 47.76 110.72
316 25.07 66.27 70.37 44.09 99.30
317 24.95 20.37 38.20 32.08 83.16
318 25.15 76.10 74.19 35.54 82.60
319 25.03 27.80 64.89 46.16 116.54
320 25.26 39.53 61.04 48.43 119.90
321 25.08 59.45 62.00 46.78 115.39
322 25.29 14.55 45.42 30.64 93.45
323 25.26 70.96 78.02 40.61 87.76
324 25.37 44.19 58.87 45.65 105.68
325 25.38 36.53 57.53 45.50 121.84
326 25.35 57.00 64.60 49.19 116.12
327 25.40 54.36 66.39 47.69 104.69
328 25.40 73.63 82.62 40.33 87.28
329 25.46 78.37 70.69 35.41 74.77
330 25.56 22.90 45.82 37.14 86.21
331 25.48 63.70 72.91 45.93 98.37
332 25.79 33.55 60.05 47.98 120.17
333 25.80 26.64 54.54 40.54 100.66
334 25.82 61.32 72.24 42.90 95.57
335 25.73 30.58 63.25 46.74 99.62
336 25.91 80.85 72.04 30.53 74.96
337 25.91 17.34 55.20 37.48 95.18
338 26.08 46.76 59.38 44.92 99.62
339 26.21 40.87 61.41 48.98 108.05
340 26.04 67.51 90.38 45.40 78.74
341 26.02 69.24 92.17 47.32 83.64
342 26.19 20.24 50.12 36.06 87.65
343 26.26 52.51 69.75 49.04 102.64
344 26.24 49.48 63.61 46.20 101.06
345 26.24 65.73 91.50 45.48 87.54
346 26.32 85.27 41.58 17.50 44.56
347 26.57 82.91 62.49 25.63 60.21
348 26.40 14.42 46.09 30.92 82.99
349 26.48 56.60 72.05 48.04 98.90
350 26.59 59.04 74.77 48.22 95.38
351 26.56 43.28 68.40 49.61 108.76
352 26.48 71.18 86.19 43.32 89.63
353 26.57 75.81 93.63 39.00 80.06
354 26.61 25.03 61.09 42.05 91.66
355 26.61 36.53 63.81 46.04 103.79
356 26.56 73.56 95.90 45.91 95.51
357 26.56 77.88 93.74 37.32 62.18
358 26.70 29.15 73.64 48.90 105.10
359 26.67 63.79 85.37 53.48 113.92
360 26.92 31.85 64.33 46.95 111.79
361 26.96 38.79 70.92 49.99 94.87
362 26.92 61.37 80.32 51.00 113.35
363 26.95 12.25 43.82 26.56 79.92
364 27.06 54.54 79.22 50.47 112.88
365 26.95 16.54 54.67 36.19 78.93
366 27.03 79.96 86.99 36.61 72.41
367 27.20 21.90 62.40 42.27 84.97
368 27.18 45.66 70.63 48.67 96.26
369 27.39 18.75 61.28 39.85 79.53
370 27.26 34.28 75.93 49.55 89.57
371 27.19 68.85 95.45 51.11 99.47
372 27.28 86.79 40.29 16.32 35.59
373 27.26 66.28 89.42 48.02 95.46
374 27.27 50.11 67.73 46.78 85.21
375 27.45 27.48 63.15 45.85 91.71
376 27.58 71.31 95.93 44.05 78.44
377 27.72 84.62 66.44 25.27 51.86
378 27.67 77.93 111.37 43.83 80.07
379 27.80 24.65 55.75 39.70 81.75
380 27.84 52.43 70.71 48.50 86.46
381 27.77 57.36 86.76 50.64 90.95
382 27.76 82.11 85.45 32.48 58.98
383 27.88 39.89 85.03 49.96 85.48
384 27.80 42.40 73.98 51.22 92.84
385 27.84 47.84 72.98 50.43 91.59
386 27.67 63.31 91.56 50.88 94.80
387 27.77 73.58 103.69 48.18 87.32
388 27.79 14.17 50.47 28.48 67.36
389 27.91 75.74 102.01 42.49 77.31
390 27.89 59.83 87.29 52.49 98.83
391 27.95 36.48 80.09 52.91 93.62
392 28.20 28.90 89.04 49.09 91.98
393 28.21 31.23 80.38 48.52 91.10
394 28.23 55.22 81.09 50.69 89.78
395 28.36 16.21 67.92 38.49 77.71
396 28.37 21.68 50.66 38.55 65.13
397 28.40 44.90 77.81 52.70 92.24
398 28.35 66.66 88.18 47.89 80.32
399 28.39 69.05 101.92 49.20 80.71
400 28.43 80.32 109.16 43.22 73.29
401 28.48 33.90 77.16 53.53 102.43
402 28.52 61.85 93.29 53.27 85.66
403 28.56 86.74 51.32 20.81 41.09
404 28.54 64.46 114.21 49.51 69.48
405 28.63 26.23 74.53 45.81 88.08
406 28.69 50.79 82.95 50.52 91.68
407 28.77 71.26 104.08 47.25 74.86
408 28.72 37.74 93.63 52.69 96.00
409 28.89 77.99 124.06 44.26 69.10
410 28.99 18.62 63.60 40.17 71.17
411 28.91 73.81 114.84 47.99 77.31
