#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn4 14A 5 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
251 24.39 54.15 26.34 21.88 205.60
252 24.30 71.98 28.25 15.67 152.10
253 24.36 46.72 26.55 22.68 209.35
254 24.46 32.50 21.72 20.76 198.04
255 24.51 77.39 27.96 13.17 137.33
256 24.47 29.53 21.51 18.32 183.04
257 24.49 44.13 24.95 21.51 206.30
258 24.67 82.15 22.35 10.91 81.23
259 24.57 56.55 27.96 21.96 195.63
260 24.70 74.80 28.71 15.05 166.91
261 24.93 19.71 19.09 13.80 170.98
262 24.78 65.54 28.89 18.39 175.03
263 25.04 35.25 23.69 20.70 208.17
264 25.07 63.03 29.49 20.03 179.83
265 25.09 25.55 20.28 19.26 180.79
266 25.10 60.02 29.46 21.17 187.19
267 25.30 22.67 18.91 16.24 171.15
268 25.25 48.56 27.69 22.53 204.94
269 25.31 52.12 26.02 21.18 198.74
270 25.19 79.70 32.18 13.16 130.88
271 25.42 37.57 25.54 22.56 208.53
272 25.39 67.67 29.72 19.72 169.71
273 25.44 42.58 25.39 22.13 212.36
274 25.56 70.16 28.33 16.95 156.35
275 25.62 39.89 26.32 23.48 204.87
276 25.70 28.33 20.64 19.25 187.49
277 25.60 31.16 22.65 19.51 201.96
278 25.53 45.60 28.06 22.83 209.41
279 25.60 72.82 34.18 17.69 159.80
280 25.76 57.66 28.35 21.57 194.76
281 25.62 55.23 30.07 22.69 202.78
282 25.84 17.39 16.32 13.06 141.63
283 25.86 75.89 36.19 14.80 152.34
284 26.05 33.55 23.73 20.67 207.96
285 26.07 50.03 27.16 23.44 219.80
286 26.10 65.42 31.53 19.77 180.20
287 26.19 81.59 35.70 12.17 104.69
288 26.24 20.51 20.93 15.31 174.84
289 26.32 62.39 31.03 20.13 181.75
290 26.33 78.54 41.74 13.77 138.44
291 26.26 59.92 31.43 21.36 193.13
292 26.58 25.57 21.03 17.44 181.66
293 26.50 53.61 31.39 22.64 204.51
294 26.57 35.83 24.38 21.01 201.21
295 26.53 41.54 26.46 22.75 218.44
296 26.59 46.91 28.81 21.91 205.48
297 26.66 44.26 27.29 21.91 215.50
298 26.77 67.93 40.13 18.04 172.18
299 26.86 23.12 20.58 17.51 173.90
300 26.69 71.27 42.73 18.86 152.64
