#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf4 14A 3 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
340 27.05 46.39 37.98 24.01 189.01
341 26.97 77.14 76.36 20.06 146.44
342 27.12 62.33 68.71 22.99 196.36
343 27.10 82.19 73.83 16.54 128.91
344 27.20 33.00 33.32 21.87 181.06
345 27.17 58.62 59.95 24.92 207.07
346 27.26 69.74 86.35 22.49 182.50
347 27.49 67.06 85.17 22.39 183.81
348 27.42 56.08 58.16 24.67 204.48
349 27.46 64.52 77.37 23.08 189.42
350 27.51 28.57 30.47 19.65 170.31
351 27.71 38.99 39.76 22.55 192.42
352 27.65 25.84 32.12 19.50 159.18
353 27.61 41.43 39.97 23.72 192.04
354 27.83 72.08 96.10 20.72 165.95
355 27.84 79.49 95.66 19.39 145.37
356 27.76 84.41 72.36 16.07 119.72
357 27.70 14.06 26.06 14.23 119.46
358 27.70 50.69 46.64 23.34 199.55
359 27.79 74.51 98.40 21.16 166.87
360 27.91 60.30 73.15 23.16 196.84
361 27.93 31.13 36.57 21.38 180.74
362 27.85 48.15 45.34 23.20 190.89
363 27.97 34.63 38.42 21.57 182.04
364 28.03 21.97 32.62 17.71 146.47
365 28.15 19.38 30.52 17.67 148.00
366 28.19 16.94 29.64 16.95 134.63
367 28.09 45.31 44.35 23.22 196.36
368 28.22 54.52 63.07 24.38 202.99
369 28.20 76.76 103.84 20.78 157.16
370 28.34 36.75 39.88 22.99 182.04
371 28.24 57.66 72.89 25.06 198.95
372 28.36 43.10 46.03 24.79 187.24
373 28.43 52.36 58.84 24.08 199.26
374 28.40 62.58 89.41 23.86 193.00
375 28.40 81.57 95.70 17.94 139.66
376 28.50 65.26 102.89 23.78 190.78
377 28.45 69.74 112.40 21.60 182.96
378 28.57 24.35 33.11 20.50 156.38
379 28.69 27.68 37.60 20.65 168.24
380 28.70 40.73 46.62 24.64 193.22
381 28.76 67.56 120.99 24.15 199.34
382 28.96 32.78 43.02 23.05 182.76
383 28.89 49.83 60.52 24.67 195.50
384 28.76 86.38 78.49 14.28 100.98
385 28.78 47.21 52.43 22.70 188.30
386 28.91 13.25 34.57 16.06 124.20
387 28.96 30.17 41.21 21.52 174.62
388 29.05 38.56 42.54 22.28 186.17
389 29.03 74.17 123.30 21.75 158.68
390 29.03 83.74 94.30 16.91 135.08
391 29.08 60.33 103.87 25.48 205.13
392 29.20 55.37 77.29 26.07 193.40
393 29.23 35.03 42.92 22.38 182.58
394 29.32 71.46 126.50 22.75 172.52
395 29.29 20.84 41.14 19.19 150.98
396 29.35 44.50 56.93 23.51 192.55
397 29.30 57.90 94.72 25.16 198.34
398 29.27 77.66 116.72 19.25 149.32
399 29.37 15.75 43.40 16.30 133.03
400 29.49 63.74 117.57 23.49 186.95
401 29.66 26.15 40.13 19.86 158.49
402 29.54 52.74 79.24 24.87 197.83
403 29.65 42.09 57.20 24.65 190.76
404 29.77 23.46 44.05 18.99 154.68
405 29.61 80.69 114.38 18.95 148.01
406 29.78 66.11 146.51 25.44 193.80
407 30.01 18.13 48.31 17.21 134.78
408 29.78 68.90 150.96 22.74 187.91
409 29.75 86.78 91.42 15.95 102.09
410 29.76 47.26 70.78 23.90 185.77
411 29.84 88.43 74.08 14.43 92.63
412 29.98 28.88 47.33 20.52 180.33
413 30.06 37.74 56.35 22.65 192.12
414 29.98 61.58 133.43 28.51 208.28
415 29.96 50.49 84.18 27.14 198.19
416 30.06 31.30 50.26 21.05 182.80
417 30.15 39.98 63.55 24.79 193.66
418 30.23 72.83 153.38 25.49 184.44
419 30.26 75.48 129.18 22.80 158.84
420 30.31 35.66 55.00 22.03 191.26
421 30.22 83.95 99.69 18.42 128.53
422 30.30 56.45 106.83 25.73 193.83
423 30.32 58.99 130.85 26.21 200.29
424 30.48 33.40 56.73 22.14 188.59
425 30.37 54.17 104.45 25.24 196.69
426 30.47 14.52 56.25 17.24 123.02
427 30.48 78.35 124.43 21.74 148.96
428 30.53 43.51 75.39 25.99 199.02
429 30.53 20.52 59.64 19.53 147.58
430 30.60 45.87 89.95 25.16 193.71
431 30.62 48.53 96.53 25.96 199.17
432 30.62 63.57 155.98 26.74 211.48
433 30.86 86.27 92.96 17.99 114.72
434 30.86 25.44 64.65 20.43 168.56
435 30.76 67.10 159.76 25.08 192.91
436 30.87 81.36 116.20 20.17 142.57
437 30.93 51.98 117.13 26.11 192.19
438 30.89 69.57 167.72 24.80 185.79
439 31.05 22.80 66.81 20.19 153.87
440 30.99 27.96 66.16 22.29 175.21
441 31.00 41.29 82.04 24.64 192.41
442 31.05 89.10 72.08 14.83 84.13
443 31.06 60.84 166.54 28.08 208.85
444 31.20 31.26 72.26 23.25 186.29
445 31.24 37.05 74.66 24.27 195.96
446 31.24 71.66 167.77 24.71 186.63
447 31.48 16.81 74.87 19.09 130.07
448 31.40 49.88 134.81 27.47 191.36
449 31.43 64.94 174.73 25.70 193.69
450 31.44 39.11 89.72 25.63 193.66
451 31.40 56.64 147.20 26.23 189.88
452 31.44 76.36 135.35 23.02 165.29
453 31.48 34.81 79.11 23.58 175.00
454 31.47 58.73 159.88 26.47 205.01
455 31.63 19.44 77.70 19.45 137.85
456 31.47 54.28 144.02 27.16 190.85
457 31.64 13.45 76.85 16.95 121.75
458 31.66 73.85 140.80 24.81 167.97
459 31.57 44.89 107.24 24.91 182.52
460 31.74 83.57 106.60 20.59 136.03
461 31.66 47.20 122.40 25.67 193.77
462 31.78 79.09 128.37 23.67 155.45
463 31.76 62.46 176.69 28.33 206.45
464 31.85 42.74 108.55 24.68 194.86
