#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca5 14A 3 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
189 17.14 31.89 20.69 16.85 49.71
190 17.18 29.09 19.56 15.03 48.25
191 17.19 51.20 23.75 21.47 70.36
192 17.25 65.68 23.80 15.89 61.93
193 17.32 45.98 22.72 20.21 67.46
194 17.19 41.09 23.71 19.47 56.21
195 17.37 55.47 24.61 19.34 75.57
196 17.39 48.59 23.14 20.32 70.41
197 17.54 38.89 21.95 18.59 58.89
198 17.70 36.65 22.36 19.03 62.12
199 17.76 57.91 24.47 19.23 75.48
200 17.70 43.21 23.50 19.62 71.85
201 17.67 72.72 22.10 13.61 48.92
202 17.93 60.86 22.46 17.78 73.80
203 17.81 25.28 19.07 12.63 53.31
204 17.78 19.50 16.84 10.45 46.39
205 17.99 34.27 23.08 17.49 64.59
206 17.89 26.74 17.82 14.61 53.16
207 18.18 53.38 25.16 19.93 77.40
208 18.16 63.45 24.98 17.30 75.70
209 18.12 69.93 24.33 14.85 59.03
210 18.31 67.22 24.59 15.75 65.99
211 18.28 22.31 17.07 12.21 56.06
212 18.39 30.07 22.04 15.67 68.81
213 18.37 50.27 25.40 20.53 84.53
214 18.53 75.72 24.61 12.63 48.14
215 18.62 40.40 24.22 19.30 79.71
216 18.64 45.04 24.82 21.79 90.31
217 18.58 47.82 23.48 20.81 89.21
218 18.75 56.29 24.43 20.33 85.64
219 18.80 32.59 23.79 17.62 76.57
220 18.97 27.57 21.99 15.13 74.06
221 19.04 42.77 24.84 20.49 92.01
222 18.99 36.88 24.01 18.83 80.46
223 19.17 19.01 17.24 10.96 61.91
224 19.22 24.47 19.42 14.15 72.23
225 19.14 59.05 24.35 19.41 87.80
226 19.25 65.16 27.36 17.59 82.30
227 19.29 52.08 26.80 20.64 90.48
228 19.25 72.45 25.84 13.97 54.95
229 19.34 62.24 25.26 18.77 86.63
230 19.45 69.18 27.66 15.61 67.77
231 19.65 34.73 24.30 18.79 89.45
232 19.68 38.96 25.00 19.35 93.70
233 19.57 46.59 27.80 22.27 103.46
234 19.65 54.74 25.21 20.28 91.18
235 19.68 30.76 23.16 16.75 89.15
236 19.73 49.69 25.96 21.25 97.04
237 19.94 21.33 18.69 12.46 71.04
238 19.83 77.94 29.66 12.55 48.04
239 19.94 75.05 32.50 14.42 59.04
240 20.15 41.64 27.00 20.61 107.11
241 20.20 44.54 27.62 20.89 99.28
242 20.27 57.39 26.74 19.43 94.86
243 20.32 26.41 23.14 15.98 91.90
244 20.26 60.46 27.59 19.41 93.16
245 20.25 66.65 30.65 17.48 81.27
246 20.36 28.78 24.06 17.27 96.23
247 20.46 18.43 18.64 11.96 63.33
248 20.53 32.66 24.09 18.91 102.45
249 20.56 37.13 23.97 19.46 105.08
250 20.52 63.82 29.77 18.24 86.32
251 20.53 53.13 27.76 21.64 101.36
252 20.61 71.26 31.27 14.68 68.56
253 20.68 48.04 25.57 20.86 101.97
254 20.80 23.90 21.77 13.92 85.25
255 20.95 68.79 34.40 16.89 80.10
256 20.92 50.47 26.59 22.41 107.04
257 21.10 34.82 25.68 19.76 106.79
258 21.02 39.81 25.80 19.32 107.95
259 21.23 55.48 28.01 22.82 99.93
260 21.10 73.85 34.82 14.42 69.65
261 21.16 77.08 33.78 12.72 53.99
262 21.30 15.60 17.36 10.45 64.23
263 21.37 46.51 29.09 21.99 104.56
264 21.41 21.52 21.32 13.25 82.58
265 21.44 30.79 24.43 17.60 105.60
266 21.39 61.89 30.69 19.18 93.41
267 21.43 42.17 28.77 22.40 112.97
268 21.35 59.22 29.14 20.12 99.07
269 21.60 44.52 27.25 21.81 106.26
270 21.56 66.09 31.96 17.37 88.27
271 21.71 28.40 26.74 17.20 106.19
272 21.80 26.09 24.47 15.26 101.06
273 21.63 52.58 28.84 20.66 103.17
274 21.78 18.92 20.26 11.78 74.87
275 21.99 36.47 26.83 20.15 110.72
276 22.05 57.36 32.20 20.96 102.44
277 22.18 33.10 27.08 20.50 111.08
278 22.11 38.71 27.95 20.49 112.90
279 22.03 71.63 39.54 15.68 83.08
280 22.15 50.07 30.56 22.30 107.62
281 22.17 63.90 35.28 17.99 94.00
282 22.36 48.08 29.89 21.83 106.28
283 22.26 69.11 38.82 17.82 91.52
284 22.35 74.62 44.82 15.59 73.81
285 22.50 23.63 23.12 13.95 91.73
286 22.47 77.66 56.52 14.23 68.75
287 22.57 40.98 28.82 20.94 111.27
288 22.51 54.94 29.57 22.45 110.25
289 22.44 60.80 31.23 20.71 101.45
290 22.57 17.11 22.02 11.67 75.92
291 22.62 43.51 29.99 22.43 110.63
292 22.78 30.53 28.59 19.16 105.04
293 22.73 52.31 31.60 23.37 110.46
294 22.93 46.13 29.21 21.22 102.48
295 22.85 66.71 39.03 17.26 91.16
296 22.91 80.63 64.02 12.54 63.47
297 23.05 20.96 24.20 13.21 86.79
298 22.99 35.21 29.79 20.51 111.21
299 23.26 28.28 29.64 16.97 107.00
300 23.17 58.62 34.27 20.43 108.15
301 23.19 25.89 27.52 15.17 102.25
302 23.37 15.17 22.21 11.01 81.09
303 23.38 37.79 32.02 21.22 111.95
304 23.36 72.15 56.40 15.80 89.32
305 23.54 56.28 36.53 22.34 111.81
306 23.31 63.82 42.00 21.33 107.64
307 23.54 32.34 30.10 19.45 113.98
308 23.61 48.61 33.09 22.24 114.91
309 23.56 69.17 54.65 17.92 96.58
310 23.68 50.92 34.44 22.26 115.21
311 23.60 61.05 36.55 20.42 103.49
312 23.78 18.36 24.44 13.30 86.95
313 23.69 40.42 31.71 21.51 118.23
314 23.71 53.71 36.73 22.53 113.50
315 23.66 75.08 71.90 14.75 89.65
316 23.65 43.24 30.34 23.32 119.55
317 23.84 78.37 85.22 13.93 79.49
318 23.93 23.29 27.42 14.76 91.03
319 24.07 45.75 34.24 23.87 117.78
320 24.23 13.40 23.87 10.18 72.62
321 24.10 34.78 35.72 22.07 114.61
322 24.05 65.79 53.14 19.64 102.50
323 24.42 81.81 90.89 13.30 64.19
324 24.29 29.93 32.20 18.97 105.55
325 24.35 26.27 31.40 16.03 106.30
326 24.60 58.20 43.45 22.03 116.75
327 24.65 20.46 30.14 13.97 92.33
328 24.47 62.96 51.07 20.38 103.17
329 24.60 39.04 33.81 22.56 125.11
330 24.61 70.84 80.72 18.25 103.98
331 24.75 36.85 34.19 21.96 114.05
332 24.70 67.90 67.82 19.34 109.75
333 24.64 42.20 36.43 22.47 124.10
334 24.83 16.23 27.90 11.34 88.17
