#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf1 14A 6 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
253 24.10 36.47 27.16 22.57 188.36
254 23.95 67.40 26.91 19.42 150.29
255 23.89 46.30 28.28 25.11 207.76
256 23.92 60.19 25.99 21.62 173.69
257 24.02 80.99 70.63 14.05 115.80
258 24.34 18.83 22.70 13.63 128.82
259 24.19 44.07 27.29 24.48 207.23
260 24.24 48.90 28.82 23.53 187.65
261 24.20 51.42 30.19 24.90 202.21
262 24.31 34.16 24.69 20.27 176.04
263 24.45 15.44 23.53 13.02 117.07
264 24.30 63.22 27.60 21.66 177.21
265 24.23 73.25 37.60 17.04 140.27
266 24.41 28.15 26.01 18.93 170.98
267 24.40 38.96 27.31 23.49 200.36
268 24.41 70.22 33.55 17.69 143.22
269 24.55 76.37 48.76 15.83 114.54
270 24.76 53.49 28.43 24.44 178.39
271 24.67 55.92 28.49 24.16 188.75
272 24.83 41.86 26.82 23.30 197.12
273 24.86 31.90 28.16 21.07 196.85
274 24.81 58.36 27.38 22.96 174.23
275 25.11 79.90 108.79 14.96 121.06
276 25.06 65.50 31.59 20.69 154.06
277 25.04 61.27 30.23 21.71 175.52
278 25.00 83.01 115.49 13.00 98.83
279 25.02 47.03 29.66 24.70 204.61
280 25.18 22.02 28.51 15.70 143.51
281 25.11 68.25 38.60 19.80 168.38
282 25.33 26.32 29.55 18.34 164.10
283 25.46 29.64 29.27 20.06 175.14
284 25.36 44.72 30.31 24.64 211.40
285 25.30 73.06 62.32 17.20 140.78
286 25.43 38.18 31.52 23.07 195.57
287 25.35 50.87 32.20 26.23 205.03
288 25.58 63.32 34.60 22.05 174.00
289 25.58 70.43 57.23 20.21 156.73
290 25.81 36.10 32.20 23.06 197.84
291 25.67 33.84 30.54 21.50 189.12
292 25.72 85.23 120.76 13.05 87.98
293 25.55 78.08 120.86 16.38 125.46
294 25.97 16.89 38.16 14.31 133.85
295 25.87 19.65 35.19 15.39 142.22
296 25.83 48.67 33.84 25.36 193.52
297 25.88 59.47 31.61 22.96 181.40
298 26.13 14.13 40.15 12.78 122.87
299 25.94 54.57 35.05 24.73 185.85
300 25.88 56.82 36.08 25.60 185.34
301 25.93 40.51 32.70 25.25 205.08
302 25.95 42.83 32.88 25.63 202.29
303 26.24 24.42 51.34 17.84 157.89
304 26.05 75.09 116.29 18.41 144.20
305 26.06 67.04 58.56 21.40 165.71
306 26.09 77.15 143.67 16.47 124.63
307 26.22 52.39 36.10 24.33 191.68
308 26.30 31.86 35.77 21.00 194.33
309 26.31 46.50 34.06 24.96 203.79
310 26.38 82.81 170.14 14.55 95.51
311 26.44 61.61 42.95 23.82 173.62
312 26.59 27.07 54.93 20.28 166.47
313 26.53 72.15 166.65 20.02 141.57
314 26.59 79.65 182.18 16.37 115.01
315 26.72 21.85 59.64 15.82 144.30
316 26.60 64.62 50.91 21.49 167.78
317 26.68 29.50 47.73 20.91 186.33
318 26.66 38.60 41.97 24.39 202.69
319 26.70 50.08 38.94 24.26 215.21
320 26.85 69.60 133.17 20.81 153.15
321 26.83 86.66 110.51 12.81 76.23
322 26.81 44.38 39.73 26.23 211.58
323 26.93 34.32 47.54 22.65 194.52
324 26.91 58.25 41.53 24.40 183.63
325 27.05 41.53 41.65 24.53 192.81
326 27.09 56.06 43.55 24.82 196.96
327 27.28 18.87 96.06 16.27 159.09
328 27.28 53.94 51.79 24.86 189.71
329 27.35 36.63 46.20 23.16 205.43
330 27.18 67.00 136.61 22.54 167.73
331 27.37 75.82 175.69 17.81 125.06
332 27.55 48.65 45.87 26.39 198.54
333 27.47 60.23 54.34 23.34 165.99
334 27.47 84.21 148.72 14.68 102.65
335 27.78 16.47 121.81 14.42 125.60
336 27.60 62.51 86.44 22.30 189.67
337 27.47 51.74 52.24 25.08 182.58
338 27.50 46.37 59.03 28.65 232.60
339 27.64 12.94 115.18 13.79 111.54
340 27.55 31.86 64.44 21.38 178.01
341 27.80 23.91 160.98 17.43 146.58
342 27.63 73.02 204.53 19.85 131.63
343 27.94 26.46 154.16 20.03 168.97
344 27.82 28.97 118.84 21.16 181.88
345 27.79 82.23 164.33 16.22 101.31
346 27.82 38.96 75.39 23.94 208.96
347 27.84 64.46 157.95 23.39 175.87
348 27.87 78.51 194.76 18.24 127.84
349 27.86 80.77 189.96 16.15 115.55
350 28.04 43.50 59.33 26.23 206.93
351 27.84 88.20 76.49 11.86 55.18
352 28.08 68.75 197.59 22.89 168.02
353 28.19 21.29 174.20 18.79 160.20
354 28.13 58.00 93.82 24.02 180.83
355 28.23 34.85 114.85 25.31 199.11
356 28.21 55.22 97.43 28.18 225.71
357 28.23 41.28 76.37 26.24 211.05
358 28.40 71.14 218.15 19.81 157.86
359 28.44 86.06 97.75 13.66 103.00
360 28.37 66.33 203.61 23.08 174.89
361 28.56 45.36 110.09 29.26 210.88
362 28.56 50.31 81.47 26.71 204.03
363 28.57 52.70 125.99 27.40 204.54
364 28.91 11.06 133.50 13.33 86.03
365 28.65 32.89 150.23 25.22 202.98
366 28.76 37.19 156.28 24.31 196.55
367 28.66 47.69 99.19 25.32 199.12
368 28.68 60.82 174.99 25.91 180.48
369 28.96 19.08 180.72 16.62 144.30
370 28.88 30.60 187.08 23.02 180.12
371 28.87 73.72 188.17 20.24 133.76
372 28.84 76.48 167.28 18.18 123.75
373 29.06 62.87 214.84 25.39 183.85
374 28.98 82.37 115.38 15.56 113.86
375 29.11 39.52 192.54 26.97 204.51
376 29.20 27.91 210.92 22.20 157.99
377 29.04 79.80 157.36 16.71 117.31
378 29.24 25.00 208.34 20.42 158.54
379 29.07 57.06 203.58 26.59 178.20
380 28.97 83.90 110.39 14.98 89.25
381 29.30 13.89 172.01 16.59 119.96
382 29.54 16.71 169.10 16.69 136.45
383 29.40 41.75 180.42 26.85 202.91
384 29.43 67.58 219.50 23.28 163.11
385 29.35 54.44 213.48 26.13 172.45
386 29.42 65.06 224.18 24.49 165.52
387 29.38 69.92 224.19 23.27 172.23
388 29.52 22.27 196.66 18.38 153.59
389 29.59 59.46 226.78 26.70 182.83
390 29.63 35.38 213.93 24.63 177.88
391 29.74 43.77 210.02 26.37 195.73
392 29.68 46.37 192.00 27.34 200.59
393 29.74 49.23 221.02 27.79 194.32
394 29.82 51.68 217.28 27.06 186.00
395 29.67 86.52 56.69 13.74 89.70
396 29.95 32.75 220.12 24.61 181.59
397 30.18 30.13 228.16 23.33 181.76
398 30.14 38.54 222.58 26.81 192.19
399 30.08 71.85 186.80 22.01 154.68
400 30.07 74.73 164.24 20.78 131.41
401 30.07 77.58 138.93 19.36 128.39
402 29.86 84.39 61.28 14.89 109.25
403 30.27 61.46 222.86 25.80 177.09
404 30.17 56.02 230.26 26.54 177.50
405 30.05 80.48 97.11 16.73 125.36
406 30.29 82.98 60.88 16.02 118.02
407 30.39 57.98 237.08 27.26 184.38
408 30.60 12.13 161.15 15.14 104.19
409 30.54 20.30 175.72 17.51 137.40
410 30.55 25.70 217.61 22.72 166.32
411 30.61 27.98 218.72 23.25 170.30
412 30.50 64.46 222.92 23.90 180.16
413 30.51 53.61 236.60 27.52 177.60
414 30.69 88.35 36.97 15.04 87.09
415 30.61 41.16 228.67 28.81 209.14
416 30.55 69.15 215.68 23.79 164.90
417 30.80 23.23 203.98 21.03 168.67
418 30.85 36.87 230.16 28.03 194.62
419 30.75 47.92 235.78 28.89 204.85
420 30.72 66.65 195.80 24.91 176.27
421 31.00 15.28 168.81 15.48 118.01
422 30.77 45.43 231.88 29.37 193.01
423 30.92 34.36 224.67 26.38 193.06
424 30.88 85.64 44.00 16.63 109.88
425 30.94 50.44 233.40 27.71 185.32
426 31.19 18.05 181.85 19.30 160.60
427 31.22 63.02 215.47 27.59 189.42
428 31.12 78.56 65.59 20.06 138.62
429 31.19 59.57 216.20 29.17 192.57
430 30.84 81.68 50.84 18.74 113.42
431 31.28 43.34 237.60 29.04 202.98
432 31.23 73.00 96.31 22.07 163.85
433 31.14 75.62 87.25 20.89 141.45
434 31.27 31.44 219.61 24.92 174.79
435 31.40 55.05 224.86 27.92 177.09
436 31.44 70.78 133.34 23.08 160.86
437 31.48 39.05 229.03 27.44 194.77
438 31.55 80.65 52.95 17.55 114.66
439 31.55 52.66 226.47 28.69 195.21
440 31.49 57.33 227.28 26.74 196.78
441 31.33 84.00 48.03 18.05 120.92
442 31.61 67.91 126.05 23.44 188.61
443 31.78 28.42 200.33 23.92 173.71
444 31.86 61.46 192.58 29.21 200.12
445 31.73 65.00 149.16 26.39 208.73
446 32.08 9.59 75.37 12.97 83.57
447 31.91 83.42 41.81 18.18 114.02
448 31.87 25.50 160.99 20.47 173.80
449 32.02 22.32 148.39 21.38 176.10
450 31.97 41.27 228.32 29.46 196.63
451 32.00 12.69 101.17 16.20 130.83
452 31.96 45.67 228.99 28.36 178.30
453 31.90 48.49 223.42 29.30 188.50
454 32.12 33.32 212.00 25.43 176.97
455 32.11 35.49 201.62 25.74 189.87
456 32.31 19.80 115.43 18.56 166.44
457 32.11 86.65 38.18 16.02 105.01
458 32.22 89.46 39.22 16.02 82.03
459 32.21 50.92 205.58 30.36 204.29
460 32.22 77.05 48.93 20.16 134.14
461 32.62 37.30 203.96 28.69 185.65
462 32.39 74.30 56.41 23.40 145.01
463 32.56 16.71 91.17 17.19 140.48
464 32.41 30.28 173.00 26.20 180.24
465 32.39 58.78 161.28 28.93 209.96
466 32.53 69.35 72.30 25.41 171.24
467 32.48 56.17 195.89 28.53 193.41
468 32.57 43.38 206.70 30.33 212.34
469 32.56 66.54 84.15 25.98 181.61
470 32.73 71.75 53.21 24.17 156.95
471 32.66 53.40 172.48 29.07 186.94
472 32.73 81.23 39.93 18.78 119.33
473 32.72 39.39 212.44 29.68 225.50
474 32.75 63.77 92.43 27.81 199.35
475 32.88 46.99 175.51 30.78 213.13
476 33.00 24.07 93.11 23.21 176.47
477 33.02 27.59 151.64 25.00 186.98
478 32.90 84.31 42.37 19.51 112.59
479 33.13 14.00 68.64 18.68 145.52
480 32.94 61.27 101.76 29.11 202.53
481 33.17 78.52 47.81 22.33 145.26
482 33.12 32.00 151.39 28.15 188.54
483 33.12 48.97 139.61 30.07 210.92
484 33.52 21.36 67.77 21.56 164.50
485 33.56 40.42 132.10 30.41 206.59
486 33.51 45.32 114.88 32.57 216.68
487 33.44 51.33 108.92 33.04 208.40
488 33.57 87.40 64.69 20.44 114.88
489 33.41 34.68 126.16 27.48 195.42
490 33.58 11.16 52.70 16.12 128.48
491 33.52 59.44 82.12 29.62 199.84
492 33.49 75.90 46.47 23.09 149.71
493 33.53 55.22 125.09 32.94 204.48
494 33.67 57.36 94.98 31.36 218.36
495 33.67 68.35 56.78 26.34 174.21
496 33.71 42.93 136.47 30.94 209.10
497 33.86 18.48 54.13 18.07 142.88
498 33.74 29.89 102.32 27.16 186.78
499 33.75 73.43 46.01 24.27 160.92
500 33.54 85.19 49.35 19.65 120.30
501 33.90 8.54 32.01 14.16 76.84
502 33.67 66.14 56.84 27.13 177.66
503 33.86 89.81 95.75 20.30 95.28
504 33.89 25.87 68.66 22.59 160.08
505 33.90 37.60 117.40 29.56 203.64
506 34.02 53.45 83.40 30.93 210.84
507 34.06 70.80 46.57 26.27 154.90
508 33.91 63.88 57.15 27.90 183.11
509 33.96 82.66 51.62 22.60 128.12
510 34.32 15.91 49.52 19.63 154.14
511 34.14 61.60 58.86 29.17 205.03
512 34.25 92.01 94.72 19.29 46.49
513 34.31 79.91 52.76 25.53 133.74
514 34.25 49.43 84.70 32.79 206.34
515 34.46 47.08 78.36 31.57 211.10
516 34.31 32.46 80.87 26.06 187.54
517 34.45 23.41 57.50 22.59 176.15
518 34.53 35.28 81.65 29.01 189.99
519 34.61 27.95 66.89 25.57 178.39
520 34.67 13.29 44.12 18.44 146.92
521 34.57 77.17 45.85 24.80 129.87
522 34.64 41.34 75.72 31.31 201.07
523 34.87 85.78 90.83 22.23 110.87
524 34.76 44.89 78.94 33.14 212.07
525 34.77 51.49 60.89 30.82 201.64
526 34.64 59.10 58.88 30.75 201.54
527 34.94 38.91 77.24 30.63 208.94
528 34.74 55.99 64.74 31.25 205.29
529 34.95 20.43 47.03 20.57 153.64
530 34.82 65.90 53.34 29.62 182.74
531 34.97 74.39 54.08 26.40 149.06
532 34.87 68.70 52.02 29.41 171.23
533 35.12 10.36 36.11 16.60 117.41
534 35.14 30.23 60.44 27.02 185.80
535 35.15 63.44 51.03 29.23 186.33
536 35.24 89.77 118.71 26.15 93.42
537 35.30 71.94 55.51 27.22 163.33
538 35.28 25.59 55.38 25.11 180.44
539 35.37 36.63 72.50 30.10 196.67
540 35.31 53.55 65.25 33.42 202.04
541 35.24 82.67 105.36 25.22 128.88
542 35.52 43.03 64.51 33.16 203.45
543 35.52 18.30 45.75 19.85 154.34
544 35.45 33.10 59.66 28.66 187.82
545 35.40 61.00 54.20 31.51 206.82
546 35.43 49.08 56.31 33.15 201.92
547 35.54 16.88 40.49 21.18 146.53
548 35.56 58.00 58.40 34.16 204.12
549 35.48 92.44 99.42 24.47 50.09
550 35.71 79.38 106.60 27.40 135.88
551 35.76 22.84 45.89 22.30 161.48
552 35.86 40.60 60.92 31.81 207.45
553 36.01 46.95 65.42 34.06 198.36
554 35.87 67.41 59.59 32.48 185.96
555 35.86 76.70 103.61 30.25 157.66
556 35.96 55.70 58.32 34.43 201.13
557 35.96 69.88 65.39 31.24 184.94
558 35.97 14.21 44.54 19.12 138.16
559 36.07 27.99 51.52 28.29 185.40
560 36.09 51.32 57.53 32.58 195.59
561 36.09 64.97 67.81 32.71 194.72
562 36.23 44.77 78.07 34.17 205.30
563 36.24 87.53 153.04 27.30 103.43
564 36.22 93.72 74.76 26.24 29.53
565 36.36 74.26 113.03 31.45 169.34
566 36.39 84.13 152.14 30.27 118.76
567 36.37 62.29 63.77 30.28 189.04
568 36.47 20.23 48.57 22.29 155.73
569 36.57 34.75 56.59 30.38 203.29
570 36.50 37.07 61.12 31.45 197.65
571 36.48 59.74 69.90 33.43 208.79
572 36.55 10.62 39.88 17.07 121.55
573 36.51 30.08 65.03 29.09 200.10
574 36.51 25.49 57.88 26.81 175.82
575 36.58 80.85 151.37 32.62 136.97
576 36.55 91.03 124.93 29.70 85.04
577 36.72 39.13 66.56 35.38 216.55
578 36.62 32.31 57.80 30.31 195.15
579 36.63 53.50 71.91 36.72 203.78
580 36.67 71.78 104.92 33.32 178.34
581 36.78 49.16 78.30 35.40 206.02
582 36.77 57.59 81.14 37.06 212.61
583 36.84 17.18 57.13 21.38 155.80
584 36.85 42.21 69.42 33.08 194.12
585 37.14 22.73 59.96 27.54 172.03
586 37.08 66.61 98.81 35.78 193.85
587 37.23 69.01 96.39 37.05 181.60
588 37.13 77.12 170.78 31.41 142.17
589 37.17 13.48 56.39 20.54 135.38
590 37.34 55.19 103.90 39.91 210.35
591 37.22 63.74 127.43 35.69 198.63
592 37.33 88.79 143.29 35.49 105.84
593 37.42 47.06 87.27 37.15 197.01
594 37.45 92.79 80.58 33.68 45.80
595 37.55 27.29 79.64 30.03 176.48
596 37.45 51.27 93.71 37.49 195.76
597 37.55 44.81 90.49 38.55 205.42
598 37.56 61.20 126.34 39.99 210.76
599 37.60 74.06 174.97 34.61 162.65
600 37.67 82.44 179.09 37.19 134.22
601 37.66 86.16 156.94 40.13 116.19
602 37.73 79.69 188.85 38.94 153.57
