#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca1 14A 8 even-skipped Kruppel giant

#Data without background#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
294 23.18 26.66 1.63 6.07 151.30
295 23.23 46.74 0.00 2.00 115.64
296 23.25 51.71 0.00 2.83 69.13
297 23.32 60.54 0.00 0.00 23.59
298 23.31 66.30 0.00 0.00 17.64
299 23.26 77.99 0.00 1.55 11.89
300 23.37 40.13 2.80 10.08 160.27
301 23.55 33.70 1.80 6.51 136.39
302 23.57 63.48 0.00 0.00 19.60
303 23.68 44.16 0.00 0.38 108.28
304 23.48 79.94 0.00 3.26 7.99
305 23.68 82.98 0.00 5.34 9.69
306 23.76 57.95 0.00 0.00 28.17
307 23.87 29.07 0.00 7.12 103.96
308 23.91 36.38 0.81 3.01 160.86
309 23.88 31.27 0.32 8.11 138.70
310 23.95 55.34 0.00 0.09 37.50
311 24.03 16.78 1.24 1.92 88.62
312 24.06 50.12 0.00 0.00 65.57
313 24.08 70.70 0.00 0.23 15.77
314 24.19 68.08 0.00 0.00 20.51
315 24.38 18.89 1.14 2.41 91.04
316 24.35 21.69 1.17 3.02 91.41
317 24.19 24.81 1.68 3.19 118.51
318 24.36 48.07 0.42 0.32 82.38
319 24.47 41.79 1.46 3.28 112.41
320 24.40 84.14 0.00 2.68 8.40
321 24.59 39.09 0.10 4.35 121.43
322 24.48 52.18 0.00 1.17 56.53
323 24.35 77.30 0.00 1.60 20.13
324 24.53 61.51 0.00 0.00 30.83
325 24.58 45.80 0.00 0.09 86.99
326 24.78 27.14 0.00 2.29 117.54
327 24.60 65.29 0.00 1.98 26.63
328 24.42 78.91 0.00 0.52 15.83
329 24.59 80.20 0.00 0.70 16.11
330 24.76 59.24 0.00 1.12 38.91
331 24.82 74.77 0.00 1.13 14.61
332 24.78 33.95 0.00 4.05 118.97
333 24.98 54.04 0.00 1.11 48.76
334 25.02 56.62 0.00 1.27 40.92
335 25.11 72.29 0.00 0.00 16.83
336 25.15 63.19 0.00 0.00 29.74
337 25.17 31.11 0.81 5.68 103.06
338 25.34 43.57 0.00 2.56 71.82
339 25.14 15.39 1.01 1.79 57.51
340 25.25 36.61 0.47 4.17 129.00
341 25.32 49.41 0.00 2.66 62.83
342 25.08 81.58 0.00 5.10 12.52
343 25.50 23.93 0.94 2.18 88.01
344 25.39 69.78 0.00 0.76 27.45
345 25.42 67.18 0.00 1.49 27.47
346 25.58 20.80 0.46 2.56 66.04
347 25.57 17.20 1.63 5.25 76.13
348 25.57 78.98 0.00 3.40 25.23
349 25.95 84.79 0.00 4.43 21.99
350 25.74 28.89 0.40 2.41 101.44
351 25.82 41.34 0.76 3.15 73.09
352 25.66 46.15 0.87 0.90 71.66
353 25.53 77.17 0.00 2.87 22.33
354 25.73 52.00 0.00 0.00 57.22
355 25.80 18.88 0.00 5.08 71.38
356 26.01 38.98 0.27 2.88 100.91
357 25.83 60.39 0.00 0.51 40.22
358 25.72 13.58 0.04 0.00 30.77
359 26.03 57.89 0.00 1.99 43.31
360 25.92 64.94 0.00 0.00 27.76
361 26.00 33.90 1.12 2.24 98.48
362 26.25 26.45 1.16 1.93 83.53
363 26.09 55.05 0.00 1.04 50.43
364 26.32 81.63 0.00 3.49 27.42
365 26.24 75.65 0.00 2.26 22.18
366 26.38 73.06 0.00 0.14 33.52
367 26.37 62.59 0.00 0.26 42.88
368 26.44 15.05 1.02 1.09 52.79
369 26.24 48.02 0.00 0.00 56.70
370 26.58 31.28 0.69 4.11 86.18
371 26.53 36.43 0.85 2.00 91.39
372 26.58 50.40 0.20 2.06 57.95
373 26.63 70.38 0.32 1.90 39.44
374 26.73 11.86 0.00 0.00 33.60
375 26.80 21.78 1.03 1.34 68.42
376 26.57 67.65 0.00 0.78 40.05
377 26.59 78.08 0.00 2.56 31.26
378 26.98 43.12 1.24 1.28 68.36
379 26.76 45.75 0.89 1.09 72.84
380 26.80 85.49 0.00 4.75 32.43
381 27.03 24.34 0.39 0.54 71.56
382 26.90 53.12 0.00 1.37 52.66
383 26.97 40.72 2.68 1.85 75.52
384 27.13 60.46 0.00 1.44 50.16
385 27.01 19.42 0.00 0.06 54.53
386 27.04 64.61 0.00 1.01 45.71
387 27.07 28.42 0.35 1.85 74.88
388 27.10 33.82 2.18 2.83 77.72
389 27.25 58.53 2.47 1.58 57.15
390 27.30 38.45 1.51 1.97 78.19
391 27.13 56.13 0.71 0.80 55.61
392 27.08 79.20 0.00 3.18 32.73
393 27.30 48.50 0.48 1.04 62.20
394 27.28 13.53 0.77 0.00 48.42
395 27.56 17.34 0.00 0.00 48.12
396 27.39 75.57 3.45 1.65 43.48
397 27.57 73.88 2.65 0.00 42.37
398 27.53 81.85 0.50 3.09 40.33
399 27.69 50.95 0.08 0.00 57.78
400 27.59 66.69 18.93 3.20 63.26
401 27.49 68.97 8.54 0.00 44.34
402 27.72 71.67 36.59 1.39 60.84
403 27.73 62.32 5.32 0.79 67.30
404 27.67 35.65 0.44 3.08 76.89
405 27.75 15.05 0.51 0.17 45.67
406 27.84 26.06 0.16 0.04 67.13
407 27.77 85.41 0.00 5.13 30.62
408 27.82 30.67 0.35 4.54 72.16
409 28.35 44.95 0.48 1.78 69.80
410 28.00 55.02 0.12 1.20 58.77
411 27.97 53.11 0.00 0.00 62.30
412 27.92 22.75 0.00 0.00 48.10
413 28.14 32.85 0.18 3.00 75.33
414 28.13 47.17 0.07 0.73 67.49
415 28.57 12.52 0.26 0.00 36.74
416 27.99 19.32 1.16 0.00 53.25
417 28.12 40.57 1.17 2.89 65.87
418 28.29 76.52 68.75 2.99 47.92
419 28.17 78.91 16.19 0.67 48.14
420 28.22 64.35 130.80 0.07 64.40
421 28.32 20.79 1.00 1.83 53.64
422 28.70 28.16 0.33 1.12 60.12
423 28.33 42.68 2.00 1.37 64.00
424 28.50 57.11 4.75 3.03 60.00
425 28.29 59.39 7.67 1.77 72.26
426 28.34 37.61 0.99 0.00 71.25
427 28.53 69.87 125.20 2.66 67.09
428 28.63 67.16 160.99 3.16 76.59
429 28.71 81.58 49.40 3.90 63.95
430 28.83 24.77 0.00 0.90 59.81
431 28.49 34.83 2.06 0.00 52.71
432 28.61 52.58 3.64 1.99 76.39
433 28.81 72.98 114.42 1.08 59.36
434 28.69 15.78 0.62 0.00 41.60
435 28.76 61.75 117.12 3.54 85.10
436 28.96 51.46 2.12 1.08 80.40
437 28.94 18.01 1.13 0.26 57.00
438 28.98 31.15 0.42 0.00 58.52
439 29.35 84.71 29.77 5.63 64.91
440 29.09 39.14 1.62 0.17 63.91
