#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
fa2 14A 6 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
205 19.96 76.23 21.50 68.44 99.34
206 19.89 54.45 25.97 70.12 173.35
207 20.08 79.05 20.25 67.46 96.38
208 20.01 59.65 27.06 105.91 144.69
209 20.22 65.52 24.95 91.54 129.60
210 20.10 21.25 17.04 16.41 141.91
211 20.14 68.17 24.38 88.97 129.84
212 20.32 49.40 24.22 29.62 182.72
213 20.39 56.90 27.32 81.59 157.07
214 20.33 73.32 23.28 73.86 106.02
215 20.56 52.03 26.22 41.28 180.81
216 20.70 32.06 20.27 18.53 171.16
217 20.70 39.46 22.35 23.08 187.74
218 20.37 45.93 25.46 25.56 159.62
219 20.69 70.61 23.47 84.54 110.27
220 20.62 26.65 17.29 17.78 148.15
221 20.74 29.59 20.02 18.31 162.47
222 20.74 84.23 13.89 51.40 52.81
223 20.95 37.03 22.33 21.66 190.40
224 20.94 43.19 24.96 22.71 176.15
225 21.12 23.35 18.09 16.94 138.89
226 21.14 60.90 27.40 100.85 144.54
227 21.14 63.28 27.62 110.05 141.14
228 21.04 81.33 18.70 62.85 85.78
229 21.25 19.88 15.66 15.14 135.03
230 21.25 34.79 22.79 19.68 181.43
231 21.30 47.88 25.97 27.28 187.73
232 21.14 54.21 26.34 50.93 184.84
233 21.21 75.13 24.08 72.75 103.06
234 21.32 58.51 27.09 84.72 141.84
235 21.64 41.15 25.14 22.31 166.80
236 21.46 67.82 24.19 94.29 127.19
237 21.60 77.89 21.36 66.01 92.33
238 21.72 45.53 25.38 24.67 189.49
239 21.75 65.26 26.34 94.89 136.14
240 21.73 50.40 27.52 29.60 186.23
241 21.83 25.72 18.94 18.12 155.62
242 21.92 28.50 18.48 18.62 161.36
243 21.84 72.56 26.10 76.55 104.19
244 21.92 56.36 28.81 58.90 170.22
245 22.09 38.77 24.09 22.49 188.53
246 21.88 85.83 12.81 45.38 49.24
247 22.14 82.98 18.41 53.07 74.87
248 22.30 31.03 20.78 19.09 177.05
249 22.26 33.35 21.36 20.61 178.50
250 22.24 69.88 25.37 88.48 110.50
251 22.34 79.78 23.25 61.10 97.29
252 22.38 21.76 17.71 18.18 142.01
253 22.34 54.05 27.42 40.38 178.12
254 22.43 43.24 24.34 22.61 187.54
255 22.36 62.25 28.53 100.81 148.17
256 22.38 59.42 29.66 87.47 143.12
257 22.70 36.65 23.00 21.25 170.86
258 22.72 51.90 28.26 32.35 179.84
259 22.51 75.19 25.25 75.87 105.98
260 22.50 81.15 20.98 64.18 84.54
261 22.59 47.42 25.57 25.73 181.87
262 22.56 18.78 16.16 14.59 130.60
263 22.77 67.20 27.44 99.23 122.85
264 23.08 24.78 19.56 17.95 147.35
265 22.96 84.90 17.72 52.79 74.05
266 23.05 40.45 24.49 21.64 173.50
267 23.13 77.60 24.08 67.04 102.22
268 23.19 27.51 19.66 18.83 150.93
269 23.22 49.53 28.51 26.25 185.47
270 23.06 64.40 28.60 107.10 137.43
271 23.09 56.46 30.95 62.09 175.80
272 23.19 72.38 26.41 79.53 113.70
273 23.35 45.10 26.10 24.89 184.56
274 23.50 29.97 20.68 19.79 163.37
275 23.50 34.90 23.04 22.48 187.74
276 23.54 61.39 27.25 91.30 139.78
277 23.50 58.52 26.81 70.01 151.93
278 23.55 69.79 27.47 90.37 115.32
279 23.61 53.97 27.92 37.61 166.56
280 23.88 32.36 22.84 20.81 180.52
281 23.76 17.24 16.56 14.75 123.10
282 23.84 19.85 17.50 17.07 140.22
283 23.72 42.64 25.34 22.36 189.14
284 23.77 22.55 17.77 17.49 151.80
285 23.78 80.10 25.18 51.64 86.43
286 23.90 82.89 24.67 50.18 85.71
287 23.93 74.67 26.67 66.14 102.96
288 23.89 47.18 27.49 26.83 174.14
289 23.91 66.96 29.88 98.29 111.27
290 24.12 86.10 20.23 40.42 67.39
291 24.33 37.56 24.47 24.12 171.55
292 24.09 51.65 28.63 35.77 157.36
293 24.23 39.73 24.52 22.37 183.39
294 24.18 64.46 29.19 94.18 138.58
295 24.34 56.04 28.38 46.80 157.74
296 24.51 26.70 19.87 19.25 162.90
