#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
dm4 14A 3 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
543 33.03 33.01 143.30 21.10 210.27
544 33.22 87.84 52.28 16.83 133.91
545 33.16 45.26 138.98 24.58 220.53
546 33.08 48.31 131.51 24.57 207.48
547 33.19 82.06 61.98 20.31 170.15
548 33.15 28.46 159.16 20.11 204.01
549 33.23 63.16 120.22 25.00 200.24
550 33.25 17.71 118.42 15.15 186.90
551 33.24 20.50 128.46 16.76 191.91
552 33.28 38.07 137.99 23.68 213.33
553 33.36 71.29 90.02 23.52 190.10
554 33.50 57.07 133.21 23.84 206.29
555 33.81 90.27 39.63 15.60 95.03
556 33.57 75.45 71.66 21.00 180.50
557 33.77 69.28 86.84 22.59 187.71
558 33.58 50.51 125.65 25.89 213.65
559 33.81 8.69 61.74 11.82 103.03
560 33.75 54.92 140.25 25.80 227.81
561 33.79 34.46 138.16 20.88 210.86
562 33.92 31.69 138.45 21.31 195.29
563 33.87 41.50 138.82 21.65 219.98
564 33.89 43.64 118.01 23.90 208.76
565 33.90 52.70 116.21 24.50 211.44
566 34.02 59.02 129.36 24.81 207.60
567 34.14 36.82 137.22 22.24 207.40
568 34.09 46.84 116.32 25.46 214.94
569 34.15 11.67 82.17 13.56 152.40
570 34.20 15.63 98.71 15.52 171.13
571 34.19 24.92 142.21 17.41 191.37
572 34.23 80.30 64.00 21.38 164.36
573 34.12 85.58 62.61 19.93 158.33
574 34.25 73.00 83.37 21.32 191.66
575 34.19 77.65 66.51 22.85 163.24
576 34.17 29.49 162.15 20.02 198.87
577 34.24 22.30 128.56 16.81 184.85
578 34.19 65.27 100.94 24.56 198.24
579 34.36 27.18 148.62 17.90 193.98
580 34.29 61.08 113.92 22.90 205.11
581 34.35 39.56 125.15 22.13 210.67
582 34.40 67.43 86.59 26.24 197.51
583 34.44 48.98 106.58 21.84 207.81
584 34.34 83.50 69.12 20.41 156.91
585 34.52 19.48 105.34 15.49 174.94
586 34.51 63.15 101.84 24.44 206.17
587 34.79 44.87 106.77 22.72 212.76
588 34.87 70.96 78.63 21.82 187.61
589 34.79 82.38 57.95 20.75 154.08
590 34.85 51.30 106.90 23.47 218.20
591 34.82 56.75 105.26 25.75 212.34
592 34.85 34.96 132.14 20.40 213.20
593 34.91 74.92 74.66 20.66 184.99
594 34.95 54.01 106.74 25.24 213.53
595 35.08 87.53 60.84 19.29 145.64
596 35.11 13.49 81.82 14.33 165.38
597 35.21 32.81 121.75 19.73 196.79
598 35.18 89.79 49.04 17.27 116.88
599 35.14 30.66 129.61 19.60 201.53
600 35.12 42.35 99.08 22.34 203.92
601 35.28 17.45 87.72 15.28 189.88
602 35.26 9.24 59.18 13.07 108.57
603 35.31 59.36 93.35 23.62 208.23
604 35.41 68.90 77.54 22.84 193.78
605 35.43 23.80 107.52 17.36 194.23
606 35.35 39.07 120.43 24.86 211.42
607 35.35 47.04 93.23 23.26 206.00
608 35.43 79.29 73.24 20.42 160.85
609 35.49 36.88 113.42 21.30 198.37
610 35.54 28.35 107.41 19.92 198.98
611 35.51 64.36 88.51 24.77 201.16
612 35.53 66.61 82.14 22.43 203.04
613 35.60 76.73 75.01 21.99 164.57
614 35.63 21.47 95.48 16.76 187.93
615 35.66 26.06 103.12 18.23 187.68
616 35.63 61.71 90.12 24.02 210.05
617 35.68 84.65 65.40 20.15 140.60
618 35.71 49.52 90.69 25.64 212.82
