#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf6 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
230 19.04 66.58 21.71 85.73 28.10
231 19.45 18.83 11.91 15.91 82.34
232 19.60 33.05 19.52 26.19 141.33
233 19.57 47.56 23.01 32.80 141.93
234 19.64 58.68 25.94 91.55 48.72
235 19.46 69.22 23.33 82.47 23.07
236 19.62 72.21 20.44 81.24 24.94
237 19.62 63.41 30.23 99.74 32.64
238 19.40 64.52 24.38 100.62 31.75
239 19.79 56.23 25.49 71.49 74.04
240 19.58 75.66 19.11 81.86 22.09
241 20.04 51.74 23.45 36.51 111.78
242 19.74 65.30 26.46 90.21 25.36
243 19.83 68.07 24.80 88.66 26.41
244 20.31 35.18 20.19 26.78 150.81
245 20.20 45.35 21.62 31.13 155.22
246 20.11 60.72 27.43 101.49 38.33
247 20.14 62.43 23.97 91.48 31.28
248 20.05 74.48 20.65 75.68 23.85
249 20.36 40.84 22.91 27.97 159.21
250 20.26 70.47 23.44 86.24 27.76
251 20.48 43.29 22.57 28.34 168.84
252 20.00 66.70 22.62 84.46 21.83
253 20.12 78.56 14.92 82.44 19.51
254 20.38 20.72 13.93 19.75 109.42
255 20.30 24.28 17.78 22.39 113.93
256 20.31 53.96 23.30 47.91 102.87
257 20.48 27.06 17.37 23.85 129.60
258 20.41 49.55 23.15 32.97 137.50
259 20.38 38.02 21.74 26.94 165.73
260 20.49 30.09 19.67 26.22 135.78
261 20.20 72.01 22.20 86.60 22.07
262 20.60 77.03 18.21 79.81 26.00
263 20.79 32.56 21.16 28.73 155.64
264 20.83 57.60 25.44 68.17 80.88
265 20.95 17.96 12.97 17.96 100.44
266 20.75 79.66 12.56 69.89 17.13
267 20.97 64.51 27.80 99.07 39.99
268 20.95 66.83 26.73 95.50 34.21
269 21.04 47.37 24.29 29.44 150.44
270 20.74 68.02 22.35 88.65 30.26
271 21.07 75.19 20.43 85.90 30.41
272 21.20 55.55 25.85 50.56 104.59
273 21.16 59.64 25.85 88.85 52.91
274 21.01 62.87 25.42 103.95 46.74
275 21.23 72.15 25.19 81.46 33.43
276 21.43 22.46 15.34 23.54 124.55
277 21.58 28.92 18.92 25.47 152.91
278 21.55 36.56 21.30 26.22 162.83
279 21.43 52.83 24.73 39.74 116.96
280 21.56 39.43 23.33 29.12 172.91
281 21.62 61.86 26.17 93.28 40.09
282 21.57 78.18 19.95 75.14 33.25
283 21.65 24.96 18.84 23.51 130.04
284 21.69 45.04 24.24 30.29 158.11
285 21.60 49.93 24.61 35.42 131.52
286 21.40 80.65 13.32 69.25 19.11
287 21.71 42.43 24.43 28.35 167.57
288 21.64 69.90 25.82 88.23 33.29
289 21.87 33.98 20.72 28.91 153.95
290 21.80 68.33 29.15 95.50 35.59
291 22.06 15.13 12.01 16.99 100.60
292 22.04 31.41 20.03 25.36 136.24
293 22.09 20.35 16.42 20.75 121.36
294 22.15 65.58 26.52 100.27 43.39
295 22.00 81.70 11.37 71.63 19.30
296 22.35 27.22 18.22 25.36 135.92
297 22.11 57.62 25.62 59.53 79.15
298 22.11 67.26 26.04 101.56 39.18
299 22.27 17.74 14.95 18.32 103.62
300 22.29 47.18 26.92 32.12 156.44
301 22.22 80.13 16.47 78.30 32.61
302 22.30 60.03 26.38 84.26 60.82
303 22.39 51.76 27.19 35.30 119.60
304 22.38 54.90 26.73 41.75 97.82
305 22.49 74.85 25.73 78.83 44.46
306 22.50 63.65 28.47 96.97 49.60
307 22.52 72.63 24.47 82.49 42.79
308 22.60 40.97 23.92 29.20 162.52
309 22.72 38.22 22.78 29.69 165.40
310 22.87 77.40 22.55 79.92 40.65
311 22.79 69.88 26.63 87.99 40.85
312 23.00 35.55 21.74 27.42 156.19
313 22.84 44.16 24.23 32.13 154.47
314 22.92 49.20 26.92 35.85 127.27
315 23.13 22.49 16.09 22.47 118.38
316 23.02 24.88 19.69 25.57 133.78
317 23.06 29.81 18.92 26.64 146.85
318 23.16 61.73 28.36 89.15 62.99
319 22.87 82.26 15.60 69.80 36.08
320 23.15 33.05 20.10 24.81 138.64
321 23.15 83.97 12.97 64.28 21.70
322 23.28 53.36 28.03 45.59 107.00
323 23.24 56.44 27.44 56.24 91.46
324 23.23 58.70 29.66 66.02 77.16
325 23.31 66.17 26.77 93.32 51.34
326 23.15 81.00 23.19 79.47 50.30
327 23.43 19.83 16.17 22.40 107.52
328 23.52 13.91 10.98 16.59 71.82
329 23.50 16.81 13.52 18.61 103.20
330 23.46 46.50 25.42 33.09 144.88
331 23.28 59.87 25.97 72.81 67.31
332 23.61 51.17 25.77 38.44 116.86
333 23.62 42.38 24.82 31.81 154.68
334 23.71 26.88 19.68 23.88 134.19
335 23.84 39.95 24.31 30.58 133.06
336 23.63 74.54 33.20 75.51 58.88
337 23.86 37.46 22.50 27.00 144.00
338 23.90 79.53 28.27 71.28 59.70
339 23.90 63.53 31.65 91.22 59.06
340 23.91 68.30 32.56 90.80 58.90
341 23.88 72.84 26.66 83.06 48.34
342 24.12 76.84 29.63 71.64 64.91
343 24.22 31.38 20.86 27.35 141.97
344 24.27 44.68 27.01 34.61 145.34
345 24.30 29.00 21.75 26.45 140.69
346 24.22 49.25 25.89 38.99 122.85
347 24.24 57.52 30.04 69.10 89.07
348 24.27 54.50 28.73 59.91 110.22
349 24.30 60.24 27.51 81.39 79.61
350 24.38 24.28 20.62 24.06 118.35
351 24.44 33.52 22.38 28.84 141.73
352 24.53 35.61 22.23 27.66 153.34
353 24.23 83.57 20.36 56.36 39.79
354 24.61 19.12 17.14 21.35 100.74
355 24.22 74.07 25.60 74.30 36.60
356 24.83 21.96 18.31 22.44 107.56
357 24.63 15.65 14.46 19.31 86.17
358 24.62 47.08 26.02 40.77 132.72
359 24.58 66.61 33.98 87.95 72.07
360 24.69 51.86 29.71 52.95 112.35
361 24.70 81.46 31.71 55.84 58.56
